Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,cps_acf_sum,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,51424.81818,1.329090909,0.016620009,0.08185091,0.029638266,0.031988197,10.60896134,0.132074683,0.335575238,0.170331555,0.015622543,0.049527653,0.055091023,1.541323222,10.87370743,0.146376585,0.019068488,0.03138707,0.034904035,0.022589835,1.657421743,0.109995328,0.048057315,0.088383157,0.035288105,0.074597146,0.091088937,0.2451863,0.257051053,0.003886984,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,59525.91667,1.321666667,0.017385594,0.072392937,0.021771638,0.059847347,8.518967183,0.137436476,0.401623352,0.167079536,0,0.094637679,0.003430598,1.509763663,11.09306303,0.145989152,0.014853671,0.020371024,0.022230807,0.031604484,1.012032225,0.0701086,0.060893046,0.082628691,0,0.119487919,0.011883939,0.191671624,0.235566301,0.003613515,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,52036.5,1.291666667,0.018947337,0.108330376,0.024012759,0.024581779,2.252786217,0.063320077,0.36859341,0.13605324,0.008388702,0.053599885,0.018967025,1.768587358,11.64585271,0.143955505,0.016443032,0.028755989,0.014822581,0.0233705,0.379723035,0.065496002,0.043802375,0.102293927,0.024659488,0.083913088,0.045658145,0.218581817,0.27005887,0.003010999,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,51401.91667,1.33,0.021971616,0.243455278,0.061864614,0.055345301,2.913064877,0.096939919,0.395841456,0.169709693,0.177082794,0.143158128,0.481911787,1.633728349,11.74909501,0.148022999,0.017771377,0.040995916,0.025918637,0.016270124,0.263078074,0.065813434,0.035434189,0.090387406,0.118631196,0.150922092,0.113497627,0.162492658,0.221901526,0.003202734,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,56540.2,1.346,0.046381984,0.385829034,0.133383295,0.077817612,14.10645364,0.256496398,0.378409737,0.242977716,0.131204059,0.082190974,0.622258625,1.401769721,10.93087852,0.160262792,0.039757305,0.05489877,0.048177852,0.030316149,1.373363685,0.098721836,0.078401437,0.089168757,0.047044976,0.063958938,0.201263878,0.169295938,0.25351291,0.00242683,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,60724.63636,1.349090909,0.018394676,0.283360396,0.054619064,0.060100247,17.4684606,0.424896452,0.375171652,0.234519527,0.028995919,0.009482605,0.245503787,1.368227878,10.38559903,0.154934023,0.013689031,0.040283914,0.021559111,0.028328376,1.20414941,0.097034064,0.066966163,0.080556909,0.032036085,0.016949065,0.165074881,0.149524815,0.281017286,0.003348951,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,59939.7,1.358,0.024744656,0.413480347,0.065452793,0.053188466,11.24786296,0.315431778,0.365943613,0.236813035,0.443045787,0.079442735,0.61480327,1.444496054,11.11256146,0.156005654,0.012994584,0.046733082,0.023808458,0.026494751,1.748569456,0.118441887,0.062862318,0.04778781,0.087330568,0.085895732,0.132105731,0.196991221,0.290631999,0.002073748,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,56445.27273,1.319090909,0.018053065,0.356861785,0.024583709,0.061668877,1.877158091,0.108938956,0.41696457,0.221546766,0.005765498,0.055983356,0.533957873,1.642491805,11.93043492,0.148821988,0.014917494,0.026862954,0.024785245,0.030042161,0.317940487,0.062129476,0.054285116,0.06462506,0.019121994,0.108376896,0.175512575,0.167398697,0.258120911,0.003551217,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,55945.45455,1.398181818,0.01094365,0.312746668,0.015172173,0.059091439,1.516897377,0.062049856,0.433783447,0.231578133,0.023195839,0.05084269,0.252462154,1.648296096,11.91228233,0.147191486,0.013892354,0.029975875,0.016761835,0.028007729,0.143285115,0.061251601,0.056196506,0.097611018,0.039510397,0.065071939,0.171828636,0.110453226,0.224962728,0.003572464,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,53136.27273,1.27,0.049256977,0.511591052,0.123486431,0.099576088,4.883700491,0.137716914,0.370458195,0.247284605,0.935099219,0.258634821,1.090470433,1.619295355,11.85270932,0.158576434,0.039822997,0.093035407,0.089490389,0.063783709,0.54430568,0.032929972,0.050653792,0.114675486,0.15082767,0.216379693,0.329321228,0.181818988,0.218219395,0.004789498,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
