"Element","Model","R2","RMSE","RMSEP","AIC","BIC","Priority","Rank"
"Ca","PLS_LOO",0.605349695781694,0.447032844459699,0.450923989941031,NA,NA,1,1
"Ca","PLS_kfold",0.605349695781694,0.447032844459699,0.450923989941031,NA,NA,1,2
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,0.447382293228408,321.186258039926,331.959218981458,2,3
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,0.449611220751241,359.871349044666,370.644309986199,3,4
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,335.005013489929,345.777974431461,4,5
"Ca","Bayes",0.605349681478079,0.447032852560778,0.450923723015753,335.005023203259,345.777984144792,5,6
"Ca","RF",0.486300919128016,0.510020468929024,0.502998069768999,NA,NA,5,7
"Fe","PLS_LOO",0.711860213839782,0.612416695598065,0.619207902382141,NA,NA,1,1
"Fe","PLS_kfold",0.711860213839782,0.612416695598065,0.619207902382141,NA,NA,1,2
"Fe","WLS_weighted",0.711404682307114,0.612900601250386,0.612900601250386,491.44106706079,502.214028002323,2,3
"Fe","OLS_weighted",0.705011398870254,0.619652240442579,0.619652240442579,522.979148483121,533.752109424654,3,4
"Fe","OLS",0.711860213839782,0.612416695598065,0.619207902382141,503.727552589756,514.500513531289,4,5
"Fe","Bayes",0.711860210712198,0.612416698921773,0.619207543420151,503.727555498735,514.500516440268,5,6
"Fe","RF",0.632278428244838,0.691838873775597,0.667187168223613,NA,NA,5,7
"Mn","PLS_LOO",0.642325781154841,0.576119639333299,0.578466614037535,NA,NA,1,1
"Mn","PLS_kfold",0.642325781154841,0.576119639333299,0.578466614037535,NA,NA,1,2
"Mn","WLS_weighted",0.642027836746649,0.576359544649593,0.576359544649593,452.112021258381,462.884982199914,2,3
"Mn","OLS_weighted",0.621575234052913,0.592595892589243,0.592595892589243,464.263343905446,475.036304846979,3,4
"Mn","OLS",0.642325781154841,0.576119639333299,0.578466614037536,470.979249882013,481.752210823546,4,5
"Mn","Bayes",0.642325771415616,0.576119647176971,0.578466607683546,470.97925717947,481.752218121003,5,6
"Mn","RF",0.542879530547761,0.651304675729436,0.643965396363123,NA,NA,5,7
"Sr","PLS_LOO",0.605940022011523,0.388440903375382,0.391554198151312,NA,NA,1,1
"Sr","PLS_kfold",0.605940022011523,0.388440903375382,0.391554198151312,NA,NA,1,2
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,0.38880693583257,262.010925381086,272.783886322619,2,3
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,0.396971381054182,330.646390635536,341.419351577069,3,4
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,259.701823511304,270.474784452837,4,5
"Sr","Bayes",0.605940016001584,0.388440906337502,0.39155455936524,259.701827598661,270.474788540193,5,6
"Sr","RF",0.511797442727793,0.432358315453295,0.439186426890549,NA,NA,5,7
"Ti","PLS_LOO",0.729930592021033,0.639603384224678,0.644447515724916,NA,NA,1,1
"Ti","PLS_kfold",0.729930592021033,0.639603384224678,0.644447515724916,NA,NA,1,2
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,0.640471967780676,487.996188481353,498.769149422886,2,3
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,0.652933928562262,558.906329039579,569.679289981112,3,4
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,527.008898110934,537.781859052467,4,5
"Ti","Bayes",0.72993059046339,0.639603386069155,0.644447426962047,527.008899656642,537.781860598174,5,6
"Ti","RF",0.659206014857546,0.718487169927535,0.692928529454136,NA,NA,5,7
"Zr","PLS_LOO",0.608456680906178,0.822327315016661,0.829368800202076,NA,NA,1,1
"Zr","PLS_kfold",0.608456680906178,0.822327315016661,0.829368800202076,NA,NA,1,2
"Zr","WLS_weighted",0.608229412035276,0.822565937768544,0.822565937768544,661.816062941063,672.589023882596,2,3
"Zr","OLS_weighted",0.401191970178938,1.01694769214115,1.01694769214115,788.726977570257,799.499938511789,3,4
"Zr","OLS",0.608456680906178,0.822327315016661,0.829368800202076,661.700465220814,672.473426162346,4,5
"Zr","Bayes",0.608455753869673,0.822328288506632,0.82935001460496,661.701099749555,672.474060691087,5,6
"Zr","RF",0.548048763750547,0.883487881224547,0.8578115103714,NA,NA,5,7
