"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.94747911924558,0.014263318,9.54388200499906,176.5369365,9.27463181983602,7.92724707465928,10.6220165650128
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-2.18566127969683,0.011240338,9.14377187171782,27.23893955,9.10102435840622,7.75358611725697,10.4484625995555
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.58289751158179,0.002779505,8.27949587269265,48.5012016,8.08259949075149,6.7305469419731,9.43465203952988
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.30578547066899,0.00366704,8.42689211285074,27.82191253,8.28458236748481,6.93402748459289,9.63513725037674
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.57319543752514,0.020738145,9.82855417128756,33.23324312,9.5474416714008,8.19970880560434,10.8951745371972
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.34329776252592,0.026098359,10.4469976275415,173.6494448,9.71501069365507,8.36680227938256,11.0632191079276
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.8433501194004,0.015828626,10.1602156930854,38.38777974,9.35052991098649,8.00310134558872,10.6979584763843
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.75440487274134,0.002341438,10.1783639253917,199.5705658,7.95759030647412,6.6044671999241,9.31071341302414
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.97679776780181,0.001874557,9.93036942402266,1107.050592,7.79549140755438,6.44081707811966,9.1501657369891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.7301808626685,0.00652075,7.76434259814642,9.689444316,8.70413207092581,7.35576827525201,10.0524958665996
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.03679429687885,0.004798848,8.73921076841923,15.13819392,8.48064606402805,7.13126994911398,9.83002217894212
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.02506288103394,0.004855477,8.21468216401249,28.74082309,8.48919691989381,7.13986603696975,9.83852780281786
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-3.19972723493725,0.004077332,8.74585699995511,38.94604963,8.36188665019947,7.01182892859225,9.71194437180669
