"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Ln_C_org","Ln_C_org_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER3","CAT2.3E",162,177.6,178.7,178.2,178.2,0.5,10317.5,10749,10591,10582,216,0.01245,0.00029,24453.3333333333,65203.5,1.4325,5.91666666666667,223.166666666667,41.9166666666667,36.1666666666667,11826.9166666667,3.25,22.8333333333333,205.25,1064.16666666667,42722.8333333333,6336,6.7439103135,1.90817481845725,0.148419540166667,-1.9081748180435,49058.8333333333,642.761278085465,8297.72935534448,0.152024220558316,7.97106509745585,32.4032359027566,16.2114344232892,16.0727512683216,8767.33186798203,11.2583302491977,35.9110854835392,79.4390847241972,65.0745493238099,1633.09766079588,176.280252078125,0.215434090314502,0.0318123900832265,0.00470202697996163,0.0318123904644224,1739.99716997332,82.57,17.43,0.87,90.27,4.51,52.18,4.51,3.95469927970858,0.34181091896293,3.9915,6.6379,1.2319,0.2147,0.3679,0.0027,0.0046,173.6
"Kerguelen","KER3","CAT2.3E",163,179,180.1,179.5,179.5,0.5,10449,10836,10700,10689,194,0.02614,0.00055,23024.4166666667,54069.8333333333,1.29333333333333,8.08333333333333,164.5,53.75,31.5,811.166666666667,0.583333333333333,9.66666666666667,265.333333333333,1119.33333333333,42762.5,6406.25,6.67756974466667,1.89861252588792,0.149797393,-1.89861252593777,49168.75,789.320013260359,1852.6119562947,0.0960429196986557,8.83647742787438,34.2756208086474,22.1774865368217,20.2865831165688,161.651608170913,2.02072594216369,19.5324128441714,95.1021779057885,141.254337557428,1480.33242581154,262.980166898225,0.117644240656258,0.017555234044054,0.00262039152917391,0.0175552345540625,1722.45143090253,70.8,29.2,1.46,27.51,1.38,15.9,1.38,2.76631910922619,0.240095620800763,4.3715,7.3222,1.2521,0.3657,0.6308,0.0096,0.0167,174.6
"Kerguelen","KER3","CAT2.3E",164,180.3,181.4,180.8,180.8,0.5,10497.1,10915,10751,10741,209,0.07761,0.00175,21802.8333333333,52446.4166666667,1.2975,53.5,208.416666666667,103,73.4166666666667,2381.66666666667,0.181818181818182,108.75,224.5,1216.16666666667,39479.9166666667,6219.25,6.35042674958333,1.84825423377143,0.157553984666667,-1.84825423380141,45699.1666666667,368.331825034619,1006.68758883536,0.0465393284320809,28.3051553286997,31.1986547884049,45.744348880987,23.3138988328396,624.066624259903,0.603022689155527,84.6040241896974,81.4354178028656,123.102199473249,772.299925056596,155.029689238721,0.153700943968989,0.0241564349171257,0.00379907822648201,0.0241564357905648,849.343793047243,80.54,19.46,0.97,68.59,3.43,39.65,3.43,3.68009094808086,0.318353390968911,4.5679,7.7015,1.1492,0.2236,0.3882,0.0174,0.0305,175.8
"Kerguelen","KER3","CAT2.3E",165,181.6,182.7,182.2,182.2,0.5,10524.2,10928,10768,10758,202,0.08361,0.00182,21831.6666666667,52180.25,1.37,42.8333333333333,166,107,68.4166666666667,1960.66666666667,4.41666666666667,73.8333333333333,213,1253,39431.1666666667,6052.16666666667,6.50864155066667,1.87251034460798,0.153833213916667,-1.87251034434127,45483.3333333333,1212.4220187357,2581.15393944083,0.163873565453814,37.6100405678477,26.3473303805493,20.8326666559997,34.4316406636088,1124.65860139732,12.026170956659,66.7080931894301,101.127282534078,94.3937594239249,3037.81401170265,309.772008047365,0.238760969433811,0.0368476702063589,0.00569283582188119,0.0368476693262345,3326.69361742894,87,13,0.65,97.18,4.86,56.18,4.86,4.0285608216761,0.348501345556174,4.1793,7.0798,1.2913,0.1679,0.2928,0.014,0.0248,176.6
"Kerguelen","KER3","CAT2.3E",166,183,184.1,183.5,183.5,0.5,10551.2,10941,10783,10774,195,0.08049,0.0017,18588.0833333333,51611.75,1.37083333333333,363.166666666667,250.25,283.833333333333,261.416666666667,10443,73.0833333333333,485.333333333333,175.416666666667,1917.5,29794.9166666667,5511.75,5.35186961233333,1.6668685579203,0.190784791416667,-1.66686855754641,35306.6666666667,2736.93861685355,2630.40629855058,0.100223235677646,230.933612393981,33.8636973763941,108.710485680866,124.543134793703,5045.6140629984,64.2940098062774,240.889764805146,92.6905490262512,321.844541806924,6999.69055755432,507.28979076873,0.823284787559824,0.150954842411973,0.0280369522499323,0.150954841952287,7460.67709982672,83.47,16.53,0.83,94.07,4.7,54.38,4.7,3.99599643920432,0.34536931342884,4.1793,7.1216,1.1935,0.1972,0.346,0.0159,0.0282,177.5
"Kerguelen","KER3","CAT2.3E",167,184.3,185.3,184.8,184.8,0.5,10568.1,10958,10798,10790,195,0.08049,0.00167,23788.3636363636,55922.5454545455,1.46636363636364,28.0909090909091,190.727272727273,125.363636363636,46.1818181818182,1330.45454545455,0.181818181818182,36.5454545454545,210.454545454545,1306.63636363636,43784.6363636364,6295.36363636364,6.95697008981818,1.93965362773991,0.143766851454545,-1.93965362872536,50080,302.298287367717,756.01645003748,0.092549740925918,21.1303314950549,32.2957920141027,28.3382170479116,19.8333969950595,682.651355178669,0.603022689155527,57.3364868759216,61.5765598850141,139.643311853646,740.578324382678,166.261404256835,0.0976765087840327,0.0141363175299717,0.00204636162044549,0.0141363183509521,889.039481687962,75.83,24.17,1.21,56.83,2.84,32.85,2.84,3.49195174493062,0.301891718587609,3.7994,6.5122,1.2953,0.3131,0.5523,0.0252,0.045,178.5
"Kerguelen","KER3","CAT2.3E",168,185.6,186.7,186.1,186.1,0.5,10587.9,10977,10813,10806,194,0.08049,0.00169,23528.4166666667,55330.25,1.42166666666667,3.91666666666667,165.083333333333,91.5,19.5833333333333,526.416666666667,0.181818181818182,36.3333333333333,259.75,1206.08333333333,44065.8333333333,6415.08333333333,6.87235758725,1.92718750050871,0.145603169416667,-1.92718750067072,50480.9166666667,346.601804100989,655.786152089786,0.0780248600631798,4.98102459947811,24.7476659444274,26.2349523969975,13.006699905212,34.8723864014686,0.603022689155527,49.0516116560975,94.3293312139587,104.767672263514,509.516496892947,138.732875001063,0.182255197178112,0.0263583107866489,0.00381452245356064,0.026358310513364,504.476048324728,72.78,27.22,1.36,40.5,2.03,23.41,2.03,3.15316328150282,0.273426803137579,3.9915,6.8774,1.3206,0.3594,0.6372,0.0289,0.0519,179.4
"Kerguelen","KER3","CAT2.3E",169,186.9,187.9,187.4,187.4,0.5,10605.6,11001,10828,10822,198,0.08402,0.00176,22712.6363636364,53864.5454545455,1.36909090909091,13.4545454545455,147.363636363636,103.454545454545,47.7272727272727,875.636363636364,0.181818181818182,55,220.909090909091,1173.09090909091,41983.3636363636,6315.63636363636,6.64579671090909,1.89353989292216,0.150605561818182,-1.89353989288708,48299,1091.04475368587,2647.2110366813,0.127157740264173,18.5276206587011,22.0647806572951,31.8727583882024,11.4463173911168,485.804337717825,0.603022689155527,65.4675492133316,79.7112972488273,74.4344739290264,2574.8986493735,304.219418422714,0.206987255607032,0.0313500082378792,0.00475683279390243,0.0313500074437351,2844.84713121813,78.05,21.95,1.1,66.67,3.33,38.54,3.33,3.65169666298622,0.315520235800314,4.3352,7.5302,1.0818,0.2375,0.4244,0.02,0.0361,180.8
"Kerguelen","KER3","CAT2.3E",170,188.1,188.9,188.5,188.5,0.4,10618,11022,10840,10836,202,0.0771,0.0016,20068.7777777778,47841.5555555556,1.29333333333333,74,177,215.111111111111,81.4444444444444,2776.55555555556,15.1111111111111,188.555555555556,253.222222222222,1174.88888888889,34646.4444444444,5847.33333333333,5.92656530533333,1.77890805675301,0.168914590666667,-1.77890805668139,40493.7777777778,741.730877370252,1681.57033090435,0.083815273071201,36.4623093070091,31.2329953734828,46.6085948201736,27.7042916851844,538.638587345706,22.1328062186229,111.546079168108,103.145258952821,87.8314357796291,1853.99157974835,270.62381639464,0.204257853797925,0.0349011798431153,0.005971925966469,0.0349011787267476,2065.90547810021,81.66,18.34,0.92,86.49,4.32,49.99,4.33,3.91182298542548,0.33883163686522,2.512,4.3709,1.0464,0.1919,0.3434,0.0148,0.0268,181.1
"Kerguelen","KER3","CAT2.3E",171,189.2,190.2,189.7,189.7,0.5,10627.1,11048,10854,10851,211,0.08457,0.00186,19439.8181818182,47443.7272727273,1.3,137.545454545455,257.090909090909,300.272727272727,85.8181818181818,3253.90909090909,3.18181818181818,225.818181818182,400,1234.27272727273,33397.5454545455,5846.09090909091,5.71344854172727,1.7420025684437,0.175312540545455,-1.74200256818295,39243.6363636364,808.969198200008,2285.55407246948,0.046690470119715,68.5541590807788,52.7701706373109,107.946367154334,24.6609739540764,761.187290296607,5.98027059284414,92.6798987718677,126.673596301676,69.1000592027111,2083.10241532366,278.144011096933,0.243149295523511,0.0424465795035248,0.00742539835821401,0.0424465793327862,2292.85796650064,80.32,19.68,0.98,97.14,4.86,56.15,4.86,4.02802668118445,0.348641312031281,3.9741,6.9745,0.9988,0.1966,0.3548,0.0166,0.0304,182.7
