"Element","Model","R2","RMSE","RMSE_ppm","RMSEP","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","Roughness_norm","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Confidence_Flag","Unstable_flag","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model"
"Ca","Bayes",0.636884102731344,0.428801053115093,5546.07861545861,0.437812064252784,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,0.740687069612545,0.698376882202055,0.0824067945300251,0.65436049816905,1,1,"Preferred 1","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.517873635021689,0.683384680507303,0.580584613197987,0.631881887509872,TRUE
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0,0.640428498900347,2,2,"Acceptable 2","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.498367773062824,0.672007267862575,0.622366279387121,0.673824171997311,FALSE
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0,0.640428498900347,3,3,"Acceptable 3","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.498367773062824,0.672007267862575,0.622366279387121,0.673824171997311,FALSE
"Ca","RF",0.673677785504348,0.406496238911912,4915.58130206669,0.405320083182145,10909.8156740307,19282.8988530103,2.21943550591744,0.386378446989643,2.69293650817949,2766.68108945549,0.836732188761176,0,1,0.63469287550447,4,4,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.576603269666055,0.709894644409048,0.63469287550447,0.63469287550447,FALSE
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,5620.88386479327,NA,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,1,0.644869166288662,0.283983612619914,0.593460749886599,5,5,"Unstable","Acceptable","Low confidence","Low confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.625387834228473,0.593460749886599,FALSE
"Ca","OLS",0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.787121534135248,0.646251122184183,0.281233373490299,0.527514139089005,6,6,"Unstable","Acceptable","Low confidence","Low confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.540651034651228,0.508723950309354,FALSE
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,5447.03371534874,NA,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00566308940610476,0.647116275115756,0.190504548184474,0.212649992961434,7,7,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.506693877391423,0.664163105864895,0.228327202639043,0.196400118297169,FALSE
"Ca","WLS",0.604685117514639,0.447409080513934,5446.04597912254,NA,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,0.647130006892335,0.187340534419354,0.210194064930934,8,8,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.506693877391423,0.664163105864895,0.226066086409575,0.194139002067701,FALSE
"Sr","RF",0.694520038625107,0.34200712565981,43.8791563053624,0.346757684558846,141.327920148989,203.985987945979,3.22084406467309,0.386407775486143,2.72045777069858,28.973716365503,1,0,1,0.7,1,1,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.533769865459016,0.707327042592033,0.7,0.7,NA
"Sr","Bayes",0.635271572146413,0.373704733132646,56.5643915636821,0.385058169520708,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,20.8749329141512,0.760788145194715,0.847372767919076,0.258337822323558,0.69096575996511,2,2,"Acceptable 2","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.506111970895487,0.684515622721029,0.670431000858213,0.664607186531096,NA
"Sr","PLS_LOO",0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.733913529074419,1,0.155573021543013,0.681572628387012,3,3,"Acceptable 3","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.500181484867475,0.685295831893533,0.665137214992373,0.706278068621457,NA
"Sr","PLS_kfold",0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.733913529074419,1,0.155573021543013,0.681572628387012,4,4,"Acceptable 4","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.500181484867475,0.685295831893533,0.665137214992373,0.706278068621457,NA
"Sr","OLS",0.605940022011523,0.388440903375382,59.7735590156883,0.391554198151312,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,0.663154685121714,0.462154975784046,0.221443378008802,0.453394114796587,5,5,"Unstable","Marginal","Low confidence","Low confidence",FALSE,FALSE,0.489657473355962,0.672037080636319,0.4039083667839,0.4039083667839,NA
"Sr","WLS",0.605899324973479,0.388460961218056,59.3656290640811,NA,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,0.0791982323985836,0.477771068244374,0.233766149437492,0.224381265643544,6,6,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.489657473355962,0.672037080636319,0.175010613432746,0.175010613432746,NA
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,61.616501941787,NA,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,0.0895578038247524,0.39561560273992,0.167864431448798,0.201892249595952,7,7,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.489657473355962,0.672037080636319,0.154507802351877,0.154507802351877,NA
