Location,Site,Section,sample,min_depth,max_depth,depth,SH20_mean_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,-1.043975875,-1.996678548,-1.412302425,-1.216088035,-0.091286978,-6.322295983,-5.401695286,-6.078101026,-0.02248279,-0.559006504,-1.336199804,-0.391235438,-0.958254792,0.146376585,-8.301382455,-7.741137822,-7.687746898,-8.137005763,-3.685694554,-6.512090022,-7.457954302,-6.747939147,-7.703682897,-6.924045094,-6.713500597,-5.762362512,-5.550121636,0.003886984,-0.436341914,-2.833272537,-1.958343706,-1.247876934,0.181862121,-0.302742141,0.903173306,1.474682899,-0.512449934,-0.953604692,-2.618408212,-1.72911838,6.255575991,3.165840077,0.809311851,-1.722420816,5.173530126,-4.823951765,-4.195252738,-3.783179804,-2.850539972,-4.58948524,-0.768928834,-2.460555231
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,-1.043534068,-2.152538732,-1.633772044,-0.656045471,-0.279659274,-6.316325742,-5.243772753,-6.120498427,-0.967194722,-0.02281699,-2.508014471,-0.532482537,-0.977727699,0.145989152,-8.573515623,-8.226321375,-8.199820445,-7.776477134,-4.226166806,-6.994979855,-7.168647273,-6.834791407,-11.88715831,-6.454093243,-8.873723335,-5.984294941,-5.623074199,0.003613515,-0.698214672,-2.99450342,-2.394154745,-1.447632643,-0.179217972,-0.272851908,1.095171178,1.180324225,-1.162564912,-1.320629039,-2.715742814,-1.972957853,6.25903052,2.830296537,-0.046230205,-1.449663497,3.304647551,-5.807279727,-3.816365613,-4.590263544,-1.788587318,-4.444687368,-1.676882674,-3.31608686
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,-1.019703957,-1.794909472,-1.633828971,-1.521420007,-1.357327519,-7.127368585,-5.390932969,-6.38277835,-0.322348862,-0.558681635,-1.927733748,-0.210502353,-1.08079656,0.143955505,-8.554630002,-7.931940699,-8.638862145,-8.21279021,-5.334518165,-7.14327618,-7.500021097,-6.674575253,-8.126455138,-6.881343209,-7.515048492,-5.878787456,-5.805483188,0.003010999,-0.564489006,-2.09916633,-1.190858574,-1.169101439,-0.959185366,0.557321333,1.268783012,1.762743424,-1.045728305,-0.362954002,-1.70612471,-1.112051226,6.379913346,3.497375757,1.587867411,-1.004924443,3.881588573,-5.394464897,-4.24873329,-3.90820336,-3.131782837,-3.059475783,-0.655639638,-2.539748147
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,-0.888949181,-0.926694179,-0.987556455,-0.773995206,-1.144109584,-6.702913314,-5.300819063,-6.147543688,1.194195798,0.295575214,-0.165232056,-0.414098422,-0.876074721,0.148022999,-8.426522581,-7.533844677,-8.024017248,-8.483783228,-5.662866137,-7.111895214,-7.697952746,-6.777776532,-6.500669004,-6.265993119,-6.537145334,-6.18923708,-5.743750341,0.003202734,0.485203801,-0.73366049,-0.241036723,-0.703037424,-0.82616737,0.158035995,1.953374927,2.934298591,0.872419106,0.960347044,-0.123219841,0.212601186,7.225304846,4.56666104,2.373263752,-1.436756384,3.325823931,-4.400661673,-2.738655502,-1.734738398,0.185828427,-2.209405919,-0.174803375,-0.39103813
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,-0.110317229,-0.28629614,-0.365203891,-0.301824397,0.193833331,-5.584256407,-5.195222625,-5.637262628,1.109987614,-0.051547894,0.066491057,-0.417626301,-0.292348894,0.160262792,-7.441639197,-7.145312532,-7.252690361,-7.713003386,-3.796029604,-6.550045012,-6.804742224,-6.632517122,-7.281352057,-6.967593089,-5.852392059,-5.972195155,-6.02116933,0.00242683,1.560135378,-0.311615308,0.261602079,0.199240386,0.438765018,2.707379067,2.286903519,3.234583751,0.958685534,1.701589129,0.221844576,0.319309835,8.28918792,4.62895785,3.414681479,-1.185584615,3.503550674,-2.982985579,-3.197102273,-2.377436029,-0.187532884,-0.182959468,0.953145772,-0.086208529
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,-0.892212207,-0.590350238,-0.956359505,-0.532290331,0.372461446,-5.059149103,-5.184794484,-5.65380172,0.318653267,-1.81785722,-0.456353681,-0.442295462,-0.540803125,0.154934023,-8.5114682,-7.372452976,-8.022832325,-7.758163291,-3.846103661,-6.50943669,-6.886895977,-6.70916477,-7.678345847,-8.314069664,-6.01535472,-6.128519056,-5.699108223,0.003348951,1.182519267,-0.307114334,0.05941688,0.205620927,0.996880405,1.566247756,2.304662197,3.222893929,0.875132364,1.05368578,0.162610342,0.018799956,7.691691634,3.311503111,2.072293946,-1.682581743,5.157038582,-3.277350714,-2.338189701,-1.60738807,-0.39139088,-2.369393495,0.874312955,1.3726501
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,-0.702142276,-0.258988088,-0.875746063,-0.70322862,-0.013240063,-5.414685803,-5.27100149,-5.705494761,1.754502436,-0.118333414,0.036889802,-0.462771366,-0.490158806,0.156005654,-8.65659456,-7.338345986,-8.000369433,-7.92363396,-3.575079145,-6.358119771,-7.038060897,-7.282055678,-6.719492394,-6.729404099,-6.269665177,-5.88193483,-6.178397622,0.002073748,2.816589785,0.058316595,0.615115309,1.400841141,0.738073539,1.852505947,2.23277432,2.518987734,0.580865141,2.753503774,0.380538434,0.622594258,9.473271687,4.54587538,2.646014136,1.79952155,3.647739173,-3.828256333,-3.563000603,-2.575242667,-1.144274117,0.726607564,0.959546237,1.900776003
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,-1.048322111,-0.537036802,-1.591911389,-0.675357687,-1.491449047,-6.598334493,-5.258725916,-5.891635901,-0.453048348,-0.518439288,-0.111825514,-0.42943921,-0.836522414,0.148821988,-8.653505686,-7.967173385,-8.11805308,-7.913256167,-5.501350895,-7.173503111,-7.285551902,-7.126865456,-8.401251747,-6.618789732,-6.108746268,-6.167039542,-5.640464906,0.003551217,-0.139655651,-0.596364703,-1.293161742,-0.769130342,0.75445145,2.835820277,2.269238293,3.424323888,1.53689776,-0.197191872,-0.279026829,-1.121158292,6.449586608,4.21608464,1.258425975,-0.373676341,5.296167887,-2.620431475,-2.791824306,-2.095452801,-0.091072777,-2.914649793,0.727265684,-2.20321847
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,-1.451147587,-0.68551546,-1.884639866,-0.731652182,-1.663894202,-7.159391261,-5.228836331,-5.856454255,0.11731674,-0.609218117,-0.544390401,-0.449405919,-0.917464466,0.147191486,-8.740011406,-7.903223672,-8.582730417,-7.974579451,-6.30250203,-7.192931885,-7.265664852,-6.71747815,-7.65757372,-7.141210883,-6.157905082,-6.575685403,-5.634499665,0.003572464,1.876214664,-0.523091665,0.236306749,0.659119851,0.530648372,1.740789985,1.838825236,2.504116673,0.461920502,1.975092785,0.258506508,0.114796155,8.191785655,5.857799937,4.530183755,2.610095268,7.009454634,-1.486073495,0.569190988,-0.994968633,0.413134125,0.50252235,0.667493796,-0.514727774
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,-0.127360811,-0.084042551,-0.471130663,-0.15020903,-0.697137732,-6.296082267,-5.308350812,-5.710861119,2.138808279,0.869352439,0.339360902,-0.240057472,-0.370070556,0.158576434,-7.52456023,-6.611444264,-6.71024277,-7.056482136,-4.798682846,-7.721380675,-7.365172159,-6.477793431,-6.130237582,-5.835974515,-5.376989387,-5.940858902,-5.341329668,0.004789498,-1.082473735,-0.867309063,-1.532117984,-1.186330852,-1.424086345,0.437681308,2.032766371,3.798103023,1.164371596,-0.554100785,-0.484624666,-1.133481404,6.000500364,4.258989267,0.705367728,-2.117483637,2.271037078,-4.538563867,-2.502586233,-1.88306784,-0.299200438,-3.260694775,0.164149271,-1.993538738
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.566667,23119.33333,56701.33333,1.278333333,-0.25759691,0.202280736,-0.865793049,-0.466338142,-0.937650824,-6.495795437,-5.270266053,-5.621760754,1.318329847,-0.154438736,0.145650716,-0.338665889,-0.698082953,0.151652695,-7.931486565,-6.507366592,-7.974711177,-7.707043377,-4.791751191,-7.153749624,-7.350765841,-7.04608827,-6.623311708,-6.702851335,-6.223695187,-5.669532826,-5.828975856,0.002941087,0.88569218,-0.202163007,0.005850371,-0.311270445,-0.544314851,1.403362315,1.785103665,3.599795132,2.104714977,1.383463166,0.401797736,0.090141608,7.606107268,3.829554977,2.40046354,-1.910044771,2.717220949,-3.711548466,-2.674710889,-1.105433151,0.901039062,-1.361228944,0.670393547,1.193623884
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.816667,22181.16667,53873,1.321666667,-0.520369317,-0.263001634,-0.812633651,-0.47894492,-0.928924196,-6.075295484,-5.22642249,-5.376733052,0.050698482,-0.307812618,0.107278762,-0.339625156,-0.783586299,0.149898092,-8.241317191,-6.91381906,-7.93773564,-8.156675803,-5.197030354,-6.99937397,-7.197691623,-6.847379144,-7.647955729,-6.671019033,-5.957036495,-5.762653468,-6.118675387,0.00220137,-0.344853497,-0.672866987,-0.938094814,-0.947928458,-1.017676612,0.713556964,1.898255153,3.528245342,1.436317495,0.154305048,-0.219490299,-0.161607225,6.59085933,2.530005411,1.418641215,-1.593263501,3.358318519,-4.423559632,-3.02013612,-3.683120668,-0.707505577,-2.1563338,0.424757633,-0.650249189
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.672727,22325.90909,53674.81818,1.295454545,-0.794887181,-0.357744926,-1.068297723,-0.385327594,-1.063700843,-6.323575816,-5.264410346,-5.479344497,1.064262223,0.017140128,0.097609802,-0.310192857,-0.822596247,0.149104333,-8.184177099,-7.286936096,-7.889184744,-7.944617587,-4.974703707,-6.680563533,-6.889407224,-6.725286961,-6.86299577,-6.968642158,-5.984356123,-6.061898005,-5.314746339,0.004918526,1.437676141,-0.073159334,0.355109611,0.035026411,-0.538316947,0.89182139,1.851257046,3.679101434,0.649093454,1.838323543,0.766132244,0.287189529,8.206258087,4.117395592,3.216498842,0.210621932,3.662177346,-4.562483371,-3.923582055,-1.865871007,-1.975000456,-0.35125628,0.966617242,0.126860282
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,21329.45455,51592.63636,1.240909091,-1.775546018,-0.306806905,-1.179537948,-1.026981139,-1.372012906,-6.600380532,-5.227632245,-5.745448663,0.711993361,-0.050438422,0.085200459,-0.109952495,-0.782948505,0.149911105,-9.111892898,-7.459018004,-7.73585528,-7.899901249,-5.957722668,-7.042561511,-7.706883694,-7.06944127,-6.923974981,-6.385300174,-6.20523898,-6.629415703,-5.478666132,0.004174895,0.059535131,-0.553042976,-0.756812177,-0.742475891,-1.003388496,0.956002135,1.777027584,3.611230684,0.608830256,0.63742244,-0.00657778,-0.547801441,6.890144122,4.246607614,0.866841361,-0.534911896,2.469446142,-3.603033666,-3.040226774,-0.852913741,-1.249761983,-3.764408368,-0.340358867,-1.71277684
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.545455,21085,51886,1.319090909,-0.074602832,-0.161053184,-0.145342443,-0.104219837,-0.515824047,-6.452712627,-5.245164512,-5.944879885,-0.25481886,0.697485422,0.445043802,-0.202318193,-0.469557502,0.156443694,-7.675012116,-6.715879234,-6.204093157,-7.32583779,-4.013239092,-6.885808248,-7.143397421,-6.308140132,-8.350284599,-6.085468905,-4.70518101,-5.820368358,-5.057171,0.006363537,0.070616695,-0.649165464,-0.712940091,-0.690659656,-0.001628722,1.748332988,1.962918798,3.226963318,0.717761981,0.404766257,-0.151583765,-0.512458306,6.852111166,2.640003076,0.986831546,-0.563781745,4.5340315,-2.666804554,-2.707977359,-2.48722184,-0.255802626,-2.979420674,0.727805381,-0.95229532
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.281818,20358.09091,49648.18182,1.288181818,0.28899956,-0.260907359,-0.290780908,-0.023885389,-0.511327829,-5.975804592,-5.150549247,-5.951064942,0.152202025,1.201627402,0.492023004,0.073726813,-0.156128403,0.163261797,-7.356156983,-6.852662653,-7.488615571,-7.634326876,-4.761869427,-6.764830309,-7.164215057,-6.840098889,-7.052889521,-5.740547114,-5.488303772,-5.865515915,-5.339634036,0.004797626,0.044629161,-0.677630364,-0.774409288,-0.799553788,-0.431614982,1.290119484,1.767793884,2.934614483,0.133801185,0.351379802,-0.256853751,-0.562773525,6.762202711,4.188050421,1.124175251,-0.863482088,4.162701406,-3.981880233,-3.190369129,-2.464956963,-1.409873796,-1.591044837,-0.069610164,-1.125583675
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,23485.90909,56468.36364,1.455454545,-0.463969772,-0.250469174,-0.566169873,-0.283646192,-1.135294697,-6.513518936,-5.303621034,-6.041035032,0.458787975,0.053519928,0.25305425,-0.339766874,-0.858471888,0.148378059,-7.764989322,-6.66359263,-6.326685865,-8.43588247,-4.33660945,-7.299617048,-7.754352788,-6.939383128,-7.288064315,-6.415513695,-5.758446962,-6.067252721,-5.895360399,0.002752184,-0.637499435,-0.572096387,-0.976342544,-0.928785863,-1.577353547,0.328791245,1.519186462,2.964972371,0.230355695,-0.04306845,-0.05509644,-0.669483403,6.4249457,4.109916293,1.926886204,-0.208431217,3.314387735,-4.255150841,-3.80810187,-2.6048693,-1.36731273,-2.344705294,-1.118944665,-1.474128284
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.918182,23787.45455,60059.36364,1.378181818,-1.136972618,-0.45786247,-1.03596033,-0.667057094,0.023025633,-5.749351409,-5.238021896,-5.753753742,-0.665750821,-0.447246657,-0.256370922,-0.434771366,-0.778946286,0.149992787,-8.495223224,-7.250895891,-7.590111529,-8.096240092,-3.909244818,-6.722408783,-7.253118152,-6.818905453,-9.152774849,-6.868374829,-6.198060387,-6.241545568,-5.849009783,0.002882752,-0.469985575,-0.927585889,-1.157099241,-1.126804728,0.298942311,0.434258578,1.755117179,3.740101344,-0.032612075,-0.076681054,-0.542681919,-0.929869066,6.353074684,4.1592874,0.578697289,-2.501504703,1.683445868,-4.005882962,-4.022410692,-2.284402228,-2.084137382,-3.163074984,0.390914587,-1.657172179
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,23463.2,55879.5,1.243,-1.234210274,-0.58422296,-1.475724894,-0.913769685,-1.221238389,-6.783856245,-5.259243896,-5.564238508,0.723244492,-0.122976719,-0.521472138,-0.279837622,-0.949182946,0.146557429,-8.480523203,-7.650891704,-8.193888508,-7.74743289,-4.387006946,-7.071325525,-7.364625847,-6.992184213,-7.280935021,-6.53286956,-6.624848902,-6.744072903,-5.564136854,0.003832888,-1.297453908,-0.992026446,-1.66186956,-1.314181854,-0.893889386,-0.298646648,1.877134091,4.140955647,0.921875376,-0.840901839,-0.589516313,-1.203151717,5.799965383,4.480160583,0.821645978,-1.318616909,3.720954227,-4.418642073,-2.897999993,-0.566629701,0.035937356,-3.824634575,-0.901140282,-2.219452064
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.590909,23205.09091,65119.72727,1.433636364,-1.254849043,-0.263984113,-0.78483206,-0.281516809,0.703627024,-5.378054001,-5.279350098,-5.487370273,1.207896711,-0.967790226,-0.103162968,-0.411560655,-0.423457607,0.157428366,-8.496961198,-7.221871221,-7.319928491,-7.544646578,-3.254140082,-6.40562111,-6.81226932,-6.896438118,-6.634189009,-7.459124977,-6.02165072,-6.195299207,-5.930363934,0.002657515,-0.510265832,-0.911397569,-1.054271927,-1.160163754,-1.199857823,0.001918717,2.248086211,4.348073956,1.320783039,0.051153153,-0.435414823,-0.717249281,6.389709709,4.533998778,1.652429704,-1.149586872,2.749827493,-6.023944765,-3.503776868,-1.66478812,0.434877126,-2.368131898,0.025275726,-1.052868228
