depth	min	max	median	wmean
203.9	3879.5	4434.2	4123	4135.8
205.3	3894.1	4460.5	4144.8	4157.4
206.6	3906.1	4484.7	4164.9	4177.6
208	3919.5	4512.2	4185.6	4199.2
209.4	3932.8	4548.1	4206.4	4220.4
210.7	3950	4569.4	4227.4	4240.2
212.1	3964.6	4600.2	4248.8	4261.5
213.5	3978	4632.6	4269.3	4283
214.8	3992.2	4659.8	4289.8	4303.5
216.2	4007.7	4690.6	4313.1	4325.6
217.6	4021.1	4727.7	4336.2	4347.4
218.7	4030.6	4759.9	4353.9	4365.1
219.5	4038.2	4779.2	4367.3	4377.4
220.8	4052.1	4805.6	4387.7	4397.3
222.3	4068.6	4838.8	4412.4	4420.5
223.9	4082	4876.3	4437	4445
225.1	4096.5	4902.3	4457.1	4463
226.4	4110.4	4929.6	4479.5	4482.8
227.6	4120.5	4956	4500.1	4501.2
228.9	4133.1	4982	4520.4	4520.8
230	4146.3	5001.5	4538.9	4537.6
231.2	4157.8	5018.5	4560.8	4556.3
232.5	4169.1	5045.2	4583.1	4576.5
233.7	4182.3	5075.5	4601.4	4595.1
235	4196.6	5098.6	4624.5	4615.2
236.4	4214.4	5125.8	4648.1	4636.2
237.5	4224.5	5149.7	4666.4	4652.7
238.8	4235.5	5178.8	4685.9	4672.6
240	4250.1	5204.4	4709.6	4692
241.3	4266.1	5234.2	4736.9	4713.7
242.6	4280.3	5270.2	4761.1	4735.1
243.8	4292	5304.1	4779.6	4754.2
245.1	4319.2	5329.6	4810.6	4783.4
246.3	4344.7	5353.4	4836.2	4812
247.5	4362	5375	4858.3	4840
248.8	4383.2	5400.9	4883.6	4870.2
250	4408.9	5432.6	4912.6	4900.7
251.4	4442.7	5467.9	4946.5	4936.8
252.6	4463.1	5503.8	4974.8	4967.8
253.8	4478.1	5548.4	5000.5	4998.6
255	4505.4	5576.3	5029.7	5029.7
256.2	4529.8	5607.4	5060.9	5061.3
257.4	4548.1	5638.2	5089.6	5091.8
258.7	4563.5	5679.2	5121.9	5124.9
260.2	4600	5708.8	5160.4	5162.5
261.6	4628.8	5743.3	5195.9	5197.5
262.9	4649.2	5784	5228	5229.6
264.2	4672.2	5825	5260.4	5261.4
265.5	4701.4	5855.2	5295.5	5294.5
266.8	4728.8	5888.4	5329.9	5327.3
268	4752.4	5927.7	5359.6	5357.4
269.2	4771.8	5959.6	5388.4	5386.9
270.6	4810.4	5991.3	5422.7	5421.7
271.9	4837	6024.1	5455.1	5453.5
273.1	4860.2	6056	5485.4	5483.2
274.4	4887.3	6093.8	5517.9	5515.3
275.5	4908.1	6114.9	5547.9	5542.4
276.7	4935.3	6145.7	5576.6	5571.9
278	4962.9	6180.2	5610.5	5603.8
279.3	4987.8	6217.4	5643	5635.9
280.3	5010.3	6237	5669	5660.8
281.7	5038.9	6269.4	5704.4	5695.7
282.9	5061.7	6305.5	5736	5725.9
284.1	5085.1	6342.9	5766.6	5755.8
285.4	5115.6	6368.8	5802.7	5789.2
286.7	5139.9	6397.2	5837.9	5822.2
287.9	5160.3	6434.2	5870.4	5853.1
289.2	5187.7	6473.9	5903.3	5885.7
290.6	5221.6	6493	5937.7	5920.1
291.9	5252.9	6519.5	5971.4	5952.5
293.2	5275.3	6544.3	6004.3	5985.1
294.6	5319.6	6580.8	6045.1	6024.5
295.8	5363.2	6604.4	6084.2	6063.7
297.2	5425.5	6639	6134.8	6109.5
298.6	5474.8	6692.2	6185.2	6156.6
299.6	5534.7	6718.8	6221.9	6195.5
301.1	5631.3	6754.6	6280.4	6258.4
302.4	5697.5	6792.7	6335.4	6312.6
303.8	5749.7	6846.7	6394.8	6370.9
305.3	5846	6880.2	6453.9	6430.6
306.8	5931.4	6911.1	6516.5	6492.2
308.2	5982.2	6951.2	6576.6	6549.9
309.6	6061.7	6993.3	6630.1	6606.1
311	6172.9	7021.8	6679.3	6661.1
312.4	6256.8	7056.8	6732.3	6716.5
313.9	6321.2	7107.9	6791.3	6775.8
315.2	6451.8	7124.3	6834.5	6826.7
316.7	6588	7150.7	6886.4	6885.4
317.9	6674.5	7179.2	6931.8	6933.5
319.3	6765.8	7223.8	6988.2	6994.9
320.7	6899.2	7258.2	7054.9	7074.5
322.1	6958.9	7386	7135.9	7154.4
323.6	6989.5	7586.7	7218.3	7239.2
325	7055.6	7709.4	7319	7336.1
326.4	7099.3	7836.9	7426.5	7440.4
327.7	7130.6	8015.7	7521.3	7537.2
329.1	7163.8	8239.5	7613.8	7639.8
330.6	7266.2	8299.8	7744.5	7757.8
331.9	7320.3	8357.6	7862	7859.8
333.3	7367.4	8455.2	7982.2	7969.6
334.7	7468.6	8552.2	8094.1	8077.9
336.1	7589.7	8578	8218.2	8184.9
337.4	7658.4	8606.9	8348.8	8284.7
338.8	7726.3	8671.3	8510.8	8391.5
