"Location","Site","Section","sample","min_depth","max_depth","midpoint","coh_inc","coh_inc_sd","dry_mass_pc","dry_mass_err","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.146289648,0.014628965,12.51434728,1.251434728,17.7051622261277,-1.6254071593875,37.0357316116428
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.145986383,0.014598638,10.48614151,1.048614151,17.6465984061295,-1.68463402612224,36.9778308383812
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,0.143975958,0.014397596,13.6157151,1.36157151,17.2583631405372,-2.07749487541066,36.594221156485
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,0.147962143,0.014796214,19.65584023,1.965584023,18.0281394774685,-1.29893674658793,37.3552157015248
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,0.160230554,0.016023055,21.79052633,2.179052633,20.397305103135,1.08737807965197,39.7072321266181
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.154882636,0.015488264,19.47346052,1.947346052,19.3645630883392,0.048995669263256,38.6801305074151
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.156001865,0.015600187,26.28431951,2.628431951,19.5806985661977,0.266546390214273,38.894850742181
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,0.148819437,0.014881944,15.13709242,1.513709242,18.1936924146736,-1.13170062253726,37.5190854518845
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,0.147191979,0.014719198,22.36604891,2.236604891,17.8794123053085,-1.44923808508733,37.2080626957044
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,0.158485896,0.01584859,12.20914471,1.220914471,20.060392379707,0.748937204522978,39.371847554891
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,0.151646,0.0151646,22.9846784,2.29846784,18.7395329394475,-0.580826193122171,38.0598920720171
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,0.149909155,0.014990915,23.15568582,2.315568582,18.4041289925866,-0.919229583075921,37.7274875682492
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,0.149094307,0.014909431,24.17673458,2.417673458,18.2467728466486,-1.078095926923,37.5716416202203
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,0.149899065,0.014989906,16.6231038,1.66231038,18.402180502178,-0.921196371612684,37.7255573759686
"Bird Island","BI10","BI10.3",95,93,94,93.5,0.156235072,0.015623507,15.49312409,1.549312409,19.625733412851,0.311860478931418,38.9396063467705
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,0.163003033,0.016300303,27.34117399,2.734117399,20.9327014103408,1.62458117626158,40.24082164442
