Location,Site,Section,sample,top,bottom,mp,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Marion Island,PB1,PB1_1A,4,5,6.3,5.7,71.58035749,3.579017875,28.41964251,2.841964251,0.360788755,0.036078875,1771.848926,14.3519763,2134.314662,384.1766392,3780.755735,491.4982456,483.9049853,67.74669794,90.58997647,10.87079718,3050.532794,549.0959029,1.690889426,0.11836226,3.447393088,1.861592268,9.794512059,1.371231688,32.22505588,2.900255029,0.439985779,0.031282989,0.868594897,0.138975184,81.06532941,1.621306588,6.897431912,0.344871596,0.673868779,0.02762862,0.096780997,0.006223018
Marion Island,PB1,PB1_1A,7,9.8,11.1,10.4,29.61002281,1.480501141,70.38997719,7.038997719,1.012276019,0.101227602,2015.155225,11.48638479,2089.942677,376.1896819,6525.57179,848.3243327,1408.35037,197.1690518,86.46016016,10.37521922,7851.216036,1413.218886,2.851308267,0.199591579,5.334838241,2.88081265,13.40015169,1.876021237,31.8213276,2.863919484,0.827647802,0.02805726,1.338842032,0.214214725,104.8784032,2.097568064,17.18644975,0.859322488,1.466127343,0.066708794,0.209170238,0.002593711
Marion Island,PB1,PB1_1A,9,12.6,13.8,13.2,75.74731616,3.787365808,24.25268384,2.425268384,0.292144605,0.02921446,2317.433526,9.73322081,1779.04261,320.2276698,4940.432966,642.2562856,1241.462931,173.8048103,55.81310149,6.697572179,8344.923993,1502.086319,2.134905215,0.149443365,5.589422519,3.01828816,11.97926549,1.677097169,24.29654636,2.186689172,0.948065571,0.028821193,1.014046175,0.162247388,94.53614478,1.890722896,15.76503787,0.788251894,1.791481576,0.048370003,0.201727586,0.005971137
Marion Island,PB1,PB1_1A,14,19.4,20.7,20.1,71.91050025,3.595525013,28.08949975,2.808949975,0.345137645,0.034513765,2802.907849,40.92245459,1462.794157,263.3029483,6131.18343,797.0538459,2277.256134,318.8158588,62.90213663,7.548256396,10691.94331,1924.549796,2.998855814,0.209919907,8.261052616,4.460968413,11.24002965,1.573604151,21.32425029,1.919182526,1.08566532,0.017044946,1.446039186,0.23136627,92.32272965,1.846454593,27.06353779,1.35317689,1.296380378,0.039021049,0.380536628,0.006811606
Marion Island,PB1,PB1_1A,16,22.3,23.5,22.9,67.13543578,3.356771789,32.86456422,3.286456422,0.603070633,0.060307063,2178.116521,16.33587391,1354.604703,243.8288465,6943.504909,902.6556382,2862.642661,400.7699725,71.5155,8.58186,7986.619879,1437.591578,3.571440727,0.250000851,7.700557879,4.158301255,11.60429285,1.624600999,22.50065448,2.025058903,0.920888479,0.033336163,1.729952721,0.276792435,111.3330188,2.226660376,33.63395636,1.681697818,1.292769079,0.059984485,0.46145557,0.006183505
Marion Island,PB1,PB1_1A,17,23.7,24.9,24.3,68.52043629,3.426021815,31.47956371,3.147956371,0.434378762,0.043437876,1821.540325,33.33418795,1102.266789,198.408022,6534.507184,849.4859339,2202.675675,308.3745945,65.84935956,7.901923147,8570.237082,1542.642675,3.434464783,0.240412535,8.044716196,4.344146746,11.43140635,1.600396889,21.58351439,1.942516295,0.926562331,0.042529211,1.406166493,0.224986639,101.3618316,2.027236632,27.17845392,1.358922696,1.162250486,0.027661562,0.366802962,0.020394245
Marion Island,PB1,PB1_1A,22,30.4,31.6,31,59.52633489,2.976316744,40.47366511,4.047366511,0.771593844,0.077159384,2089.857912,48.06673198,1144.77978,206.0603604,8345.148352,1084.869286,2912.205495,407.7087693,83.23987912,9.988785494,8371.598901,1506.887802,4.068094505,0.284766615,8.92706044,4.820612638,13.55326154,1.897456616,18.08953077,1.628057769,1.093994725,0.050651956,1.945437912,0.311270066,129.978,2.59956,34.46506593,1.723253297,1.114361648,0.037331115,0.51366967,0.021368658
Marion Island,PB1,PB1_1A,28,38.5,39.8,39.2,63.18099355,3.159049677,36.81900645,3.681900645,0.587799686,0.058779969,2797.116997,28.81030507,3227.770248,580.9986446,23434.69076,3046.509799,10129.00989,1418.061385,323.9125641,38.86950769,26108.88564,4699.599415,12.9706968,0.907948776,23.03441319,12.43858312,33.18613386,4.64605874,52.60385462,4.734346916,1.368892536,0.05311303,6.18584993,0.989735989,270.9112707,5.418225414,116.7050439,5.835252195,1.629214904,0.079179844,1.383938431,0.01979032
Marion Island,PB1,PB1_1A,32,44,45.3,44.7,58.6261659,2.931308295,41.3738341,4.13738341,0.743284189,0.074328419,3466.27432,21.49090078,4573.268115,823.1882607,37810.7568,4915.398384,15989.14162,2238.479827,523.7464391,62.84957269,41892.79642,7540.703356,18.97802487,1.328461741,31.2414405,16.87037787,45.7672747,6.407418458,87.38332267,7.86449904,1.831382859,0.049081061,8.593039332,1.374886293,385.7181504,7.714363008,197.5983924,9.87991962,2.513567785,0.084455878,2.310849547,0.021721986
Marion Island,PB1,PB1_1B,39,46.4,47.6,47,72.32539759,3.61626988,27.67460241,2.767460241,0.506365094,0.050636509,3335.001167,42.35451482,4438.860201,798.9948362,35780.25835,4651.433586,14153.99091,1981.558727,517.3790221,62.08548265,41782.67485,7520.881473,22.23236511,1.556265558,41.34347364,22.32547577,44.24220161,6.193908225,77.76789376,6.999110438,1.848744282,0.079680879,8.614199678,1.378271948,341.4057384,6.828114768,176.5003252,8.82501626,2.112265006,0.046047377,2.09557536,0.047779118
