Location,Site,Section,sample,min_depth,max_depth,midpoint,depth,depth_err,SH20_min_age_95CI,SH20_max_age_95CI,SH20_median_age,SH20_mean_age,SH20_mean_95CI,accrate,accrate_err,kcps,cps,MSE,K,K_sd,Ca,Ca_sd,Ti,Ti_sd,Mn,Mn_sd,Fe,Fe_sd,Co,Co_sd,Ni,Ni_sd,Cu,Cu_sd,Zn,Zn_sd,Rb,Rb_sd,Sr,Sr_sd,Zr,Zr_sd,Mo_inc,Mo_coh,inc_coh,Ln_inc_coh,coh_inc,Ln_coh_inc,Total_scatter,kcps_sd,cps_sd,MSE_sd,Mo_inc_sd,Mo_coh_sd,inc_coh_sd,Ln_inc_coh_sd,coh_inc_sd,Ln_coh_inc_sd,Total_scatter_sd,Water_Content,Dry_mass,Dry_mass_err,LOI550,LOI550_err,C_org_pc,C_org_pc_err,Volume,Volume_err,Wet_density,Dry_density,Dry_density_err,DMAR,DMAR_err,DMAR_err_pc,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,K_sd_fr,Ca_sd_fr,Ti_sd_fr,Mn_sd_fr,Fe_sd_fr,Co_sd_fr,Ni_sd_fr,Cu_sd_fr,Zn_sd_fr,Rb_sd_fr,Sr_sd_fr,Zr_sd_fr
Bird Island,BI10,BI10.1,1,0,1.1,0.6,0.6,0.55,-67,-52,-61,-61,7,0.09517,0.07549,20689.81818,52220.36364,1.329090909,-8.394968464,9.556509377,-6.813280464,2.564938643,-7.824881376,9.173926142,-7.755888505,5.483631962,-1.947479117,0.298674787,-6.31816197,5.401441666,-5.39923619,0.827157291,-6.073613268,3.25646603,-8.471508541,19.22491231,-7.285884875,11.00585013,-7.193103142,11.86930209,-3.875929659,0.616552851,0,-1.922166729,6.836090686,1.921893934,0.146376585,-1.921893935,43804,873.5065905,1818.180039,0.057000797,1611.558568,191.8406062,0.182202519,0.026604035,0.003886984,0.026604035,1764.165809,87.49,12.51,0.63,90.56,4.53,52.34,4.53,3.9915,0.2116,0.7473,0.1069,0.011,0.0102,0.0091,89.6,7.485607268,1.347409308,7.350555843,0.95557226,4.904951743,0.686693244,3.536463443,0.424375613,9.543882005,1.717898761,-0.302742141,-0.02119195,0.903173306,0.487713585,1.474682899,0.206455606,3.131483408,0.281833507,0.828010694,0.132481711,3.280477529,0.065609551,1.063443024,0.053172151,1.138361558,0.376461626,1.172404501,0.707028209,0.153364821,0.854907122,0.153198945,0.536166181,2.269361144,1.510571512,1.6500948,0.15907225
Bird Island,BI10,BI10.1,4,3.9,5,4.5,4.5,0.55,-62,41,-24,-20,52,0.09524,-0.2374,24515.91667,60507.16667,1.321666667,-8.376025862,7.220284463,-6.956296725,1.95756539,-8.167386997,8.162940115,-7.145216404,3.797533526,-2.185661277,0.305290432,-6.317807957,3.198638019,-5.24401597,0.764214463,-6.125155205,2.895216075,-11.32556875,37.56266209,-6.685192311,8.530007488,-9.985463774,34.59066119,-3.918706243,0.50044465,0,-1.924241927,6.853673353,1.924503809,0.145989152,-1.924503808,51828.66667,487.3021199,1472.753564,0.068202017,654.3573009,185.3877795,0.169742759,0.024756333,0.003613515,0.024756333,759.6963907,89.51,10.49,0.52,90.31,4.52,45.15,4.52,3.7179,0.303,1.4999,0.1757,0.0231,0.0167,-0.0395,-236.1,7.194032483,1.294925847,7.242471201,0.941521256,4.379359838,0.613110377,3.334683479,0.400162017,9.143771872,1.645878937,-0.272851908,-0.019099634,1.095171178,0.591392436,1.180324225,0.165245391,2.526502418,0.227385218,0.422019572,0.067523131,3.22105826,0.064421165,0.748228536,0.037411427,0.862017929,0.281409127,0.999455532,0.531479148,0.139678748,0.506289213,0.145730766,0.472676361,3.31662479,1.275955439,3.464101615,0.1277066
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,12.3,0.55,-33,189,50,60,111,0.10578,0.20089,21782.66667,52798.33333,1.291666667,-8.361878558,7.277537465,-6.613415894,1.851757661,-8.121927888,5.059594253,-8.089138065,7.695367678,-3.582897505,0.567582679,-7.148626901,7.48887145,-5.390595282,0.690978052,-6.381461713,4.815188012,-9.181319464,26.91194303,-7.294832735,11.37212311,-8.320378827,20.15922415,-3.821653755,0.529449284,0,-1.938108948,6.949406891,1.938452952,0.143955505,-1.938452952,48154.33333,564.7542238,1711.664067,0.082553931,1322.154016,252.6443782,0.146903945,0.021027399,0.003010999,0.021027399,1547.898536,86.38,13.62,0.68,90.68,4.53,45.34,4.53,4.7687,0.701,0.9214,0.1452,0.0286,0.0154,0.0322,209.6,7.342925528,1.321726595,7.842679962,1.019548395,5.83054549,0.816276369,3.616037222,0.433924467,8.279495873,1.490309257,0.557321333,0.039012493,1.268783012,0.685142826,1.762743424,0.246784079,2.635227687,0.237170492,1.481370446,0.237019271,3.837393752,0.076747875,1.861133839,0.093056692,0.870323267,0.280000183,0.622954836,0.951321094,0.158414434,1.047595791,0.128182142,0.754558787,2.931162905,1.558928563,2.422873354,0.138539313
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,27.2,0.525,82,372,212,214,145,0.08802,0.06119,21759.58333,52292.16667,1.33,-8.188754482,6.653146291,-5.787522536,0.961580423,-7.153374378,3.079687286,-7.26659863,2.20273143,-3.305785461,0.281268375,-6.701151922,4.571488338,-5.301656049,0.451244963,-6.145816759,3.35894591,-6.106559382,4.07195331,-6.307943235,6.755208419,-5.102738007,1.245301576,-3.882803251,0.420787029,0,-1.910798828,6.75858272,1.910600997,0.148022999,-1.910600998,46839.91667,587.0123831,1289.586955,0.068090848,1078.149453,98.40650847,0.14503619,0.021547465,0.003202734,0.021547463,1138.107237,80.34,19.66,0.98,72.7,3.63,36.35,3.64,5.6796,1.5477,0.8756,0.2142,0.0691,0.0189,0.0192,101.8,8.511676171,1.532101711,8.758076607,1.138549959,6.976038906,0.976645447,4.086824169,0.4904189,8.426892113,1.51684058,0.158035995,0.01106252,1.953374927,1.054822461,2.934298591,0.410801803,4.420208437,0.397818759,2.945165643,0.471226503,4.803700168,0.096074003,3.573529408,0.17867647,0.812473534,0.166147158,0.430522313,0.303131017,0.085083675,0.682194403,0.085113964,0.546541825,0.666816296,1.070905074,0.24404576,0.108371968
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,36.7,0.475,182,468,347,340,143,0.07126,0.0308,22119.4,57449,1.346,-7.290160598,6.274938158,-5.176611569,0.663633042,-6.238249402,2.268155837,-6.773269755,2.692993219,-1.573195436,0.197480899,-5.588528312,2.054953965,-5.198437371,0.940952182,-5.63610562,2.117875496,-6.254314005,2.271576559,-6.709581935,5.346141336,-4.703512139,1.434442564,-3.88365414,0.524015356,0,-1.831141541,6.241044238,1.83104381,0.160262792,-1.83104381,44727.7,229.5663545,1848.955501,0.126156869,967.395593,126.3232186,0.094860109,0.015171435,0.00242683,0.015171434,1070.948806,78.21,21.79,1.09,61.98,3.1,30.99,3.1,4.6609,1.6313,1.0904,0.3038,0.1215,0.0216,0.018,83.2,9.708528206,1.747535077,9.041003807,1.175330495,7.582225674,1.061511594,4.998245353,0.599789442,9.828554171,1.769139751,2.707379067,0.189516535,2.286903519,1.2349279,3.234583751,0.452841725,4.50048585,0.405043727,3.765104996,0.602416799,5.014349568,0.100286991,3.71147308,0.185573654,0.86074073,0.128198346,0.363588515,0.397591314,0.125528523,0.367709323,0.181006736,0.375769306,0.363201553,0.796792019,0.30497265,0.13492843
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,41.4,0.5,244,520,411,404,138,0.07979,0.02824,23491.90909,61638.18182,1.349090909,-8.207786121,6.025399858,-5.468004298,0.692513895,-7.114653298,2.780873372,-7.017845738,3.324749296,-1.343297762,0.124635883,-5.060247834,1.184754163,-5.186961474,0.888105052,-5.651067262,2.035232123,-7.754311793,8.53937153,-8.88467278,15.60904377,-5.615471871,3.739102976,-3.890735261,0.470357968,0,-1.865087634,6.45711632,1.864969006,0.154934023,-1.864969007,47000.36364,847.1868099,2006.333812,0.064413437,1249.597652,167.3362429,0.140283271,0.021670954,0.003348951,0.021670954,1375.404542,80.53,19.47,0.97,46.97,2.35,23.49,2.35,4.9063,1.9134,1.0736,0.2596,0.1142,0.0207,0.0164,79.4,9.288082272,1.671854809,9.044021133,1.175722747,7.338388565,1.027374399,5.004690552,0.600562866,10.44699763,1.880459573,1.566247756,0.109637343,2.304662197,1.244517587,3.222893929,0.45120515,4.422733328,0.398046,3.048414101,0.487746256,4.978189201,0.099563784,3.323000013,0.166150001,0.734107806,0.126648382,0.39086562,0.473756395,0.092783511,0.234129671,0.171218749,0.360150044,1.101241704,1.75685072,0.665857307,0.120891795
Bird Island,BI10,BI10.2,51,45.9,46.9,46.4,46.4,0.5,374,544,470,467,85,0.07984,0.01535,24155,62053.09091,1.374545455,-8.282043532,8.542227809,-5.221507942,0.703467305,-6.739180111,2.93846992,-6.981990429,2.97991935,-1.646352804,0.135706385,-5.409724521,1.567017691,-5.236714318,0.61964086,-5.763800462,1.866281401,-5.369784987,3.143063744,-6.503077415,5.821436295,-4.941400154,1.132100689,-3.870272988,0.281430813,0,-1.849117064,6.357444179,1.849253461,0.157412858,-1.849253462,49069.27273,453.4772321,1133.338295,0.091253892,762.7776871,166.4602601,0.182779022,0.028592983,0.004475297,0.028592983,803.3255991,84.86,15.14,0.76,86.82,4.34,43.41,4.34,5.8291,3.2905,1.0017,0.1787,0.1098,0.0143,0.0115,80.7,7.815944161,1.406869949,8.850115835,1.150515059,5.707166979,0.799003377,4.020061489,0.482407379,10.17836393,1.832105507,2.835820277,0.198507419,2.269238293,1.225388678,3.424323888,0.479405344,5.03855591,0.453470032,1.664731451,0.266357032,4.708585613,0.094171712,1.849361014,0.092468051,1.031415468,0.134724932,0.436027806,0.426800836,0.082428496,0.289666819,0.118326268,0.323793548,0.585323947,0.895181761,0.229105244,0.072716011
Bird Island,BI10,BI10.2,54,49.3,50.3,49.8,49.8,0.5,431,612,509,509,91,0.04431,0.00833,23782.54545,58865.81818,1.302727273,-8.152688503,6.181207018,-5.306768508,0.664891162,-7.268801195,4.362281868,-7.216311013,4.262074033,-2.289675107,0.367560689,-6.337061552,4.160687275,-5.207106013,0.640064534,-5.809629302,2.340944963,-7.998537823,22.01221171,-6.808953756,9.217709685,-5.283884214,2.531056439,-3.804188678,0.355968754,0,-1.885845525,6.592927335,1.885875918,0.1517146,-1.885875918,50175.72727,415.853427,920.7227398,0.071005762,549.8352977,99.84733802,0.107707507,0.016359697,0.002485303,0.016359698,588.7108103,77.63,22.37,1.12,49.27,2.46,24.64,2.47,5.7227,3.3993,0.9612,0.2769,0.1783,0.0123,0.0102,83.2,10.06045771,1.810882388,8.899236015,1.156900682,7.551719286,1.0572407,5.462785078,0.655534209,9.930369424,1.787466496,1.740789985,0.121855299,1.838825236,0.992965627,2.504116673,0.350576334,4.038208544,0.363438769,4.067646386,0.650823422,5.036730357,0.100734607,3.44709556,0.172354778,0.758180202,0.125291156,0.600137733,0.590616733,0.160529626,0.656564125,0.122921356,0.402942226,2.752029458,1.353763003,0.479014364,0.093572844
Bird Island,BI10,BI10.2,62,58.4,59.4,58.9,58.9,0.5,517,1000,723,731,242,0.04011,0.0136,23787.45455,55955.63636,1.37,-9.087671328,11.52379792,-5.494602179,1.15054379,-7.858562551,4.954240169,-7.012785603,3.02682735,-3.719064961,0.509223974,-7.542044929,10.07090326,-5.253511589,0.896799055,-5.808812799,1.571657045,-5.730457499,1.891032361,-7.947510037,11.71511761,-5.331558125,1.667309146,-3.911727061,0.33422893,0,-1.918923354,6.816632467,1.919182655,0.146753534,-1.919182654,50718.90909,321.6977972,1024.875531,0.086139422,670.183679,182.7842742,0.137121981,0.020033304,0.002927739,0.020033305,814.1142984,87.79,12.21,0.61,89.03,4.45,44.52,4.45,5.7227,3.8571,1.0337,0.1438,0.1041,0.0058,0.0061,106.3,6.766190143,1.217914226,8.668482369,1.126902708,5.418983672,0.758657714,3.598633212,0.431835985,7.764342598,1.397581668,0.437681308,0.030637692,2.032766371,1.09769384,3.798103023,0.531734423,4.691892235,0.422270301,1.269929713,0.203188754,4.583075538,0.091661511,1.833430766,0.091671538,1.268069399,0.209395285,0.630425747,0.431615555,0.136922581,1.335301414,0.170704688,0.270564244,0.329996752,1.474061379,0.312724556,0.085442804
Bird Island,BI10,BI10.2,67,64.1,65.2,64.6,64.6,0.525,707,1112,883,891,203,0.03456,0.00815,22661.41667,55280.33333,1.319166667,-7.73582949,8.079104634,-5.088793395,0.884766838,-6.618698154,5.767456933,-6.721682968,5.034220703,-2.764330177,0.354531839,-6.373176892,2.412593976,-5.267017398,0.77012995,-5.577244279,2.276327101,-4.475040677,0.551560158,-5.810149296,4.654246416,-4.270970139,1.252495326,-3.810991749,0.544735152,0,-1.847871,6.347789481,1.847722769,0.157657004,-1.847722769,47250.75,631.5493874,1314.721079,0.083389375,1324.429746,173.9291697,0.182454354,0.029041933,0.004628057,0.029041933,1425.894432,77.02,22.98,1.15,80.57,4.03,40.28,4.03,5.5719,4.0229,1.0497,0.3133,0.2418,0.0108,0.0109,100.8,8.957588582,1.612365945,9.114377546,1.184869081,7.273786889,1.018330164,4.48256118,0.537907342,8.739210768,1.573057938,1.403362315,0.098235362,1.785103665,0.963955979,3.599795132,0.503971318,5.566952631,0.501025737,3.413203773,0.546112604,5.124204491,0.10248409,3.415224303,0.170761215,1.044374704,0.173865742,0.871388421,0.748952417,0.128252349,0.378554372,0.146217468,0.40814549,0.123252546,0.801054531,0.293257805,0.142937899
