"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.2",71,68.7,69.8,69.2,69.2,0.55,826,1194,1027,1024,184,0.0397,0.00745,76.84,23.16,1.16,65.27,3.26,32.63,3.26,5.7255,4.36,1.0071,0.3035,0.2463,0.012,0.012,99.9,3558.613952,53.10499408,1973.319538,355.1975168,6626.492173,861.4439825,461.9149499,64.66809299,46.49996193,5.579995432,3694.801697,665.0643055,2.041238975,0.142886728,6.674238754,3.604088927,34.06414422,4.768980191,140.4650062,12.64185056,10.75975255,0.084324463,7.795499709,1.247279953,114.9998151,2.299996302,21.97235957,1.098617979,4.288871292,0.045808063,1.233894651,0.01690507
"Bird Island","BI10","BI10.3",84,80,81,80.5,80.5,0.5,1078,1383,1228,1228,153,0.11538,0.01505,83.75,16.25,0.81,72.37,3.62,36.18,3.62,3.6287,3.2041,0.8837,0.1715,0.16,0.0198,0.021,106.3,3474.148775,97.58287489,14359.67839,2584.74211,9905.624178,1287.731143,2197.326275,307.6256785,125.5077224,15.06092669,6284.597012,1131.227462,2.439569014,0.170769831,6.367819135,3.438622333,39.61078518,5.545509925,67.51751759,6.076576583,5.520887153,0.016892471,50.21714125,8.0347426,209.897137,4.19794274,39.24997232,1.962498616,4.871746851,0.049115691,3.886857404,0.030253524
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,85.3,0.525,1140,1414,1267,1270,137,0.11538,0.01316,83.38,16.62,0.83,73.08,3.65,36.54,3.66,4.9476,4.5963,0.9241,0.1842,0.1804,0.0213,0.0232,109.3,3858.056048,77.55997105,3095.570446,557.2026803,7180.738417,933.4959942,574.7925663,80.47095928,57.22472424,6.866966909,3753.765384,675.6777691,2.601276107,0.182089327,5.912256586,3.192618556,37.01157435,5.181620409,65.03458094,5.853112285,8.662126972,0.092756516,13.30255749,2.128409198,130.9618352,2.619236704,13.33706426,0.666853213,3.755055231,0.044804774,1.35530674,0.018758598
"Bird Island","BI10","BI10.3",95,93,94,93.5,93.5,0.5,1233,1487,1332,1342,127,0.11287,0.01132,84.51,15.49,0.77,71.74,3.59,35.87,3.59,5.4091,5.4227,0.926,0.1698,0.1787,0.0192,0.0221,115.3,3318.93706,140.159263,3134.001598,564.1202876,6732.62029,875.2406377,606.0238476,84.84333866,60.2997145,7.23596574,11390.75321,2050.335578,5.745017677,0.402151237,7.120078834,3.84484257,25.20300712,3.528420997,71.97280393,6.477552354,7.32730259,0.127147154,10.28410137,1.645456219,119.867266,2.39734532,13.96054981,0.698027491,4.655602184,0.05117785,1.122462139,0.002027459
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,96.8,0.5,1278,1505,1359,1371,114,0.11294,0.00996,72.66,27.34,1.37,78.62,3.93,39.31,3.93,5.6172,5.8053,0.9172,0.3451,0.374,0.039,0.0457,117.2,3046.497536,93.59658386,3044.618396,548.0313113,6605.365982,858.6975777,562.7226914,78.7811768,54.01867077,6.482240492,7073.372392,1273.207031,3.633220643,0.254325445,5.857915852,3.16327456,18.81424853,2.633994794,41.79884834,3.761896351,5.049060535,0.052888463,9.694363956,1.551098233,112.4064678,2.248129356,13.08141258,0.654070629,4.214972855,0.00900571,0.992804532,0.005060371
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,103.7,0.475,1358,1649,1477,1487,145,0.04191,0.00429,83.17,16.83,0.84,84.12,4.21,42.06,4.21,5.3363,5.8353,0.944,0.191,0.2184,0.008,0.01,124.6,3335.981766,60.0124919,1424.582603,256.4248685,7089.603048,921.6483962,441.0920959,61.75289343,47.40786167,5.6889434,1987.252608,357.7054694,1.389287804,0.097250146,4.568507031,2.466993797,19.39416739,2.715183435,45.72842227,4.115558004,4.628095976,0.048659815,6.266500548,1.002640088,127.1397723,2.542795446,11.39582517,0.569791259,4.732409551,0.019576414,0.984439937,0.012776705
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,115.4,0.5,1478,2098,1763,1768,310,0.04149,0.00745,86.16,13.84,0.69,85,4.25,42.5,4.25,3.9741,4.7093,1.714,0.2754,0.3402,0.0114,0.0162,141.5,4610.248256,169.7864944,1716.680373,309.0024671,5586.311354,726.220476,354.6954517,49.65736324,38.81328375,4.65759405,15892.74003,2860.693205,1.543818014,0.108067261,5.784125479,3.123427759,42.10225675,5.894315945,35.80217711,3.22219594,5.434072792,0.066823231,6.037782671,0.966045227,94.40874214,1.888174843,8.138802933,0.406940147,3.83135941,0.031914034,0.865875823,0.005713133
"Bird Island","BI10","BI10.3",119,120.7,121.7,121.2,121.2,0.475,1584,2220,1920,1912,318,0.03575,0.00609,87.29,12.71,0.64,88.51,4.43,44.26,4.43,5.0413,6.2613,1.2611,0.1836,0.2372,0.0066,0.0096,146.2,2888.301683,68.23238158,1641.390095,295.4502171,5647.265231,734.14448,401.5251511,56.21352115,37.52718028,4.503261634,3019.385269,543.4893484,1.001920559,0.070134439,9.469595678,5.113581666,77.32937965,10.82611315,126.1466188,11.35319569,11.39866575,0.123110885,6.954876946,1.112780311,100.7977844,2.015955688,10.71344504,0.535672252,3.961646879,0.031813072,0.860069661,0.003042513
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,122.3,0.45,1650,2226,1946,1943,288,0.03576,0.00543,87.79,12.21,0.61,89.09,4.45,44.55,4.46,4.7759,5.9795,1.0924,0.1519,0.1978,0.0054,0.0079,145.4,4492.936701,91.25578968,683.2265993,122.9807879,5350.125775,695.5163508,192.9637106,27.01491948,32.12024806,3.854429767,4238.013215,762.8423787,0.741821487,0.051927504,6.534750001,3.528765001,62.86286744,8.800801442,87.02811474,7.832530327,13.1076901,0.161700542,2.592646444,0.414823431,91.74775016,1.834955003,5.71655892,0.285827946,5.092746285,0.020391728,0.664291765,0.003592713
"Bird Island","BI10","BI10.4",145,132,133,132.5,132.5,0.5,2052,2331,2181,2196,139,0.06663,0.00448,85.19,14.81,0.74,83.92,4.2,41.96,4.2,4.1527,6.2124,1.5704,0.273,0.422,0.0182,0.0293,161.3,3582.990472,78.58668299,5412.77206,974.2989708,5488.24581,713.4719553,523.0275133,73.22385186,51.81193098,6.217431718,36760.73258,6616.931864,3.769043144,0.26383302,7.155451754,3.863943947,40.6484082,5.690777148,36.99629166,3.329666249,7.711571305,0.048823252,9.787053209,1.565928513,91.25190224,1.825038045,9.674570314,0.483728516,4.402169903,0.038260027,0.858893791,0.005791892
