"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc"
"Kerguelen","KER3","CAT2.3A",5,6.5,7.7,7.1,7.1,0.6,-57,218,27,43,138,0.06744,0.22118,22129,52739.1428571429,1.27714285714286,25.8571428571429,108.428571428571,43,30.1428571428571,1580.28571428571,46.8571428571429,192.142857142857,97.4285714285714,0.181818181818182,43.8571428571429,74.8571428571429,948.142857142857,41139.2857142857,6004.14285714286,6.85789407842857,1.92506039087857,0.145916017714286,-1.92506039176904,47143.4285714286,667.669079709402,1309.77967976443,0.108430359480834,5.39841246505462,13.1638031847075,9.69535971483266,18.8186837250339,185.419986594141,47.8519542318757,29.5659070069372,44.5378383806292,0.603022689155527,49.804379229905,69.1747270116974,76.9229670328886,922.584723171033,251.063357588895,0.194198582080881,0.0280917603841002,0.0040652687759654,0.0280917592377678,1131.94756314694,86.55,13.45,0.67,84.85,4.24,49.05,4.24,4.7689,0.453,0.9249,0.1244,0.018,0.0084,0.0287,342.5
"Kerguelen","KER3","CAT2.3A",6,7.9,9.1,8.5,8.5,0.6,-55,274,46,65,165,0.06315,0.16546,22243.6153846154,53274.6923076923,1.31384615384615,19.4615384615385,94.4615384615385,47.3076923076923,31.8461538461538,1533.30769230769,43.6153846153846,220.538461538462,130.769230769231,1.46153846153846,59.2307692307692,81.0769230769231,986.615384615385,41542.6923076923,6149.15384615385,6.75740778453846,1.91053263485731,0.148017348461538,-1.91053263474278,47691.8461538462,366.984908513856,984.738661152913,0.0713604070357484,13.6236031982205,20.201548557043,22.4995726455142,19.3728596832706,258.667542292993,34.1822040969139,40.7545813061047,45.9059797233321,4.01280003271582,75.7739553388386,61.9024252869809,75.274540252707,494.365145854658,125.290892295919,0.102693975147703,0.0152105240107151,0.00225338228546777,0.0152105245019778,585.295629882006,86.59,13.41,0.67,100,5,57.8,5,3.9588,0.3998,0.9471,0.127,0.0192,0.008,0.0222,277.1
"Kerguelen","KER3","CAT2.3A",7,9.4,10.6,10,10,0.605,-53,334,65,88,194,0.05309,0.12051,21833.8461538462,52560.9230769231,1.27615384615385,25,88.8461538461538,32.6153846153846,20.2307692307692,1524.38461538462,59.8461538461538,221.384615384615,108.307692307692,6.07692307692308,33.6923076923077,50.6923076923077,948.923076923077,41051.4615384615,6088.38461538462,6.74679321446154,1.90880241649627,0.148297237307692,-1.90880241560435,47139.8461538462,447.452762153699,1090.82762628034,0.0642311530773116,7.81024967590665,19.3900582509274,20.1185588513792,17.8052138719433,291.690057670106,38.5634675002265,35.9247789636867,40.2148078353082,15.1407922429307,36.8700072673906,71.4648918646826,87.7120872879574,532.400947811674,187.899591298801,0.161378868473832,0.0239768544969382,0.00356446766652255,0.0239768542022024,673.61893853942,87.15,12.85,0.64,89.33,4.47,51.64,4.47,4.3907,0.4961,0.9316,0.1197,0.0195,0.0064,0.0155,243.3
"Kerguelen","KER3","CAT2.3A",8,10.8,12,11.4,11.4,0.6,-25,357,93,115,191,0.04938,0.08434,21983.4615384615,53793.5384615385,1.30384615384615,19.3076923076923,80.3076923076923,57.9230769230769,32.3076923076923,2439.15384615385,30.3076923076923,202,95.0769230769231,6.92307692307692,55.6153846153846,67.4615384615385,971.153846153846,41194.6923076923,6102.53846153846,6.75318684692308,1.90976090680513,0.148153268153846,-1.90976090683136,47297.2307692308,387.286632737868,1036.73297875141,0.101697137090027,11.7500681940192,19.7921896017285,22.2390854820274,18.1171402056387,556.798414472396,29.8590706915688,24.7554707758373,50.2600927483916,15.4135305195443,61.7758562082017,56.8706359272448,64.1961137892398,565.638191870531,140.037861180834,0.15850618245381,0.0234267190377644,0.00346397847937413,0.0234267181097271,618.216002414225,88.52,11.48,0.57,100,5,57.8,5,4.4562,0.5503,0.9565,0.1098,0.019,0.0054,0.0102,188.2
"Kerguelen","KER3","CAT2.3A",9,12.3,13.5,12.9,12.9,0.6,-8,384,128,144,196,0.05291,0.07412,22313.8461538462,53827.8461538462,1.33230769230769,13.2307692307692,83.7692307692308,35.7692307692308,26,1979.76923076923,48.1538461538462,224.769230769231,115.076923076923,0.181818181818182,43.6923076923077,72.6923076923077,935.076923076923,41663.6923076923,6181.92307692308,6.74280432253846,1.90823078566056,0.148379162307692,-1.9082307854241,47845.6153846154,524.960132796426,911.015902363386,0.067964923079709,7.44036117127216,17.239266448788,18.8774726687386,15.1712447303004,152.110241736136,45.7763515253712,33.6926150319667,33.3253195495095,0.603022689155527,43.9988344833978,75.4557095425131,94.5977990745217,756.835008947941,178.851177210953,0.154977266531673,0.023076539239541,0.00343725876994278,0.0230765393805198,875.035098197165,87.65,12.35,0.62,90.09,4.5,52.08,4.51,4.1542,0.5484,0.9799,0.121,0.022,0.0064,0.0101,158.3
"Kerguelen","KER3","CAT2.3A",10,13.7,14.9,14.3,14.3,0.6,5,412,161,172,204,0.0494,0.06055,23201.0769230769,55247.6153846154,1.32230769230769,10.0769230769231,66.3076923076923,32.2307692307692,25.6153846153846,1533.53846153846,46.3076923076923,236.076923076923,93.7692307692308,0.181818181818182,30.0769230769231,69.2307692307692,977,43172,6391.92307692308,6.75630991646154,1.91036476222733,0.148042992461538,-1.91036476242225,49563.9230769231,432.351604896305,944.296964100942,0.0760650868394787,9.36715483717386,11.7003177690794,16.5386106135201,19.4273795691307,199.813919845697,39.8212351545098,28.6107833356048,67.4909300649031,0.603022689155527,45.8647677752425,66.7547174939143,134.14668588278,590.204060756391,160.960896668757,0.105255702419872,0.0155887459111246,0.00230931194755511,0.015588746666651,730.797334142472,87.8,12.2,0.61,93.55,4.68,54.07,4.68,4.5593,0.6565,0.9407,0.1148,0.0223,0.0057,0.008,142
"Kerguelen","KER3","CAT2.3A",11,15.2,16.4,15.8,15.8,0.6,16,443,193,201,213,0.05291,0.05811,22393.8461538462,53714.0769230769,1.28615384615385,9.76923076923077,54.5384615384615,18,22.9230769230769,1702.46153846154,48.6153846153846,202.615384615385,91,1.76923076923077,23,34,921.461538461538,42230,6160.76923076923,6.85610592784615,1.92495079119875,0.145910577230769,-1.92495079102517,48390.7692307692,335.673165979907,1092.40624781096,0.0795338985945051,7.82255122656974,16.8405036772231,18.8325958557674,12.7505655983146,353.249584898226,43.9346834546058,35.9154991183901,35.5129084512472,6.37905225659013,29.9694288678758,63.7142056373616,107.221433945997,586.258617562818,95.2891685399009,0.13845614791596,0.0202444492435496,0.00296115069100286,0.0202444493162153,599.250386433773,86.86,13.14,0.66,95.48,4.77,55.19,4.78,4.5593,0.7021,1.0112,0.1329,0.0271,0.007,0.0092,130.2
"Kerguelen","KER3","CAT2.3A",12,16.6,17.8,17.2,17.2,0.6,24,481,219,229,228,0.05023,0.05187,22412.8461538462,54805.1538461538,1.33076923076923,10.1538461538462,62,36,34.9230769230769,2949.61538461538,51,223.615384615385,77.6153846153846,7.84615384615385,44.8461538461538,37.5384615384615,944.461538461538,41625,6159.61538461538,6.76164867707692,1.91093667350901,0.147991291076923,-1.9109366734426,47784.6153846154,514.110209675229,1674.64010293525,0.0520354908470393,6.68139398935773,14.6173412995205,16.1915615882677,19.3927028306248,1359.91681966591,38.2796725865482,29.0876218276734,38.9990137942369,28.2897100074867,48.0153554498387,54.9448441387897,134.852768717477,719.884365714383,177.847096528422,0.179551399540134,0.0268384090905935,0.00401491018570016,0.0268384097024112,809.129834911301,86.39,13.61,0.68,85.53,4.28,49.44,4.28,4.7689,0.7869,0.9889,0.1346,0.0289,0.0068,0.0084,124.8
"Kerguelen","KER3","CAT2.3A",13,18.1,19.3,18.7,18.7,0.625,32,522,246,258,245,0.05085,0.04989,22491.4615384615,54693.8461538462,1.41,13.1538461538462,65.1538461538462,42.1538461538462,27.1538461538462,2056.69230769231,44.0769230769231,203.230769230769,82.9230769230769,0.181818181818182,47.6153846153846,48.6153846153846,973.384615384615,42155.0769230769,6218.76923076923,6.78123892061538,1.91391082430305,0.147539399,-1.91391082391444,48373.8461538462,343.885546702343,1021.84749727751,0.0847545475672741,11.802867969595,14.0821764052185,18.4429126127362,12.2871623646129,303.655337681662,38.2850308834091,40.6983903165589,33.6735839555319,0.603022689155527,85.1337559975854,78.9013502858036,73.0873204479164,573.913242795817,133.347387079859,0.156949461060956,0.0232689531608776,0.00345193697805811,0.023268953351974,611.845139196982,86.2,13.8,0.69,85.23,4.26,49.27,4.26,3.7312,0.6306,1.0423,0.1438,0.0315,0.0073,0.0088,120
"Kerguelen","KER3","CAT2.3A",14,19.6,20.8,20.2,20.2,0.6,47,573,274,287,263,0.05623,0.05324,21385,53164.25,1.3075,14.4166666666667,82.75,45.5833333333333,35.1666666666667,2391.58333333333,57.1666666666667,186.333333333333,82.0833333333333,3,46.6666666666667,50.25,1006.25,40558.0833333333,5927.58333333333,6.84468982283333,1.92333483403606,0.146139171083333,-1.92333483506725,46485.6666666667,599.70689810637,1319.14442830468,0.0967776270163156,7.19164077034559,17.2369845496141,28.1051866236735,18.7802281588103,670.712979981118,47.0122485651507,25.9521704586563,51.6323688702302,7.21110255092798,56.12054126178,50.8261296435746,115.300496726834,845.833903567504,179.479782772998,0.118631059731394,0.0173915996878555,0.00255048996918333,0.0173916002976667,998.921175644763,86.71,13.29,0.66,87.27,4.36,50.45,4.36,4.3544,0.7969,0.9627,0.1279,0.0298,0.0072,0.0085,118
