"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc"
"Kerguelen","KER3","CAT2.3A",1,0,1.2,0.6,0.6,0.6,-66,-41,-58,-57,12,0.0632,0.04953,89.73,10.27,0.51,89.81,4.49,51.91,4.49,3.768,0.1884,0.9044,0.0929,0.0093,0.0059,0.0052,88.4
"Kerguelen","KER3","CAT2.3A",2,1.5,3.1,2.3,2.3,0.8,-63,26,-36,-31,45,0.06795,-0.075,89.82,10.18,0.51,90.63,4.53,52.39,4.53,5.8059,0.3658,0.818,0.0833,0.0094,0.0057,-0.0056,-99.1
"Kerguelen","KER3","CAT2.3A",3,3.3,4.8,4,4,0.725,-61,94,-14,-5,78,0.0641,-1.08306,88.27,11.73,0.59,90.91,4.55,52.55,4.55,2.9139,0.1807,1.2259,0.1438,0.0161,0.0092,-0.1547,-1678.4
"Kerguelen","KER3","CAT2.3A",4,5,6.2,5.6,5.6,0.6,-59,158,7,20,109,0.06294,0.34801,87.08,12.92,0.65,87.07,4.35,50.33,4.35,3.0521,0.232,1.131,0.1462,0.0184,0.0092,0.052,565.6
"Kerguelen","KER3","CAT2.3A",5,6.5,7.7,7.1,7.1,0.6,-57,218,27,43,138,0.06744,0.22118,86.55,13.45,0.67,84.85,4.24,49.05,4.24,4.7689,0.453,0.9249,0.1244,0.018,0.0084,0.0287,342.5
"Kerguelen","KER3","CAT2.3A",6,7.9,9.1,8.5,8.5,0.6,-55,274,46,65,165,0.06315,0.16546,86.59,13.41,0.67,100,5,57.8,5,3.9588,0.3998,0.9471,0.127,0.0192,0.008,0.0222,277.1
"Kerguelen","KER3","CAT2.3A",7,9.4,10.6,10,10,0.605,-53,334,65,88,194,0.05309,0.12051,87.15,12.85,0.64,89.33,4.47,51.64,4.47,4.3907,0.4961,0.9316,0.1197,0.0195,0.0064,0.0155,243.3
"Kerguelen","KER3","CAT2.3A",8,10.8,12,11.4,11.4,0.6,-25,357,93,115,191,0.04938,0.08434,88.52,11.48,0.57,100,5,57.8,5,4.4562,0.5503,0.9565,0.1098,0.019,0.0054,0.0102,188.2
"Kerguelen","KER3","CAT2.3A",9,12.3,13.5,12.9,12.9,0.6,-8,384,128,144,196,0.05291,0.07412,87.65,12.35,0.62,90.09,4.5,52.08,4.51,4.1542,0.5484,0.9799,0.121,0.022,0.0064,0.0101,158.3
"Kerguelen","KER3","CAT2.3A",10,13.7,14.9,14.3,14.3,0.6,5,412,161,172,204,0.0494,0.06055,87.8,12.2,0.61,93.55,4.68,54.07,4.68,4.5593,0.6565,0.9407,0.1148,0.0223,0.0057,0.008,142
"Kerguelen","KER3","CAT2.3A",11,15.2,16.4,15.8,15.8,0.6,16,443,193,201,213,0.05291,0.05811,86.86,13.14,0.66,95.48,4.77,55.19,4.78,4.5593,0.7021,1.0112,0.1329,0.0271,0.007,0.0092,130.2
"Kerguelen","KER3","CAT2.3A",12,16.6,17.8,17.2,17.2,0.6,24,481,219,229,228,0.05023,0.05187,86.39,13.61,0.68,85.53,4.28,49.44,4.28,4.7689,0.7869,0.9889,0.1346,0.0289,0.0068,0.0084,124.8
"Kerguelen","KER3","CAT2.3A",13,18.1,19.3,18.7,18.7,0.625,32,522,246,258,245,0.05085,0.04989,86.2,13.8,0.69,85.23,4.26,49.27,4.26,3.7312,0.6306,1.0423,0.1438,0.0315,0.0073,0.0088,120
"Kerguelen","KER3","CAT2.3A",14,19.6,20.8,20.2,20.2,0.6,47,573,274,287,263,0.05623,0.05324,86.71,13.29,0.66,87.27,4.36,50.45,4.36,4.3544,0.7969,0.9627,0.1279,0.0298,0.0072,0.0085,118
