"Location","Site","Section","Sample_ID","Core_section","Sample","Radius_1_cm","Radius_2_cm","Thickness_cm","section_cut_loss","section_depth_top","section_depth_bottom","section_depth_mid","field_depth_top","field_depth_bottom","field_depth_mid","strat_depth_top","strat_depth_bottom","strat_depth_mid","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate_cmyr-1","accrate_err_cmyr-1","Bag_mass","Wet_bag_g","Dry_bag_g","Wet_mass_g","Dry_mass_g","Water_Content_pc","Dry_mass","Dry_mass_err","Ash_Mass","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc"
"Kerguelen","KER3","CAT2.3A","CAT2.3A_1","A",1,3,1,1.2,0.25129,0,1.2,0.6,0,1.2,0.6,0,1.2,0.6,0.6,0.6,-65.8,-39,-57,-56,13,0.05702,0.04323,1.1476,4.5555,1.4977,3.4079,0.3501,89.73,-0.921638863160647,0.51,0.016,0.279848479059453,4.49,0.279511884800174,4.49,3.768,0.1884,0.9044,-0.887014658747572,0.0093,0.0053,0.0045,85.8
"Kerguelen","KER3","CAT2.3A","CAT2.3A_2","A",2,1.4,2.9,1.6,0.25129,1.5,3.1,2.3,1.5,3.1,2.3,1.5,3.1,2.3,2.3,0.8,-62.6,37,-33,-27,50,0.06131,-0.09189,1.1476,5.897,1.6313,4.7494,0.4837,89.82,-0.933582180925876,0.51,0.034,0.325426056825286,4.53,0.325667078845658,4.53,5.8059,0.3658,0.818,-0.964910210748633,0.0094,0.0051,-0.0071,-138.6
"Kerguelen","KER3","CAT2.3A","CAT2.3A_3","A",3,1.7,1.5,1.5,0.25129,3.3,4.8,4,3.3,4.8,4,3.3,4.8,4,4,0.7,-60.4,114,-9,2,87,0.05782,2.37197,1.1476,4.7199,1.5667,3.5723,0.4191,88.27,-0.727891708302493,0.59,0.009,0.340989132159961,4.55,0.341052143527486,4.55,2.9139,0.1807,1.2259,-0.474005950741944,0.0161,0.0083,0.3421,4113.2
"Kerguelen","KER3","CAT2.3A","CAT2.3A_4","A",4,1.6,2,1.2,0.25129,5,6.2,5.6,5,6.2,5.6,5,6.2,5.6,5.6,0.6,-58.3,186,13,29,122,0.05678,0.24157,1.1476,4.5994,1.5937,3.4518,0.4461,87.08,-0.569974506740025,0.65,0.015,0.127552670427277,4.35,0.127584371067125,4.35,3.0521,0.232,1.131,-0.454532062741678,0.0184,0.0083,0.0364,438.1
"Kerguelen","KER3","CAT2.3A","CAT2.3A_5","A",5,1.8,2.7,1.2,0.25129,6.5,7.7,7.1,6.5,7.7,7.1,6.5,7.7,7.1,7.1,0.6,-56.2,254,35,55,155,0.06085,0.17668,1.1476,5.5582,1.741,4.4106,0.5934,86.55,-0.4996416354559,0.67,0.01,0.00415971598806916,4.24,0.00450385361250322,4.24,4.7689,0.453,0.9249,-0.631419878744089,0.018,0.0076,0.0231,304.8
"Kerguelen","KER3","CAT2.3A","CAT2.3A_6","A",6,2.3,1.8,1.2,0.25129,7.9,9.1,8.5,7.9,9.1,8.5,7.9,9.1,8.5,8.5,0.6,-54.7,317,54,79,186,0.05698,0.1383,1.1476,4.8968,1.6504,3.7492,0.5028,86.59,-0.504949776684891,0.67,0,0.846233256417799,5,0.845874578399959,5,3.9588,0.3998,0.9471,-0.610323166743801,0.0192,0.0072,0.0187,257.8
"Kerguelen","KER3","CAT2.3A","CAT2.3A_7","A",7,1.9,2.4,1.2,0.25129,9.4,10.6,10,9.4,10.6,10,9.4,10.6,10,10,0.6,-53,384,76,104,219,0.05386,0.11608,1.1476,5.2381,1.6731,4.0905,0.5255,87.15,-0.579263753890758,0.64,0.008,0.253168921342867,4.47,0.25354958814959,4.47,4.3907,0.4961,0.9316,-0.669556242744608,0.0195,0.0064,0.0149,231.8
"Kerguelen","KER3","CAT2.3A","CAT2.3A_8","A",8,2,2.4,1.2,0.25129,10.8,12,11.4,10.8,12,11.4,10.8,12,11.4,11.4,0.6,-22.4,393,106,131,208,0.0501,0.0818,1.1476,5.4101,1.6368,4.2625,0.4892,88.52,-0.761067590983684,0.57,0,0.846233256417799,5,0.845874578399959,5,4.4562,0.5503,0.9565,-0.749886030745703,0.019,0.0055,0.0099,180.6
"Kerguelen","KER3","CAT2.3A","CAT2.3A_9","A",9,2.2,2,1.2,0.25129,12.3,13.5,12.9,12.3,13.5,12.9,12.3,13.5,12.9,12.9,0.6,-7.9,413,141,160,210,0.05367,0.07291,1.1476,5.2184,1.6502,4.0708,0.5026,87.65,-0.64561551925314,0.62,0.011,0.295411554394128,4.5,0.295858516024617,4.51,4.1542,0.5484,0.9799,-0.659007886744465,0.022,0.0065,0.01,154.1
"Kerguelen","KER3","CAT2.3A","CAT2.3A_10","A",10,2,2.4,1.2,0.25129,13.7,14.9,14.3,13.7,14.9,14.3,13.7,14.9,14.3,14.3,0.6,1.5,432,169,187,215,0.05008,0.05968,1.1476,5.4365,1.6709,4.2889,0.5233,87.8,-0.665521048861854,0.61,0.006,0.487726699601181,4.68,0.48721025800485,4.68,4.5593,0.6565,0.9407,-0.70931543074515,0.0223,0.0057,0.008,138.6
"Kerguelen","KER3","CAT2.3A","CAT2.3A_11","A",11,2.4,2,1.2,0.25129,15.2,16.4,15.8,15.2,16.4,15.8,15.2,16.4,15.8,15.8,0.6,11.2,459,205,216,224,0.05367,0.05763,1.1476,5.758,1.7534,4.6104,0.6058,86.86,-0.540779729980577,0.66,0.007,0.595000754586619,4.77,0.594905710777644,4.78,4.5593,0.7021,1.0112,-0.562449858743149,0.0271,0.0071,0.0091,127.8
"Kerguelen","KER3","CAT2.3A","CAT2.3A_12","A",12,1.9,2.6,1.2,0.25129,16.6,17.8,17.2,16.6,17.8,17.2,16.6,17.8,17.2,17.2,0.6,18.5,493,232,243,237,0.05096,0.05143,1.1476,5.8635,1.7894,4.7159,0.6418,86.39,-0.478409070539938,0.68,0.023,0.0419557560865657,4.28,0.0420049487744584,4.28,4.7689,0.7869,0.9889,-0.548655854742961,0.0289,0.0069,0.0084,122.4
"Kerguelen","KER3","CAT2.3A","CAT2.3A_13","A",13,1.7,2.2,1.3,0.25129,18.1,19.3,18.7,18.1,19.3,18.7,18.1,19.3,18.7,18.7,0.6,27.1,542,263,272,258,0.05175,0.05066,1.1476,5.0367,1.6842,3.8891,0.5366,86.2,-0.453195399702233,0.69,0.022,0.0252810325136999,4.26,0.025658317550017,4.26,3.7312,0.6306,1.0423,-0.474005950741944,0.0315,0.0074,0.0089,119.8
"Kerguelen","KER3","CAT2.3A","CAT2.3A_14","A",14,1.9,2.4,1.2,0.25129,19.6,20.8,20.2,19.6,20.8,20.2,19.6,20.8,20.2,20.2,0.6,39.1,599,289,301,280,0.05856,0.0562,1.1476,5.3397,1.7047,4.1921,0.5571,86.71,-0.520874200371862,0.66,0.014,0.138669152809188,4.36,0.139123169578497,4.36,4.3544,0.7969,0.9627,-0.603020458743702,0.0298,0.0075,0.0089,119.3
