"Location","Site","Section","sample","top","bottom","mp","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Marion Island","PB1","PB1.1A",1,0,1,0.5,0.5,0.5,-68.7,-65.5,-67,-67,2,1.27841,1.24808,92.7,7.3,0.36,0,0,0,0,1.4841,0.0557,1.12,0.0817,0.0071,0.1045,0.1111,106.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Island","PB1","PB1.1A",2,1.1,3,2,2,0.9,-67.7,-63.7,-65.8,-65.8,2,1.20177,0.50575,93.33,6.67,0.33,0,0,0,0,3.7178,0.1933,0.6307,0.0421,0.0043,0.0506,0.0264,52.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Island","PB1","PB1.1A",3,3.1,4.9,4,4,0.9,-67.3,-59.6,-64.5,-64.2,4,0.19107,0.03151,94.75,5.25,0.26,0,0,0,0,4.4518,0.2916,0.4123,0.0216,0.0025,0.0041,0.0012,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Island","PB1","PB1.1A",4,5,6.3,5.7,5.7,0.7,-64.3,-40.8,-56.6,-55.5,12,0.08948,-0.0087,93.64,6.36,0.32,0,0,0,0,1.5945,0.1036,1.2693,0.0807,0.0093,0.0072,1e-04,1.8,1771.848926,14.3519763,2134.314662,384.1766392,3780.755735,491.4982456,483.9049853,67.74669794,90.58997647,10.87079718,3050.532794,549.0959029,1.690889426,0.11836226,3.447393088,1.861592268,9.794512059,1.371231688,32.22505588,2.900255029,0.439985779,0.031282989,0.868594897,0.138975184,81.06532941,1.621306588,6.897431912,0.344871596,0.673868779,0.02762862,0.096780997,0.006223018
"Marion Island","PB1","PB1.1A",5,6.4,7.7,7.1,7.1,0.7,-62.2,2.9,-43.6,-39.6,33,0.08663,-0.06331,92.59,7.41,0.37,0,0,0,0,2.5315,0.2063,1.1521,0.0854,0.0112,0.0074,-0.0044,-59.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Island","PB1","PB1.1A",6,7.9,9.7,8.8,8.8,0.9,-60.2,55.4,-27.8,-20.3,58,0.09206,-0.25314,90.79,9.21,0.46,0,0,0,0,4.7062,0.4541,0.7619,0.0702,0.0103,0.0065,-0.0168,-260.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Island","PB1","PB1.1A",7,9.8,11.1,10.4,10.4,0.7,-55.1,96.7,-11.7,-2.1,76,0.08802,-3.17392,88.48,11.52,0.58,0,0,0,0,3.9806,0.4359,0.9867,0.1136,0.0181,0.01,-0.3591,-3590,2015.155225,11.48638479,2089.942677,376.1896819,6525.57179,848.3243327,1408.35037,197.1690518,86.46016016,10.37521922,7851.216036,1413.218886,2.851308267,0.199591579,5.334838241,2.88081265,13.40015169,1.876021237,31.8213276,2.863919484,0.827647802,0.02805726,1.338842032,0.214214725,104.8784032,2.097568064,17.18644975,0.859322488,1.466127343,0.066708794,0.209170238,0.002593711
"Marion Island","PB1","PB1.1A",8,11.2,12.5,11.8,11.8,0.6,-46.5,110.6,6.4,13.8,79,0.08487,0.48874,89.34,10.66,0.53,0,0,0,0,3.8275,0.4574,1.0647,0.1135,0.0192,0.0096,0.0571,592.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marion Island","PB1","PB1.1A",9,12.6,13.8,13.2,13.2,0.6,-40.6,127,24.1,29.6,84,0.09307,0.26736,89.37,10.63,0.53,0,0,0,0,2.9679,0.3725,1.1774,0.1252,0.022,0.0116,0.0355,304.8,2317.433526,9.73322081,1779.04261,320.2276698,4940.432966,642.2562856,1241.462931,173.8048103,55.81310149,6.697572179,8344.923993,1502.086319,2.134905215,0.149443365,5.589422519,3.01828816,11.97926549,1.677097169,24.29654636,2.186689172,0.948065571,0.028821193,1.014046175,0.162247388,94.53614478,1.890722896,15.76503787,0.788251894,1.791481576,0.048370003,0.201727586,0.005971137
"Marion Island","PB1","PB1.1A",10,13.9,15.2,14.5,14.5,0.7,-36.6,152.5,38.2,44.4,95,0.0834,0.18137,88.89,11.11,0.56,0,0,0,0,4.2887,0.6047,0.9624,0.1069,0.0204,0.0089,0.0211,236.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
