"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","Mn_fit_OLS","Mn_lwr_OLS","Mn_upr_OLS","Mn_fit_WLS","Mn_lwr_WLS","Mn_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.30972720714305,-0.0654863603571525,-0.0635356415265467,-0.00317678207632733,-0.437937361116367,-1.25895379853299,0.383079076300259,-0.438432365865363,-1.25796785597358,0.38110312424285
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-0.184290589789961,-0.00921452948949803,-0.0165474503882118,-0.000827372519410588,0.48071035860292,-0.342574095308913,1.30399481251475,0.481433963049035,-0.343937156741538,1.30680508283961
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-1.23012751603662,-0.0615063758018312,-0.243600908865024,-0.0121800454432512,-0.372963400257284,-1.19334223376706,0.44741543325249,-0.373372215420821,-1.19252118298049,0.445776752138846
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-1.3290399560565,-0.0664519978028252,-0.708827591890483,-0.0354413795945241,-0.453701565405883,-1.27489093338596,0.367487802574194,-0.454217481766467,-1.27386509358547,0.365430130052536
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.35446806436548,-0.0677234032182739,-0.533324400672106,-0.0266662200336053,-0.474457486578727,-1.29588538783709,0.346970414679635,-0.475000936188294,-1.29480708761838,0.344805215241796
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.08492444701838,-0.0542462223509191,-0.327669504447657,-0.0163834752223829,-0.254440094552543,-1.07396807808358,0.56508788897849,-0.254691685584276,-1.07344939574737,0.564066024578815
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.69121232946949,-0.0845606164734746,0.405863119226714,0.0202931559613357,-0.749328009268763,-1.57507148626321,0.0764154677256829,-0.750236081507032,-1.573307626312,0.0728354632979354
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.813700483481001,-0.0406850241740501,-0.843460913829237,-0.0421730456914619,-0.0330511048972757,-0.852073428215484,0.785971218420933,-0.033009017892587,-0.852122931370133,0.786104895584959
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.748800567209537,-0.0374400283604768,0.0812867235545771,0.00406433617772885,0.0199240330833722,-0.799186865651655,0.839034931818399,0.0200363929346263,-0.799372591655837,0.83944537752509
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.32735853446289,-0.0663679267231444,-0.63999270052538,-0.031999635026269,-0.452329089969199,-1.27350311946217,0.368844939523768,-0.452843185706761,-1.27248075142499,0.366794380011471
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.30935145004996,-0.0654675725024982,-0.757053092837117,-0.0378526546418558,-0.437630646023389,-1.25864378938377,0.383382497336991,-0.438125243907137,-1.25765862352685,0.381408135712577
