Site,depth,SH20_age,Ca,Fe,Mn,Sr,Ti,Zr,OLS_Ti_Pred_ppm,OLS_Ti_L95_ppm,OLS_Ti_U95_ppm,OLS_Ti_L95_log_pc,OLS_Ti_U95_log_pc,OLS_Ti_L95_pc_ppm,OLS_Ti_U95_pc_ppm,OLS_Ti_L95_lognorm_ppm,OLS_Ti_U95_lognorm_ppm,OLS_Ti_L95_lognorm_pc,OLS_Ti_U95_lognorm_pc,OLS_Ti_L95_boot_ppm,OLS_Ti_U95_boot_ppm,OLS_Ti_boot_nsuccess,WLS_Ti_Pred_ppm,WLS_Ti_L95_ppm,WLS_Ti_U95_ppm,WLS_Ti_L95_log_pc,WLS_Ti_U95_log_pc,WLS_Ti_L95_pc_ppm,WLS_Ti_U95_pc_ppm,WLS_Ti_L95_lognorm_ppm,WLS_Ti_U95_lognorm_ppm,WLS_Ti_L95_lognorm_pc,WLS_Ti_U95_lognorm_pc,WLS_Ti_L95_boot_ppm,WLS_Ti_U95_boot_ppm,WLS_Ti_boot_nsuccess,OLS_weighted_Ti_Pred_ppm,OLS_weighted_Ti_L95_ppm,OLS_weighted_Ti_U95_ppm,OLS_weighted_Ti_L95_log_pc,OLS_weighted_Ti_U95_log_pc,OLS_weighted_Ti_L95_pc_ppm,OLS_weighted_Ti_U95_pc_ppm,OLS_weighted_Ti_L95_lognorm_ppm,OLS_weighted_Ti_U95_lognorm_ppm,OLS_weighted_Ti_L95_lognorm_pc,OLS_weighted_Ti_U95_lognorm_pc,OLS_weighted_Ti_L95_boot_ppm,OLS_weighted_Ti_U95_boot_ppm,OLS_weighted_Ti_boot_nsuccess,WLS_weighted_Ti_Pred_ppm,WLS_weighted_Ti_L95_ppm,WLS_weighted_Ti_U95_ppm,WLS_weighted_Ti_L95_log_pc,WLS_weighted_Ti_U95_log_pc,WLS_weighted_Ti_L95_pc_ppm,WLS_weighted_Ti_U95_pc_ppm,WLS_weighted_Ti_L95_lognorm_ppm,WLS_weighted_Ti_U95_lognorm_ppm,WLS_weighted_Ti_L95_lognorm_pc,WLS_weighted_Ti_U95_lognorm_pc,WLS_weighted_Ti_L95_boot_ppm,WLS_weighted_Ti_U95_boot_ppm,WLS_weighted_Ti_boot_nsuccess,Bayes_Ti_Pred_ppm,Bayes_Ti_L95_ppm,Bayes_Ti_U95_ppm,Bayes_Ti_L95_log_pc,Bayes_Ti_U95_log_pc,Bayes_Ti_L95_pc_ppm,Bayes_Ti_U95_pc_ppm,Bayes_Ti_L95_lognorm_ppm,Bayes_Ti_U95_lognorm_ppm,Bayes_Ti_L95_lognorm_pc,Bayes_Ti_U95_lognorm_pc,Bayes_Ti_L95_boot_ppm,Bayes_Ti_U95_boot_ppm,Bayes_Ti_boot_nsuccess,RF_Ti_Pred_ppm,RF_Ti_L95_ppm,RF_Ti_U95_ppm,RF_Ti_L95_log_pc,RF_Ti_U95_log_pc,RF_Ti_L95_pc_ppm,RF_Ti_U95_pc_ppm,RF_Ti_L95_lognorm_ppm,RF_Ti_U95_lognorm_ppm,RF_Ti_L95_lognorm_pc,RF_Ti_U95_lognorm_pc,RF_Ti_L95_boot_ppm,RF_Ti_U95_boot_ppm,RF_Ti_boot_nsuccess,PLS_LOO_Ti_Pred_ppm,PLS_LOO_Ti_L95_ppm,PLS_LOO_Ti_U95_ppm,PLS_LOO_Ti_L95_log_pc,PLS_LOO_Ti_U95_log_pc,PLS_LOO_Ti_L95_pc_ppm,PLS_LOO_Ti_U95_pc_ppm,PLS_LOO_Ti_L95_lognorm_ppm,PLS_LOO_Ti_U95_lognorm_ppm,PLS_LOO_Ti_L95_lognorm_pc,PLS_LOO_Ti_U95_lognorm_pc,PLS_LOO_Ti_L95_boot_ppm,PLS_LOO_Ti_U95_boot_ppm,PLS_LOO_Ti_boot_nsuccess,PLS_kfold_Ti_Pred_ppm,PLS_kfold_Ti_L95_ppm,PLS_kfold_Ti_U95_ppm,PLS_kfold_Ti_L95_log_pc,PLS_kfold_Ti_U95_log_pc,PLS_kfold_Ti_L95_pc_ppm,PLS_kfold_Ti_U95_pc_ppm,PLS_kfold_Ti_L95_lognorm_ppm,PLS_kfold_Ti_U95_lognorm_ppm,PLS_kfold_Ti_L95_lognorm_pc,PLS_kfold_Ti_U95_lognorm_pc,PLS_kfold_Ti_L95_boot_ppm,PLS_kfold_Ti_U95_boot_ppm,PLS_kfold_Ti_boot_nsuccess
BI10,0.1,-65.98,-7.323803081,-1.868481966,-7.410814458,NA,NA,-3.760156217,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.45312272,250.301012,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.51894032,251.1105315,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.18933206,259.5742476,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.50168026,250.8978807,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
BI10,0.2,-64.97,-6.306966267,-1.741198629,-7.030885106,NA,-8.55071086,-4.035152833,180.9593252,50.5412144,647.9123576,24.53667457,24.53667457,136.5579245,225.3607259,51.65823649,633.9023474,71.45312272,250.301012,145.7322642,225.5497957,2000,196.7487705,16.69681764,2318.410582,46.70093319,46.70093319,104.8652586,288.6322824,56.03613474,690.8056538,71.51894032,251.1105315,145.7322642,225.5497957,2000,144.6882279,37.51861369,557.9812583,27.13281833,27.13281833,105.4302339,183.9462219,40.2387626,520.2616067,72.18933206,259.5742476,145.7322642,225.5497957,2000,194.3621743,17.26832935,2187.626495,45.93882847,45.93882847,105.0744684,283.6498802,55.38995389,682.0127504,71.50168026,250.8978807,145.7322642,225.5497957,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
BI10,0.3,-63.96,-7.167506242,-1.823294055,-8.014804102,NA,NA,-3.754474402,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.45312272,250.301012,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.51894032,251.1105315,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.18933206,259.5742476,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.50168026,250.8978807,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
BI10,0.4,-62.95,-6.449666822,-1.694616563,-8.329979689,-5.873243916,-6.656003255,-4.095873184,689.480085,194.1035572,2449.1194,19.39348312,19.39348312,555.7658811,823.1942889,196.8250337,2415.255715,71.45312272,250.301012,609.9111585,785.9690146,2000,714.6298332,60.78416206,8401.790552,37.50036018,37.50036018,446.6410718,982.6185947,203.5341493,2509.140605,71.51894032,251.1105315,609.9111585,785.9690146,2000,589.4226865,154.2762276,2251.928951,21.01220746,21.01220746,465.5719688,713.2734042,163.9223861,2119.41219,72.18933206,259.5742476,609.9111585,785.9690146,2000,710.58316,63.28395916,7978.774305,36.83250727,36.83250727,448.8575659,972.308754,202.504261,2493.421249,71.50168026,250.8978807,609.9111585,785.9690146,2000,851.0092725,259.6569852,2789.128824,17.59542128,17.59542128,701.2706059,1000.747939,259.6569852,2789.128824,69.48834829,227.7436468,609.3238375,1133.914293,2000,832.5283606,242.1279646,2862.550273,18.3657808,18.3657808,679.6280267,985.4286944,242.1279646,2862.550273,70.91655059,243.8381692,367.811503,1441.969693,500,858.1315921,260.794169,2823.643765,17.63240196,17.63240196,706.8223804,1009.440804,260.794169,2823.643765,69.60907028,229.045544,612.2625021,1136.900043,2000,858.1315921,260.794169,2823.643765,17.63240196,17.63240196,706.8223804,1009.440804,260.794169,2823.643765,69.60907028,229.045544,612.2625021,1136.900043,2000
BI10,0.5,-61.94,-6.575049019,-1.974311721,-7.530560464,-7.092305533,-6.970944676,-4.156391755,552.022521,155.2826684,1962.41388,20.08907695,20.08907695,441.126292,662.91875,157.5851916,1933.740477,71.45312272,250.301012,481.5004478,638.2037491,2000,576.7251741,49.03990813,6782.474503,38.7696963,38.7696963,353.1305756,800.3197727,164.257441,2024.942824,71.51894032,251.1105315,481.5004478,638.2037491,2000,466.694516,122.0555268,1784.464637,21.82345869,21.82345869,364.8456311,568.5434009,129.7908621,1678.113294,72.18933206,259.5742476,481.5004478,638.2037491,2000,572.8377067,51.000812,6434.074779,38.08710921,38.08710921,354.6603837,791.0150297,163.2491213,2010.075372,71.50168026,250.8978807,481.5004478,638.2037491,2000,419.2823546,127.9299717,1374.171279,19.65807387,19.65807387,336.8595196,501.7051895,127.9299717,1374.171279,69.48834829,227.7436468,283.8215487,595.3274744,2000,536.8283233,156.1281938,1845.820679,19.64785428,19.64785428,431.3530766,642.30357,156.1281938,1845.820679,70.91655059,243.8381692,260.1583049,1231.69405,500,472.8869857,143.7147515,1556.013554,19.33842752,19.33842752,381.4380787,564.3358927,143.7147515,1556.013554,69.60907028,229.045544,310.6360393,661.4941459,2000,472.8869857,143.7147515,1556.013554,19.33842752,19.33842752,381.4380787,564.3358927,143.7147515,1556.013554,69.60907028,229.045544,310.6360393,661.4941459,2000
BI10,0.6,-60.93,-6.7963039,-2.173156738,-7.338628191,NA,NA,-3.769659034,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.45312272,250.301012,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.51894032,251.1105315,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.18933206,259.5742476,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.50168026,250.8978807,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
BI10,0.7,-59.92,-7.505567279,-2.264060794,-7.763396389,NA,NA,-3.903286065,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.45312272,250.301012,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.51894032,251.1105315,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.18933206,259.5742476,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.50168026,250.8978807,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
BI10,0.8,-58.91,-6.787168316,-1.91860875,-7.067470281,NA,-8.028881448,-3.843899612,261.5654106,73.26907537,933.7699934,22.86003069,22.86003069,201.7714774,321.3593437,74.66875677,916.2662803,71.45312272,250.301012,216.5473927,318.2569146,2000,280.6664914,23.83611629,3304.803452,43.7447593,43.7447593,157.8896103,403.4433725,79.93679091,985.4496096,71.51894032,251.1105315,216.5473927,318.2569146,2000,213.0267399,55.44148917,818.5276514,25.10696905,25.10696905,159.5421823,266.5112976,59.24415926,765.9892972,72.18933206,259.5742476,216.5473927,318.2569146,2000,277.7607167,24.69749733,3123.83942,43.00979766,43.00979766,158.2963944,397.2250389,79.15713716,974.6564681,71.50168026,250.8978807,216.5473927,318.2569146,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
BI10,0.9,-57.9,-6.450910591,-2.010769716,NA,-5.686587132,-7.566052182,-3.727675717,362.651504,101.8015544,1291.887086,21.55645012,21.55645012,284.4767134,440.8262946,103.5256798,1270.371889,71.45312272,250.301012,306.9003391,430.7664513,2000,384.6145839,32.68321688,4526.126626,41.41935348,41.41935348,225.3097098,543.9194579,109.5423092,1350.42231,71.51894032,251.1105315,306.9003391,430.7664513,2000,300.2203868,78.33415029,1150.61286,23.55209413,23.55209413,229.5121987,370.928575,83.49329488,1079.515197,72.18933206,259.5742476,306.9003391,430.7664513,2000,381.2398522,33.91945237,4284.969677,40.70781635,40.70781635,226.0454333,536.434271,108.6469521,1337.762561,71.50168026,250.8978807,306.9003391,430.7664513,2000,670.5745922,204.603384,2197.765623,18.23965794,18.23965794,548.2640803,792.885104,204.603384,2197.765623,69.48834829,227.7436468,509.4515773,917.7844599,2000,980.0589904,285.0349607,3369.816889,17.93075431,17.93075431,804.3270208,1155.79096,285.0349607,3369.816889,70.91655059,243.8381692,673.7441467,1207.631352,500,579.2588398,176.0421469,1906.0254,18.72167398,18.72167398,470.8118883,687.7057913,176.0421469,1906.0254,69.60907028,229.045544,429.9085177,817.5982443,2000,579.2588398,176.0421469,1906.0254,18.72167398,18.72167398,470.8118883,687.7057913,176.0421469,1906.0254,69.60907028,229.045544,429.9085177,817.5982443,2000
BI10,1,-56.89,-7.111563094,-2.13677089,NA,NA,-6.888419543,-3.726114069,585.1403153,164.6362897,2079.670219,19.90179626,19.90179626,468.6868819,701.5937486,167.0392877,2049.752446,71.45312272,250.301012,512.3551318,673.81861,2000,610.052783,51.8779983,7173.838819,38.42883338,38.42883338,375.6166155,844.4889505,173.7494972,2141.959569,71.51894032,251.1105315,512.3551318,673.81861,2000,496.1366834,129.7865833,1896.587477,21.60451291,21.60451291,388.9487696,603.3245973,137.9789256,1783.979746,72.18933206,259.5742476,512.3551318,673.81861,2000,606.1129176,53.96789462,6807.248483,37.75014744,37.75014744,377.3043975,834.9214376,172.7319972,2126.837382,71.50168026,250.8978807,512.3551318,673.81861,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.48834829,227.7436468,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.91655059,243.8381692,NA,NA,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.60907028,229.045544,NA,NA,2000
