[aa] accrate; Peat accumulation rate; cm a^-1; cm per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ab] accrate_err; Peat accumulation rate error; cm a^-1; cm per year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ac] Bag_mass_g; Bag mass; g; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ad] Wet_bag_g; Sample + bag wet mass; g; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ae] Dry_bag_g; Sample + bag dry mass; g; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[af] Wet_mass_g; Sample wet mass; g; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ag] Dry_mass_g; Sample dry mass; g; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ah] Water_Content_pc; Water content ; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ai] Dry_mass; Sample mass after freeze-drying or drying o/n at 110C; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[aj] Dry_mass_err; Sample mass error of 5% after freeze-drying or drying o/n at 110C; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ak] Ash_Mass ; Sample mass after Loss-on-ignition at 550C for 4 hours; g; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[al] LOI550; Loss-on-ignition at 550C for 4 hours; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[am] LOI550_err; Loss-on-ignition at 550C for 4 hours; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[an] C_org_pc; Carbon content calculated from LOI as LOI/1.724; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ao] C_org_pc_err; Carbon content error calculated from LOI as LOI/1.724; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ap] Volume_cm3; Sample volume; cm^3; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[aq] Volume_err_cm3; Sample volume error; cm^3; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[ar] Wet_density_g_cm3; Subsample wet density; g cm^-3; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[as] Dry_density_g_cm3; Subsample wet density error; g cm^-3; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[at] Dry_density_err_g_cm3; Subsample dry density; g cm^-3; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[au] DMAR_g_cm2_yr-1; Dry mass acccumulation rate; g cm^2 yr^-1; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[av] DMAR_err_g_cm2_yr-1; Dry mass acccumulation rate error; g cm^2 yr^-1; ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[aw] DMAR_err_pc; Dry mass acccumulation rate percentage error; %; percentage ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[a] Location,[b] Site,[c] Section,[d] Sample_ID,[e] Core_section,[f] Sample,[g] Radius_1_cm,[h] Radius_2_cm,[i] Thickness_cm,[j] section_cut_loss,[k] section_depth_top,[l] section_depth_bottom,[m] section_depth_mid,[n] field_depth_top,[o] field_depth_bottom,[p] field_depth_mid,[q] strat_depth_top,[r] strat_depth_bottom,[s] strat_depth_mid,[t] depth,[u] depth_err,[v] SH20_min_age_95CI,[w] SH20_max_age_95CI,[x] SH20_median_age,[y] SH20_mean_age,[z] SH20_mean_95CI,[aa] accrate,[ab] accrate,[ac] Bag_mass,[ad] Wet_bag_g,[ae] Dry_bag_g,[af] Wet_mass_g,[ag] Dry_mass_g,[ah] Water_Content_pc,[ai] Dry_mass,[aj] Dry_mass_err,[ak] Ash_Mass ,[al] LOI550,[am] LOI550_err,[an] C_org_pc,[ao] C_org_pc_err,[ap] Volume_cm3,[aq] Volume_err_cm3,[ar] Wet_density_g_cm3,[as] Dry_density_g_cm3,[at] Dry_density_err_g_cm3,[au] DMAR_g_cm2_yr-1,[av] DMAR_err_g_cm2_yr-1,[aw] DMAR_err_pc
Kerguelen,KER1,CAT1.1A,CAT1.1A_1,A,1,2.1,1.9,1.4,0.095,0,1.4,0.7,0,1.4,0.7,0,1.4,0.7,0.7,0.7,-66,-37,-57,-55,15,0.06522,0.04802,1.1476,4.6088,2.0457,3.4612,0.8981,74.05,25.95,1.3,0.05,51.46,2.57,29.74,2.57,4.396,0.2198,0.7873,0.2043,0.0204,0.0133,0.0111,83.6
