"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.94334538537241,-3.68569455350129,9.54388200499906,5.1735301264337,9.23522404863798,7.92444285972957,10.5460052375464,9.24552164094485,7.9278445278264,10.5631987540633
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-2.18691153779199,-4.22616680559978,9.14377187171782,3.304647550641,9.065682206066,7.75468749802977,10.3766769141022,9.0832319705461,7.70975353719349,10.4567104038987
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.58034100787613,-5.33451816528914,8.27949587269265,3.88158857289427,8.09574201731109,6.7800779155702,9.41140611905198,8.15478108696724,6.46059333323827,9.8489688406962
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.30464934232977,-5.6628661371908,8.42689211285074,3.32582393071755,8.28764582863356,6.97336992467149,9.60192173259563,8.33847619028408,6.70790191779502,9.96905046277315
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.57468365399816,-3.79602960418944,9.82855417128756,3.50355067375237,9.49184258369326,8.18104255513184,10.8026426122547,9.49116328810728,8.25774694849527,10.7245796277193
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.34371676740077,-3.84610366149048,10.4469976275415,5.15703858194915,9.65261431300718,8.34159261948444,10.9636360065299,9.64505798786977,8.4642882666091,10.8258277091304
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.84243040345179,-3.57507914530664,10.1602156930854,3.64773917300838,9.30546907984603,7.99472368177376,10.6162144779183,9.3127619327157,8.01817521024275,10.6073486551886
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.75376069454476,-5.5013508954219,10.1783639253917,5.29616788707133,7.97502781739466,6.6583737301339,9.29168190465542,8.0392304510906,6.30499542473239,9.77346547744883
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.97673298899806,-6.30250203003231,9.93036942402266,7.00945463356136,7.81982097412609,6.50176190662011,9.13788004163208,7.8906625987211,6.10490393375617,9.67642126368604
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.7267129000849,-4.79868284574834,7.76434259814642,2.27103707812829,8.68993657525131,7.37782843796485,10.0020447125378,8.72355890309787,7.22610247648574,10.22101532971
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.03769731749776,-4.79175119133575,8.73921076841923,2.71722094895158,8.47346613953773,7.16031667234054,9.78661560673492,8.51634801562554,6.94730449116123,10.0853915400899
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.02641374952533,-5.19703035439424,8.21468216401249,3.35831851941963,8.48132042013389,7.16821383723942,9.79442700302836,8.52386632844929,6.95742204460893,10.0903106122897
