"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness_norm","Unstable_flag","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Ca","Bayes",0.636884102731344,0.428801053115093,0.437812064252784,5546.07861545861,NA,318.686507485063,340.232429368128,13400.3536152465,4.63923416424389,257.29557390418,NA,2,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,0.740687069612545,0.698376882202055,0.495242018878054,0.65436049816905,1,0.517873635021689,0.683384680507303,FALSE,0.249322402307844,0.420313316680791,0.580584613197987,0.631881887509872,0.0824067945300251,FALSE,1,"Bayes",TRUE,"Preferred 1","Moderate confidence","Acceptable","Moderate confidence"
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,4,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0.060207398377421,0.640428498900347,2,0.498367773062824,0.672007267862575,FALSE,0,0.171526308700636,0.622366279387121,0.673824171997311,0,FALSE,2,"Bayes",FALSE,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,5,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0.060207398377421,0.640428498900347,3,0.498367773062824,0.672007267862575,FALSE,0,0.171526308700636,0.622366279387121,0.673824171997311,0,FALSE,3,"Bayes",FALSE,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Ca","RF",0.673677785504348,0.406496238911912,0.405320083182145,4915.58130206669,NA,NA,NA,13400.3536152465,4.3958477811031,216.081471595218,NA,1,10909.8156740307,19282.8988530103,2.21943550591744,0.386378446989643,2.69293650817949,2766.68108945549,0.836732188761176,0,1,0.63469287550447,4,0.576603269666055,0.709894644409048,FALSE,1,1,0.63469287550447,0.63469287550447,1,TRUE,4,"Bayes",FALSE,"Unstable","Low confidence (noise-dominated)","Unstable","Moderate confidence"
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA,8,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,1,0.644869166288662,0,0.593460749886599,5,0.506693877391423,0.664163105864895,FALSE,0.106423614472913,0,0.625387834228473,0.593460749886599,0.283983612619914,FALSE,5,"Bayes",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA,3,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.787121534135248,0.646251122184183,0.0626339625988358,0.527514139089005,6,0.506693877391423,0.664163105864895,FALSE,0.106423614472913,0,0.540651034651228,0.508723950309354,0.281233373490299,FALSE,6,"Bayes",FALSE,"Unstable","Low confidence","Acceptable","Low confidence"
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA,6,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00566308940610476,0.647116275115756,0.0541662488808833,0.212649992961434,7,0.506693877391423,0.664163105864895,FALSE,0.106423614472913,0,0.228327202639043,0.196400118297169,0.190504548184474,FALSE,7,"Bayes",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA,7,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,0.647130006892335,0.0535168762107766,0.210194064930934,8,0.506693877391423,0.664163105864895,FALSE,0.106423614472913,0,0.226066086409575,0.194139002067701,0.187340534419354,FALSE,8,"Bayes",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Sr","RF",0.694520038625107,0.34200712565981,0.346757684558846,43.8791563053624,NA,NA,NA,163.852330174044,6.96354785837865,3.05554604917668,NA,1,141.327920148989,203.985987945979,3.22084406467309,0.386407775486143,2.72045777069858,28.973716365503,1,0,1,0.7,1,0.533769865459016,0.707327042592033,FALSE,1,1,0.7,0.7,1,TRUE,1,NA,NA,"Unstable","Low confidence (noise-dominated)","Unstable","Moderate confidence"
"Sr","Bayes",0.635271572146413,0.373704733132646,0.385058169520708,56.5643915636821,NA,244.972001338324,266.517923221389,163.852330174044,7.61572706279396,4.30778967622008,NA,2,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,20.8749329141512,0.760788145194715,0.847372767919076,0.441462238371672,0.69096575996511,2,0.506111970895487,0.684515622721029,FALSE,0.37301304134868,0.353600326924958,0.670431000858213,0.664607186531096,0.258337822323558,FALSE,2,NA,NA,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
"Sr","PLS_LOO",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,3,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.733913529074419,1,0.293357389190816,0.681572628387012,3,0.500181484867475,0.685295831893533,FALSE,0.238572677875349,0.375708856638965,0.665137214992373,0.706278068621457,0.155573021543013,FALSE,3,NA,NA,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Sr","PLS_kfold",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,4,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.733913529074419,1,0.293357389190816,0.681572628387012,4,0.500181484867475,0.685295831893533,FALSE,0.238572677875349,0.375708856638965,0.665137214992373,0.706278068621457,0.155573021543013,FALSE,4,NA,NA,"Acceptable 4","Moderate confidence","Acceptable","Moderate confidence"
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,NA,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,NA,5,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,0.663154685121714,0.462154975784046,0.164952493375626,0.453394114796587,5,0.489657473355962,0.672037080636319,FALSE,0,0,0.4039083667839,0.4039083667839,0.221443378008802,FALSE,5,NA,NA,"Unstable","Low confidence","Marginal","Low confidence"
