"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank"
"Ca","RF",0.673677785504348,0.406496238911912,0.405320083182145,4915.58130206669,NA,NA,NA,13400.3536152465,4.3958477811031,216.081471595218,NA,1
"Sr","RF",0.694520038625107,0.34200712565981,0.346757684558846,43.8791563053624,NA,NA,NA,163.852330174044,6.96354785837865,3.05554604917668,NA,1
"Ti","Bayes",0.757847910218222,0.605643649083077,0.617880211717454,2132.72586760655,NA,503.766615819022,525.312537702087,3392.06646739343,8.33502896291361,177.763318764556,NA,1
"Zr","RF",0.744758871788424,0.66394198898659,0.675449546082181,46.0449432203038,NA,NA,NA,65.4747233406631,20.1757374873876,9.28990687034519,NA,1
