depth	min	max	median	wmean
0.7	-66.3	-44.1	-57.4	-56.2
2.245	-64.8	2.8	-37.7	-34.8
3.89	-63.3	52.8	-17	-12
5.535	-62	102.9	4	10.9
7.08	-60.6	149.9	23.3	32.3
8.525	-59.2	193.9	41.6	52.3
9.945	-57.8	237.4	59.6	72.2
11.365	-29.4	246.3	75.4	97
12.835	-8.1	255.3	93.3	123.3
14.305	11	270.8	127.5	149.4
15.75	26.1	301	162.8	175.1
17.245	39.6	346.7	206.2	201.6
18.74	52.1	394.9	248.6	228
20.235	75.8	439.2	275.4	259.2
21.73	165.5	461.9	328.3	315.1
23.225	255.7	484	381.4	371.1
24.745	347.3	505.7	434.2	428
26.265	438.1	529.8	486.7	485
27.76	520.3	559.8	541.4	541.1
29.255	561.4	632.1	596.3	597.2
30.75	589.7	688.6	633.9	636.7
32.245	605.9	719.6	657.5	660.1
33.715	613.7	755.1	681.6	682.9
35.16	619.8	793.2	703.3	705.4
36.555	624.1	833.6	724.1	727.2
37.975	628.1	876	746.4	749.3
39.445	631.5	920.9	769.3	772.1
40.89	658.7	940.8	789.8	793.5
42.36	700.2	946.2	809.9	814.4
43.83	737.1	952.5	830	835.4
44.271875	747.9	953.7	836.7	841.7
45.6125	776.2	960.6	855.9	861.1
46.903125	796	968	874.8	879.6
48.24375	815	981.5	896	899
49.784375	832.6	1008.1	921.1	921.2
51.425	980.5	1133	1030.3	1035.3
52.965625	994.1	1353.7	1146.3	1155.3
54.45625	1002.1	1600.2	1257.5	1271.5
55.996875	1008.4	1858.6	1370.3	1391.3
57.5375	1012.6	2119.7	1483	1510.4
59.028125	1019.8	2370.4	1594.3	1625.9
60.51875	1065.2	2552.5	1696.3	1737.1
62.009375	1130.3	2592.1	1789.8	1840.5
63.55	1198.4	2652.9	1921.9	1947.4
65.140625	1249.9	2733.5	2075.4	2056.9
66.73125	1306.1	2840.7	2220.8	2166.3
68.271875	1342.4	2978.8	2331.8	2272.6
69.7125	1372.3	3122.4	2417.5	2371
