"Site","Element","Model","R2","RMSE","RMSE_ppm","RMSEP","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","Roughness_norm","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Confidence_Flag","Unstable_flag","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model","Rank_site","Robustness_score_site","n_mean","R2_overall","RMSE_overall","RMSEP_overall"
"ALL","Ca","RF",0.682203721520104,0.401150756423534,4911.79054471344,0.405320083182145,10920.0910975266,18996.7410319403,2.22324038415684,0.39380271117278,2.79869444838166,2673.02067439021,0.856025854174437,0,1,0.642410341669775,1,1,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.55950837749974,0.718782683886617,0.642410341669775,0.642410341669775,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","Bayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740687069612545,1,NA,0.634509260499655,NA,4,"Acceptable 4",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,1,0.844412241767527,13757,0.636884102731344,0.428801053115093,5546.07861545861
"ALL","Ca","PLS_LOO",0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0,0.638537096368868,2,2,"Acceptable 2","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.498378819979044,0.669798592015465,0.622366279387121,0.653319390092195,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.856025854174437,0.78918072168034,NA,0.642410341669775,NA,1,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,2,0.829287801176798,13757,0.682203721520104,0.401150756423534,4911.79054471344
"ALL","Ca","PLS_kfold",0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0,0.638537096368868,3,3,"Acceptable 3","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.498378819979044,0.669798592015465,0.622366279387121,0.653319390092195,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","OLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0.588405803230984,NA,5,"Unstable",NA,NA,"Low confidence",NA,FALSE,NA,NA,NA,NA,NA,3,0.6,14519,0.60078407376705,0.449611220751241,5620.88386479327
"ALL","Ca","Bayes",0.636884102731344,0.428801053115093,5546.07861545861,0.437812064252784,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,0.740687069612545,0.684065829994105,0.08958449046436,0.634509260499655,4,4,"Acceptable 4","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.517873635021689,0.683384680507303,0.597167517234048,0.607069768039878,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805915698467802,0.173331448090944,NA,0.638537096368868,NA,2,"Acceptable 2",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,4,0.552881998317059,13757,0.605172814508826,0.447133012734933,5921.70892622602
"ALL","Ca","OLS_weighted",0.60078407376705,0.449611220751241,5620.88386479327,NA,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,1,0.628019344103281,0.308718806281367,0.588405803230984,5,5,"Unstable","Acceptable","Low confidence","Low confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.629212858359254,0.588405803230984,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","PLS_kfold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805915698467802,0.173331448090944,NA,0.638537096368868,NA,3,"Acceptable 3",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,5,0.552881998317059,13757,0.605172814508826,0.447133012734933,5921.70892622602
"ALL","Ca","OLS",0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.787121534135248,0.629466869385905,0.305729019183265,0.520511230722479,6,6,"Unstable","Acceptable","Low confidence","Low confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.54449572959814,0.503688674469871,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","OLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787121534135248,0.00268958734750736,NA,0.520511230722479,NA,6,"Unstable",NA,NA,"Low confidence",NA,FALSE,NA,NA,NA,NA,NA,6,0.473348755420152,14519,0.605349695781694,0.447032844459699,5504.63271481712
"ALL","Ca","WLS_weighted",0.604732452698864,0.447382293228408,5447.03371534874,NA,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00566308940610476,0.630373071056917,0.207097642586147,0.205925410630512,7,7,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.506693877391423,0.664163105864895,0.232184212207787,0.191377157079517,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","WLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.512480191683846,NA,0.203490077962097,NA,8,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,7,0.204992076673538,14519,0.604685117514639,0.447409080513934,5446.04597912254
"ALL","Ca","WLS",0.604685117514639,0.447409080513934,5446.04597912254,NA,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,0.630387454362375,0.203658040759781,0.203490077962097,8,8,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.506693877391423,0.664163105864895,0.229923291436982,0.189116236308712,NA,NA,NA,NA,NA,NA,NA
"ALL","Ca","WLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00566308940610476,0.494227419228363,NA,0.205925410630512,NA,7,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,8,0.201088821335008,14519,0.604732452698864,0.447382293228408,5447.03371534874
"ALL","Sr","Bayes",0.635271572146413,0.373704733132646,56.5643915636821,0.385058169520708,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,20.8749329141512,0.799649049049403,0.846473044489889,0.268858259380167,0.734632075858658,1,1,"Preferred 1","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.506111970895487,0.684515622721029,0.638973606171947,0.638995424908899,TRUE,NA,NA,NA,NA,NA,NA
"ALL","Sr","OLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.697028491676238,0.564322860149515,NA,0.476601104377288,NA,5,"Unstable",NA,NA,"Low confidence",NA,FALSE,NA,NA,NA,NA,NA,1,0.643946239065549,14005,0.605940022011523,0.388440903375382,59.7735590156883
"ALL","Sr","PLS_LOO",0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.771401682998948,1,0.161908509572326,0.715434657119346,2,2,"Acceptable 2","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.495841677209496,0.683634607729772,0.633054729325594,0.669151720053799,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771401682998948,0.348022189997548,NA,0.715434657119346,NA,2,"Acceptable 2",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,2,0.602049885798388,13757,0.619560933054721,0.381668523678026,58.9814163562467
"ALL","Sr","PLS_kfold",0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.771401682998948,1,0.161908509572326,0.715434657119346,3,3,"Acceptable 3","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.495841677209496,0.683634607729772,0.633054729325594,0.669151720053799,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","PLS_kfold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.771401682998948,0.348022189997548,NA,0.715434657119346,NA,3,"Acceptable 3",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,3,0.602049885798388,13757,0.619560933054721,0.381668523678026,58.9814163562467
"ALL","Sr","RF",0.675793821060387,0.35233390312532,45.3389098498978,0.346757684558846,141.647129261848,211.560346352752,3.12418471751516,0.367631776233657,2.7245550272229,28.5464250613966,1,0,1,0.7,4,4,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.56540079436884,0.729459064719332,0.7,0.7,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0.7,NA,4,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,4,0.6,13757,0.675793821060387,0.35233390312532,45.3389098498978
"ALL","Sr","OLS",0.605940022011523,0.388440903375382,59.7735590156883,0.391554198151312,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,0.697028491676238,0.458984429067312,0.230461341770324,0.476601104377288,5,5,"Unstable","Marginal","Low confidence","Low confidence",FALSE,FALSE,0.489657473355962,0.672037080636319,0.416506725390689,0.416506725390689,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","Bayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.799649049049403,0.296032860319586,NA,0.734632075858658,NA,1,"Preferred 1",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,5,0.598202573557477,13757,0.635271572146413,0.373704733132646,56.5643915636821
"ALL","Sr","WLS",0.605899324973479,0.388460961218056,59.3656290640811,NA,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,0.083243662015412,0.474692576949646,0.243285940380232,0.23565984712543,6,6,"Unstable","Unstable","Low confidence","Low confidence (uncertainty-dominated)",FALSE,FALSE,0.489657473355962,0.672037080636319,0.175705237891059,0.175705237891059,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Sr","OLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0.103567518923187,NA,8,"Unstable",NA,NA,"Low confidence (uncertainty-dominated)",NA,FALSE,NA,NA,NA,NA,NA,6,0.4,14005,0.588442221601662,0.396971381054182,68.563181097856
