"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.75588748734083,-10.0589724553765,3.53646344341951,-1.72242081593052,3.88429104685935,2.57623163927187,5.19235045444684
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-7.14521583119114,-9.44732933011245,3.33468347892019,-1.44966349692175,4.3234059455458,3.01760155270478,5.62921033838682
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.08913849352894,-10.3912479033711,3.6160372217274,-1.00492444322772,3.64466066554756,2.33477366956147,4.95454766153364
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.26659828575724,-9.56987654819595,4.08682416932195,-1.43675638426703,4.23612361681424,2.9299840066868,5.54226322694168
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.77326984160307,-9.07585318626743,4.99824535279201,-1.18558461478387,4.59086067983719,3.28573357366624,5.89598778600814
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.01784585263606,-9.32015523798339,5.00469055174463,-1.68258174259904,4.41499371561123,3.10948068228607,5.72050674893638
"Bird Island","BI10","BI10.2",45,44,45,44.5,-7.19577074033516,-9.49802244442796,6.21202271619992,1.7995215501821,4.28705349069822,2.98111630517314,5.59299067622331
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-7.16986057698434,-9.47300468145268,4.0200614892263,-0.373676340690111,4.30568467922674,2.99981676896246,5.61155258949101
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.22413591045745,-9.52642191894966,5.46278507773667,2.6100952681528,4.26665698354247,2.96064102523381,5.57267294185112
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.61982823653795,-8.922413329532,3.59863321185762,-2.11748363703603,4.70119574154167,3.3961941767155,6.00619730636785
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.94724378798953,-9.25012124198803,4.48256118016038,-1.91004477124907,4.46576145331792,3.1603832648393,5.77113964179653
