depth	min	max	median	mean
0.7	-65.18	-39.64	-56.27	-54.6
3.9	-58.06	79.76	-12.34	-2.39
7.1	-25.21	156.18	56.32	63.02
9.9	-7.28	226.51	128.58	126.29
11.4	26.91	236.19	169.47	154.74
12.8	51.36	245.6	207.61	180.92
15.8	106.45	308.6	268.6	241.87
18.7	195.89	416.74	311.42	313.64
24.7	394.08	521.04	474.95	469.15
29.3	525.33	674.73	579.85	585.2
33.7	562.86	782.66	654.5	660.96
36.6	597.73	847.13	701.64	710.45
38	615.24	869.64	731.31	735.89
39.4	627.19	893.57	759.34	761.32
40.9	659.4	917.76	786.83	789.82
45.6	765.53	1000.87	888.68	883.03
51.4	975.91	1286.51	1067.31	1091.43
53	992.63	1654.63	1158.97	1220.51
60.5	1350.63	2601.67	1992.06	1999.99
65.1	1690.5	2853.57	2342.17	2309.85
68.3	1936.15	2982.45	2548.72	2511.35
77.2	3007.51	3276.34	3141.03	3133.53
86.8	3233.31	3720.37	3429.64	3444.57
93.1	3361.06	3918.11	3618.86	3625.26
103.8	3584.38	4193.45	3934.67	3918.8
112.9	3991.16	4347.88	4207.61	4197.8
123.5	4324.78	4634.36	4465.54	4469.16
130.8	4443.85	4825.17	4636.09	4634.99
135.2	4532.01	4910.54	4732.66	4727.51
138.2	4620.88	4952.03	4799.12	4794.42
144	4852.62	5039.05	4931.2	4932.17
148.4	4916.49	5368.67	5078.3	5096.93
151.3	4977.5	5595.08	5185.82	5217.55
157.1	5126.18	5915.6	5439.64	5463.4
158.6	5160.41	5986.79	5509.85	5528.08
162.1	5271.94	6145.73	5659.32	5671.36
169.4	5503.95	6427.9	5970.25	5966.12
179.6	5990.42	6713.53	6404.15	6389.03
181	6089.61	6743.33	6466.41	6450.78
182.4	6176.77	6768.61	6529.44	6513.44
183.8	6242.32	6797.53	6598.92	6576.1
189.7	6701.06	6911.6	6804.85	6806.19
199	6815.38	7184.01	6964.68	6974.29
205.2	6888.8	7325.48	7077.69	7085.6
211	6964.18	7436.48	7184.33	7187.7
221.6	7122.44	7623.77	7373.34	7373.15
224.7	7169.73	7675.83	7425	7423.56
226.2	7199.36	7697.47	7449.77	7449.42
233.8	7328.34	7815.2	7594.2	7585.69
235.3	7356.07	7840.53	7621.37	7613.3
238.4	7426.78	7878.13	7677.83	7670.68
242.9	7533.7	7932.54	7758.54	7752.66
