LabID,age,error,depth,cc,dR,dSTD,t.a,t.b
coring-date,-66,1,0,0,0,0,3,4
ETH-95347,125,22,14,3,0,0,3,4
ETH-95347,158,22,14,3,0,0,3,4
ETH-95347,165,27,14,3,0,0,3,4
ETH-95348,564,22,27,3,0,0,3,4
ETH-95348,543,20,27,3,0,0,3,4
ETH-95349,1080,22,49,3,0,0,3,4
ETH-95349,1111,21,49,3,0,0,3,4
ETH-95350,3036,23,78,3,0,0,3,4
ETH-95350,3040,21,78,3,0,0,3,4
ETH-95351,3972,27,118,3,0,0,3,4
ETH-95351,3959,21,118,3,0,0,3,4
ETH-95351,3799,23,118,3,0,0,3,4
ETH-95351,3970,27,118,3,0,0,3,4
ETH-95352,4428,27,144,3,0,0,3,4
ETH-95352,4337,22,144,3,0,0,3,4
ETH-95353,6084,29,190,3,0,0,3,4
ETH-95353,6004,22,190,3,0,0,3,4
BETA-478306,7170,30,254,3,0,0,3,4
