"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.0319881973176655,0.0225898354199711,34.34524027,0.178633186,87.4764214524839,-180.863878504793,355.816721409761
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.0598473471720287,0.0316044835226841,28.06949723,0.234649235,114.830500277322,-153.367621261256,383.028621815901
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0245817785563953,0.0233704997327662,37.1899001,0.366072293,80.2042769805729,-188.180496849463,348.589050810609
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0553453013330347,0.016270123645334,59.55046887,0.237697509,110.41007404764,-157.808334443143,378.628482538423
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0778176122520302,0.0303161488081067,148.1529747,0.305567488,132.474974357518,-135.652505524362,400.602454239399
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.0601002473174079,0.0283283763294072,149.1109339,0.185893427,115.078815482477,-153.118197214461,383.275828179414
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.0531884661469314,0.0264947506907605,498.7089785,6.046753704,108.292341094507,-159.93615387053,376.520836059545
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.0616688768816489,0.0300421605291775,55.70453095,0.688199618,116.619006657424,-151.571201491397,384.809214806245
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.05909143906275,0.0280077291638715,235.7531016,13.60034647,114.088296365371,-154.113158967261,382.289751698003
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0995760877090462,0.0637837090304097,36.54824658,0.120334052,153.838980648842,-114.225103035674,421.903064333357
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0740963280003564,0.0344139811764804,88.46094721,0.148073757,128.821154937972,-139.319595988662,396.961905864607
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.0738258637855305,0.0224319894609851,46.49996193,0.203261185,128.555594090268,-139.586149024509,396.697337205045
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.0814605148482103,0.0272293445344262,125.5077224,1.234445563,136.051833137777,-132.063342209351,404.167008484905
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.0420947968275756,0.0297476291897089,57.22472424,0.585720892,97.3997938845346,-170.884340210231,365.6839279793
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.104571031887809,0.0477445629734331,60.2997145,0.569052976,158.743369243103,-109.309584895236,426.796323381441
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.11307827655017,0.035718320448848,54.01867077,0.421691157,167.096382249347,-100.940560377233,435.133324875927
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0911237689318273,0.0164793222475998,47.40786167,0.811856875,145.539897751719,-122.545931642784,413.625727146223
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.0557958051161695,0.0216395096922015,38.81328375,0.081961578,110.852410445527,-157.363921305032,379.068742196085
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0475522623863731,0.0356400079244027,32.12024806,0.26750503,102.758318601175,-165.497657598057,371.014294800406
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.0708502219327559,0.0324647747693257,37.52718028,0.316767608,125.633898983964,-142.519007468696,393.786805436624
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.052679576898239,0.030921372184517,51.81193098,0.049962394,107.792677727369,-160.438231766701,376.023587221439
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.0636108849697212,0.031675528435819,82.80022216,1.100044802,118.52580720939,-149.65615117987,386.707765598651
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.0835747890853328,0.0313175198429309,42.83579617,0.699855742,138.127776748473,-129.980569013193,406.236122510138
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.092109411402357,0.0262777731915046,219.4284939,1.571294805,146.507671067593,-121.575433948497,414.590776083684
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.058573928471432,0.0258320673869568,41.17278862,0.168930879,113.580167955797,-154.623586624245,381.783922535838
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0614278043422154,0.038016712411314,122.3868181,1.392426748,116.382304630239,-151.808941076117,384.573550336596
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.0452120469096206,0.0233181329567952,243.6402038,1.438405031,100.460529940974,-167.807334129479,368.728394011427
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.0421382940451296,0.0307883018407282,67.78989286,0.637151851,97.4425025215121,-170.841401128,365.726406171025
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.0749789089435057,0.0257451550610467,42.2400533,0.50833131,129.687735175144,-138.4498040917,397.825274441989
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.0621248538744475,0.0266561281496218,160.5283798,4.267333565,117.0667170387,-151.121536753947,385.254970831348
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,0.064748772299837,0.0261235562256569,73.63658302,0.458479319,119.64306526947,-148.534148999217,387.820279538158
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,0.0575161447796347,0.0163840269352198,51.31483509,0.280653345,112.541561299229,-155.666935541277,380.750058139735
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,0.0439761241643733,0.0331839507587752,64.81180749,1.00218427,99.2470137937964,-169.027241547741,367.521269135334
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,0.0557757767414549,0.0180408658444505,41.07148346,0.20369105,110.832745174205,-157.383678682943,379.049169031353
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,0.0594041572595473,0.0323002191191392,56.87091915,0.770254564,114.395345153646,-153.804727446534,382.595417753826
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,0.0396079168110255,0.0216089697756904,39.2756349,0.284820113,94.9579996317938,-173.339470635234,363.255469898821
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,0.0476829443996979,0.0213391285335191,55.60667563,0.815337755,102.886631421636,-165.368689193214,371.141952036487
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,0.0492621978733521,0.0298916342312218,54.76131918,0.753154456,104.437253900375,-163.810213226198,372.684721026948
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,0.09210273159346,0.0167024026230188,80.6250656,1.855020668,146.501112359949,-121.582010952019,414.584235671917
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,0.0591806746765089,0.0166923475888391,70.96066682,1.987543814,114.175914186644,-154.025146066487,382.376974439775
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,0.0542161198461307,0.0320488607427174,272.5348429,4.718080418,109.301363998633,-158.922295443798,377.525023441064
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,0.0445374999080832,0.0303501386923025,48.26462876,0.742906646,99.7982121047308,-168.473130538488,368.06955474795
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,0.0477020179532627,0.0224769800371736,71.25145017,1.139627929,102.905359182189,-165.349865820584,371.160584184963
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,0.0604975682649404,0.0375695995051548,63.1732016,1.032756436,115.468933220254,-152.726344032061,383.664210472568
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,0.069002299928322,0.0146444765641805,70.44102514,1.552356955,123.819478786805,-144.340588476363,391.979546049973
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,0.0567324310896884,0.0281825965410439,100.6908119,1.179209481,111.77205590646,-156.439991406794,379.984103219714
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,0.0773619649789107,0.0323645421709834,69.28334701,0.809799887,132.027587718285,-136.101479015647,400.156654452217
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,0.0681762002624761,0.0327527804155678,70.46152124,0.555145222,123.008355852514,-145.154969145439,391.171680850467
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,0.0515920547123187,0.0289259028385461,97.8957421,1.441879782,106.724871719183,-161.511242152901,374.960985591268
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,0.0728866098820781,0.0215561238376987,81.91402797,0.649961199,127.633368342322,-140.511849482827,395.778586167472
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,5774.45833333333,0.110451963126397,0.0462545459720726,274.0987451,7.474758189,164.517682440194,-103.523807289846,432.559172170234
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,5914.69166666667,0.0883308534728769,0.0287232339089333,78.69369569,2.21352713,142.797616310447,-125.296203245258,410.891435866152
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,6045.02727272727,0.0519349920500385,0.0278954166507102,60.23512043,1.406740407,107.061591792014,-161.172874409553,375.296057993581
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,6127.60909090909,0.10441817167529,0.034858370814695,321.8666456,8.368333361,158.593280301972,-109.45999546474,426.646556068685
