"Site","depth","SH20_age","Ti","Ca","Fe","Sr","Zr","Ti_convert","Ti_ppm"
"HER42PB",1.1,-51.51,-5.909350251,-4.430780614,-1.552470498,-4.117590782,-3.886479061,4.86284586462653,129.391910496099
"HER42PB",1.2,-50.47,-5.473339621,-4.157662827,-1.274225627,-3.651727188,-3.565819361,4.29059799372141,73.0101150385464
"HER42PB",1.3,-49.42,-5.379784028,-4.273008429,-1.3304254,-3.800298438,-3.937698308,3.95710682197364,52.3057769012404
"HER42PB",1.4,-48.38,-5.792251123,-4.145425678,-1.111112451,-3.718779748,-3.641042783,4.73313925754515,113.651785142596
"HER42PB",1.5,-47.34,-5.573978952,-4.341018611,-1.443056684,-3.447850296,-3.668074138,4.60377761455903,99.86083977486
"HER42PB",1.6,-46.29,-5.608298946,-4.308107284,-1.562444593,-3.352805461,-3.814874198,4.62236116610813,101.733959541156
"HER42PB",1.7,-45.25,-5.679817028,-4.445072565,-1.462609761,-3.526360525,-3.843907774,4.71568198922355,111.684953141232
"HER42PB",1.8,-44.2,-5.326018362,-4.203191815,-1.339078888,-3.436278484,-3.651123233,4.13581937258836,62.5408143110405
"HER42PB",1.9,-43.16,-5.897840445,-3.992204195,-1.414243363,-3.560345537,-4.095175742,4.71247466288314,111.32731688387
"HER42PB",2,-42.11,-4.52025545,-4.649004433,-1.761393055,-4.086122447,-3.940705447,2.91440531014259,18.43784434275
"HER42PB",2.1,-41.07,-5.760692541,-4.561275553,-1.57483287,-3.847788689,-3.901203624,4.77063049555227,117.993612961083
"HER42PB",2.3,-38.98,-5.977838804,-4.420396186,-1.050681741,-3.747107814,-3.73571168,5.14612557683924,171.76471028522
"HER42PB",2.4,-37.94,-5.681471943,-4.343967746,-0.798020881,-3.653323696,-3.71669331,4.59003722989054,98.4980971670612
"HER42PB",2.5,-36.89,-4.627950797,-4.3354261,-1.269847857,-3.739886423,-3.472719615,3.19931481383468,24.5157266042701
"HER42PB",2.6,-35.85,-5.314499824,-4.264036879,-1.337337516,-3.715371281,-3.901326374,3.90607702349568,49.7035830216863
"HER42PB",2.7,-34.8,-5.144615304,-4.270979748,-1.341867671,-3.756948259,-3.960060586,3.60972735320848,36.9559755129619
"HER42PB",2.8,-33.76,-5.793453542,-4.256697181,-1.548203619,-4.010322254,-3.928814149,4.58417548972385,97.9224158101869
"HER42PB",2.9,-32.72,-5.869450426,-4.42765966,-1.784570805,-4.188703486,-3.87356773,4.79747057564154,121.203454492397
"HER42PB",3,-31.67,-5.794551908,-4.316102655,-1.62704277,-3.82350077,-3.820745947,4.76028087488585,116.778721503115
"HER42PB",3.1,-30.63,-5.757702317,-4.120649237,-1.246183687,-3.839310196,-4.120649237,4.3795828484872,79.8047357942275
"HER42PB",3.2,-29.58,-5.840230805,-4.081623543,-1.610228489,-3.812368639,-3.917888125,4.67053408699604,106.754743529609
"HER42PB",3.3,-28.54,-5.541792506,-4.231745155,-1.457818998,-3.71111762,-3.873786239,4.28119702214481,72.3269651897128
"HER42PB",3.4,-27.49,-5.193393709,-4.28160749,-1.339904816,-3.718450735,-3.695578074,3.83929860482094,46.4928531378628
"HER42PB",3.5,-26.45,-5.949991299,-4.340553386,-1.334533305,-3.890636516,-3.992781595,4.89864086368333,134.107385545735
"HER42PB",3.6,-25.41,-5.767865795,-4.176058114,-1.307553036,-3.726771562,-3.689638583,4.70425576807688,110.416079190233
"HER42PB",3.7,-24.36,-5.460756583,-4.228914879,-1.21091649,-3.69716799,-4.038871277,4.03537944388272,56.5643791744922
"HER42PB",3.8,-23.32,-5.583527637,-4.214040394,-1.048511711,-3.554283499,-4.016649339,4.27554509815015,71.9193317215141
"HER42PB",3.9,-22.27,-5.182438766,-4.364128443,-1.111893697,-3.719955267,-4.049246144,3.6517058643269,38.5403546213013
"HER42PB",4,-21.23,-5.695445935,-4.146278934,-1.28127637,-3.935638066,-3.909995635,4.35977353746968,78.2394141209753
"HER42PB",4.1,-20.19,-5.446243699,-3.951540039,-1.218129223,-3.799348224,-3.675050507,4.0146347993378,55.4030584738061
"HER42PB",4.2,-19.14,-5.281285731,-4.066117551,-1.454661917,-3.733300598,-3.50622114,3.96511968446121,52.7265795642913
"HER42PB",4.3,-18.1,-5.14518572,-4.138166135,-1.318246038,-3.801693899,-3.790099566,3.60756439674003,36.876127731446
"HER42PB",4.4,-17.05,-5.528904222,-4.313427593,-1.327423861,-3.733021036,-4.053706336,4.18314359848203,65.5716605292458
"HER42PB",4.5,-16.01,-5.137352334,-4.124707036,-1.234451267,-3.544137257,-3.839637978,3.65737506640592,38.7594681925474
"HER42PB",4.6,-14.96,-5.073300593,-3.957881186,-1.178257085,-3.245476189,-3.778650822,3.62401860395514,37.4879146095449
"HER42PB",4.7,-13.92,-5.140923035,-3.888160067,-1.090349608,-3.353391902,-4.015253945,3.50586751790593,33.3103286280996
"HER42PB",4.8,-12.88,-5.043500133,-4.017208506,-1.017837029,-3.128802977,-3.800753943,3.6275799441356,37.6216598408995
"HER42PB",4.9,-11.83,-5.081703654,-3.680461332,-0.966985716,-3.318459355,-3.664272604,3.49146602610425,32.8340480109582
"HER42PB",5,-10.79,-4.94784079,-3.766399722,-0.860080899,-3.322978407,-3.522176265,3.40714435574932,30.1789407733105
"HER42PB",5.1,-9.74,-4.29635647,-3.31483108,-0.463304323,-3.075534765,-3.528106985,2.40641653283131,11.0941343624472
"HER42PB",5.2,-8.7,-4.882951926,-3.552651835,-0.93514136,-2.993036047,-4.253683419,2.97261474735458,19.5429527315328
