"Site","depth","SH20_age","Ti","Ca","Sr","Ti_convert_WLS","Ti_ppm_WLS","Ti_lower_RMSE_WLS","Ti_upper_RMSE_WLS","Ti_convert_PLS","Ti_ppm_PLS","Ti_lower_RMSE_PLS","Ti_upper_RMSE_PLS"
"BI10",0.1,-63.4,NA,-7.323803081,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.2,-61.7,-8.55071086,-6.306966267,NA,5.1855166152,178.665727382255,115.228442581904,277.027454556982,NA,NA,NA,NA
"BI10",0.3,-60.1,NA,-7.167506242,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.4,-58.6,-6.656003255,-6.449666822,-5.873243916,6.4739177866,648.017554718305,417.931601600164,1004.77386638218,5.71327868042434,302.86243133829,162.911381376156,563.040172769449
"BI10",0.5,-57,-6.970944676,-6.575049019,-7.092305533,6.25975762032,523.092137836495,337.36236519934,811.07264144498,5.63046702855676,278.792291194682,149.963919509111,518.292279129567
"BI10",0.6,-55.5,NA,-6.7963039,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.7,-53.9,NA,-7.505567279,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",0.8,-52.4,-8.028881448,-6.787168316,NA,5.54036061536,254.769856818605,164.31094115333,395.029567037796,NA,NA,NA,NA
"BI10",0.9,-50.8,-7.566052182,-6.450910591,-5.686587132,5.85508451624,349.00439534679,225.086442258785,541.143512461487,6.5635416035945,708.777463568691,381.255328262516,1317.66156594397
"BI10",1,-49.3,-6.888419543,-7.111563094,NA,6.31587471076,553.285814043448,356.835435586845,857.888991653177,NA,NA,NA,NA
"BI10",1.1,-47.7,-9.003414599,-7.211655129,-6.721032213,4.87767807268,131.325381609989,84.6968213552087,203.624593922835,8.24508681886668,3808.86612509887,2048.81021120646,7080.91997959287
"BI10",1.2,-46.1,NA,-7.339287914,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",1.3,-44.6,NA,-6.723206243,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",1.4,-43,-7.243104436,-6.514865936,NA,6.07468898352,434.714278184314,280.364062975125,674.039681305644,NA,NA,NA,NA
"BI10",1.5,-41.4,-8.969338302,-6.57144303,-6.248042875,4.90084995464,134.403968427034,86.6823211456769,208.398050377268,7.98170769414244,2926.92509156633,1574.40923836141,5441.33652350559
"BI10",1.6,-39.8,NA,-6.932447892,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",1.7,-38.3,-7.807891222,-7.114744042,NA,5.69063396904,296.081267509971,190.954268805325,459.084353121654,NA,NA,NA,NA
"BI10",1.8,-36.7,-7.48648591,-6.793338729,NA,5.9091895812,368.407470055798,237.600236105972,571.228657922626,NA,NA,NA,NA
"BI10",1.9,-35.1,NA,-6.96999386,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",2,-33.6,-8.5101434,-6.582251756,NA,5.213102488,183.66298740381,118.451368981373,284.775880871386,NA,NA,NA,NA
"BI10",2.1,-32,-7.905195798,-6.681420366,-5.33513134,5.62446685736,277.124498244448,178.728314612234,429.691219848723,7.15198224864715,1276.63405481267,686.708537808269,2373.34243012204
"BI10",2.2,-30.4,NA,-6.65828256,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",2.3,-28.8,-8.14458242,-7.163753167,NA,5.4616839544,235.493651227779,151.87897011074,365.141136578391,NA,NA,NA,NA
"BI10",2.4,-27.2,-7.84360351,-6.704169227,NA,5.6663496132,288.977726208693,186.372920088057,448.070064069881,NA,NA,NA,NA
"BI10",2.5,-25.7,NA,-7.558255885,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",2.6,-24.1,NA,-6.985784126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BI10",2.7,-22.5,-7.731515123,-6.632902834,NA,5.74256971636,311.864786215536,201.133670896323,483.55725049833,NA,NA,NA,NA
"BI10",2.8,-20.9,-7.678696487,-6.631377493,NA,5.77848638884,323.269515575615,208.489022263843,501.240681958995,NA,NA,NA,NA
