"Site","depth","SH20_age","Ti","Ca","Sr","Ti_convert_PLS","Ti_ppm_PLS","Ti_lower_RMSE_PLS","Ti_upper_RMSE_PLS"
"HER42PB",1.1,-51.51,-5.909350251,-4.430780614,-4.117590782,4.56309965011353,95.8802148239203,51.5744992688126,178.247306808855
"HER42PB",1.2,-50.47,-5.473339621,-4.157662827,-3.651727188,4.27664731744552,71.9986462996474,38.7284711215547,133.849979585087
"HER42PB",1.3,-49.42,-5.379784028,-4.273008429,-3.800298438,4.23756037010501,69.2387287512148,37.2438961668049,128.719120513421
"HER42PB",1.4,-48.38,-5.792251123,-4.145425678,-3.718779748,4.45040896513369,85.6619695984375,46.0780484955428,159.250950833854
"HER42PB",1.5,-47.34,-5.573978952,-4.341018611,-3.447850296,4.51764286453516,91.6193839562057,49.2825747161294,170.326156148806
"HER42PB",1.6,-46.29,-5.608298946,-4.308107284,-3.352805461,4.55202759762105,94.8244794165494,51.0066133384827,176.28462875883
"HER42PB",1.7,-45.25,-5.679817028,-4.445072565,-3.526360525,4.62043197833779,101.537884823866,54.6177913370588,188.765268644418
"HER42PB",1.8,-44.2,-5.326018362,-4.203191815,-3.436278484,4.28697813692956,72.7463066401265,39.1306417649369,135.239926847334
"HER42PB",1.9,-43.16,-5.897840445,-3.992204195,-3.560345537,4.48343494688117,88.5382752201632,47.6252292403607,164.598182601882
"HER42PB",2,-42.11,-4.52025545,-4.649004433,-4.086122447,3.88570435393147,48.701233286766,26.1966634633775,90.5386339358732
"HER42PB",2.1,-41.07,-5.760692541,-4.561275553,-3.847788689,4.63317420308192,102.839981559168,55.3181963919083,191.185947787642
"HER42PB",2.3,-38.98,-5.977838804,-4.420396186,-3.747107814,4.72909666987588,113.193265265236,60.8872851127568,210.433348730827
"HER42PB",2.4,-37.94,-5.681471943,-4.343967746,-3.653323696,4.51835590850335,91.6847359019414,49.3177278901575,170.447649496975
"HER42PB",2.5,-36.89,-4.627950797,-4.3354261,-3.739886423,3.87208901421069,48.0426430893344,25.8424041438896,89.3142736317326
"HER42PB",2.6,-35.85,-5.314499824,-4.264036879,-3.715371281,4.22165761142063,68.1463508886013,36.656300056595,126.688321850881
"HER42PB",2.7,-34.8,-5.144615304,-4.270979748,-3.756948259,4.11170442152918,61.0506850442125,32.8395020490475,113.497035941681
"HER42PB",2.8,-33.76,-5.793453542,-4.256697181,-4.010322254,4.4185492965528,82.9758246882056,44.633156251996,154.257239703498
"HER42PB",2.9,-32.72,-5.869450426,-4.42765966,-4.188703486,4.5102884997165,90.9480532135638,48.9214621867186,169.078110375508
"HER42PB",3,-31.67,-5.794551908,-4.316102655,-3.82350077,4.51791261223689,91.6441014080499,49.2958703705499,170.37210743532
"HER42PB",3.1,-30.63,-5.757702317,-4.120649237,-3.839310196,4.37210953027907,79.2105526344843,42.6077955335396,147.257363824924
"HER42PB",3.2,-29.58,-5.840230805,-4.081623543,-3.812368639,4.4125704626227,82.4812061067647,44.3670981740734,153.337712873053
"HER42PB",3.3,-28.54,-5.541792506,-4.231745155,-3.71111762,4.34319513816505,76.9530224922365,41.3934575506252,143.060474314043
"HER42PB",3.4,-27.49,-5.193393709,-4.28160749,-3.718450735,4.15942817070752,64.0348950998371,34.4447251872564,119.044868790656
"HER42PB",3.5,-26.45,-5.949991299,-4.340553386,-3.890636516,4.61395190813141,100.882039458587,54.2650084780078,187.546011154657
"HER42PB",3.6,-25.41,-5.767865795,-4.176058114,-3.726771562,4.44986187574476,85.6151176611028,46.0528465786275,159.163850156577
"HER42PB",3.7,-24.36,-5.460756583,-4.228914879,-3.69716799,4.29583790722828,73.393685787618,39.4788705984899,136.443445109538
"HER42PB",3.8,-23.32,-5.583527637,-4.214040394,-3.554283499,4.41210735744659,82.4430174766433,44.3465562981515,153.266717824884
"HER42PB",3.9,-22.27,-5.182438766,-4.364128443,-3.719955267,4.20158868095943,66.792358544942,35.9279800662166,124.171165530984
"HER42PB",4,-21.23,-5.695445935,-4.146278934,-3.935638066,4.31416370234962,74.7510831412398,40.20902216261,138.966931555588
"HER42PB",4.1,-20.19,-5.446243699,-3.951540039,-3.799348224,4.08735160900232,59.5818864349736,32.0494271317422,110.766447604741
"HER42PB",4.2,-19.14,-5.281285731,-4.066117551,-3.733300598,4.07808476537328,59.0323008052418,31.7538019737176,109.744733598985
"HER42PB",4.3,-18.1,-5.14518572,-4.138166135,-3.801693899,4.01790353574397,55.5844527716145,29.899185395982,103.334968796007
"HER42PB",4.4,-17.05,-5.528904222,-4.313427593,-3.733021036,4.37626475199653,79.5403748106224,42.785208711152,147.870523846837
"HER42PB",4.5,-16.01,-5.137352334,-4.124707036,-3.544137257,4.09266505998691,59.8993144403673,32.2201734161778,111.356566089259
"HER42PB",4.6,-14.96,-5.073300593,-3.957881186,-3.245476189,4.05794304669561,57.8551831904706,31.1206238808878,107.556398445423
"HER42PB",4.7,-13.92,-5.140923035,-3.888160067,-3.353391902,4.0187353209001,55.6307063281858,29.9240654405663,103.420957046079
"HER42PB",4.8,-12.88,-5.043500133,-4.017208506,-3.128802977,4.11582073829733,61.3025069365322,32.9749584414342,113.965188565075
"HER42PB",4.9,-11.83,-5.081703654,-3.680461332,-3.318459355,3.87305993269758,48.0893112314839,25.8675071963554,89.4010326222833
"HER42PB",5,-10.79,-4.94784079,-3.766399722,-3.322978407,3.84720290504605,46.8618028310246,25.207223620456,87.1190178513639
"HER42PB",5.1,-9.74,-4.29635647,-3.31483108,-3.075534765,3.3234483073622,27.7558965903544,14.9300506995458,51.5999450395627
"HER42PB",5.2,-8.7,-4.882951926,-3.552651835,-2.993036047,3.79611486167585,44.5278511383497,23.9517780617621,82.7800559059273
"HER42PB",5.3,-7.65,-4.756029127,-3.845765103,-3.098005444,3.86608402619089,47.7550120678903,25.6876858223631,88.7795496011153
"HER42PB",5.4,-6.61,-5.58138601,-4.324625701,-3.336509234,4.55031150752883,94.661891614482,50.9191564581008,175.982367881633
"HER42PB",5.5,-5.57,-4.931578278,-4.079507139,-3.253721822,4.04781282343362,57.2720558596847,30.8069564558567,106.472328322822
"HER42PB",5.6,-4.52,-5.227022741,-4.348953222,-3.605162308,4.25757985971711,70.6388205635344,37.9970133170257,131.32197862434
"HER42PB",5.7,-3.48,-5.32104997,-3.936517723,-3.249562513,4.18872662746433,65.9387728561987,35.4688315905816,122.584296431572
"HER42PB",5.8,-2.43,-5.573883931,-4.079776707,-3.610274205,4.30720987385609,74.2330800689981,39.9303854374041,138.003931496448
"HER42PB",5.9,-1.39,-5.384090232,-4.122959014,-3.423581283,4.27863965685743,72.1422350315221,38.8057082967183,134.116920004357
"HER42PB",6,-0.34,-4.462058162,-4.102190645,-3.453633536,3.74547893260857,42.3292752351505,22.7691518909696,78.6927660069656
"HER42PB",6.1,0.7,-5.40461078,-3.82372477,-3.621530845,4.04612618964294,57.1755402910998,30.7550401962765,106.292899853695
"HER42PB",6.2,1.74,-5.274540184,-3.980619144,-3.854507684,3.98216169496409,53.6328468615689,28.8494057541081,99.7068115369033
"HER42PB",6.3,2.79,-5.658644288,-4.141827865,-3.819927835,4.32701207149959,75.7177091380539,40.7289756468346,140.763949646755
"HER42PB",6.4,3.83,-4.590006288,-4.406585226,-3.493596643,3.97818540633992,53.420010612317,28.734919955327,99.3111356585156
"HER42PB",6.5,4.88,-5.84067507,-4.379657163,-3.500860636,4.69564249135469,109.469119015064,58.8840461920976,203.509928289242
