"Site","depth","SH20_age","Ti","Ca","Fe","Sr","Ti_convert","Ti_ppm"
"HER42PB",1.1,-51.51,-5.909350251,-4.430780614,-1.552470498,-4.117590782,3.79312065260541,44.3947248460199
"HER42PB",1.2,-50.47,-5.473339621,-4.157662827,-1.274225627,-3.651727188,3.56259951413075,35.2547232831719
"HER42PB",1.3,-49.42,-5.379784028,-4.273008429,-1.3304254,-3.800298438,3.52824835205288,34.0642467571633
"HER42PB",1.4,-48.38,-5.792251123,-4.145425678,-1.111112451,-3.718779748,3.66787145530891,39.1684452807684
"HER42PB",1.5,-47.34,-5.573978952,-4.341018611,-1.443056684,-3.447850296,3.79546570807252,44.4989551033324
"HER42PB",1.6,-46.29,-5.608298946,-4.308107284,-1.562444593,-3.352805461,3.84928226623558,46.9593468245539
"HER42PB",1.7,-45.25,-5.679817028,-4.445072565,-1.462609761,-3.526360525,3.8728280674618,48.0781622845731
"HER42PB",1.8,-44.2,-5.326018362,-4.203191815,-1.339078888,-3.436278484,3.59824621234748,36.5341051630141
"HER42PB",1.9,-43.16,-5.897840445,-3.992204195,-1.414243363,-3.560345537,3.75482781664452,42.7268623226284
"HER42PB",2,-42.11,-4.52025545,-4.649004433,-1.761393055,-4.086122447,3.29039157893128,26.8533768139927
"HER42PB",2.1,-41.07,-5.760692541,-4.561275553,-1.57483287,-3.847788689,3.87406810103961,48.137817799942
"HER42PB",2.3,-38.98,-5.977838804,-4.420396186,-1.050681741,-3.747107814,3.8742004573034,48.1441895633151
"HER42PB",2.4,-37.94,-5.681471943,-4.343967746,-0.798020881,-3.653323696,3.6768965610937,39.5235446371725
"HER42PB",2.5,-36.89,-4.627950797,-4.3354261,-1.269847857,-3.739886423,3.23154937711588,25.3188550514339
"HER42PB",2.6,-35.85,-5.314499824,-4.264036879,-1.337337516,-3.715371281,3.5236170797537,33.9068507080735
"HER42PB",2.7,-34.8,-5.144615304,-4.270979748,-1.341867671,-3.756948259,3.43375910415753,30.992929696244
"HER42PB",2.8,-33.76,-5.793453542,-4.256697181,-1.548203619,-4.010322254,3.68809271449241,39.9685427910777
"HER42PB",2.9,-32.72,-5.869450426,-4.42765966,-1.784570805,-4.188703486,3.78269632908376,43.9343436219763
"HER42PB",3,-31.67,-5.794551908,-4.316102655,-1.62704277,-3.82350077,3.79396081492918,44.4320392941115
"HER42PB",3.1,-30.63,-5.757702317,-4.120649237,-1.246183687,-3.839310196,3.61793200328703,37.2604336386355
"HER42PB",3.2,-29.58,-5.840230805,-4.081623543,-1.610228489,-3.812368639,3.70957432443082,40.8364197604672
"HER42PB",3.3,-28.54,-5.541792506,-4.231745155,-1.457818998,-3.71111762,3.63917040433163,38.0602490069802
"HER42PB",3.4,-27.49,-5.193393709,-4.28160749,-1.339904816,-3.718450735,3.47434514939988,32.2766852078274
"HER42PB",3.5,-26.45,-5.949991299,-4.340553386,-1.334533305,-3.890636516,3.81712018123403,45.4730653904899
"HER42PB",3.6,-25.41,-5.767865795,-4.176058114,-1.307553036,-3.726771562,3.69794003155081,40.3640699487949
"HER42PB",3.7,-24.36,-5.460756583,-4.228914879,-1.21091649,-3.69716799,3.56381267998265,35.2975190635181
"HER42PB",3.8,-23.32,-5.583527637,-4.214040394,-1.048511711,-3.554283499,3.64135881579945,38.1436316969151
"HER42PB",3.9,-22.27,-5.182438766,-4.364128443,-1.111893697,-3.719955267,3.47106142226354,32.170871207972
"HER42PB",4,-21.23,-5.695445935,-4.146278934,-1.28127637,-3.935638066,3.57007292323698,35.519183231005
"HER42PB",4.1,-20.19,-5.446243699,-3.951540039,-1.218129223,-3.799348224,3.39297021318021,29.7541974614446
"HER42PB",4.2,-19.14,-5.281285731,-4.066117551,-1.454661917,-3.733300598,3.42799504602069,30.8147985200624
"HER42PB",4.3,-18.1,-5.14518572,-4.138166135,-1.318246038,-3.801693899,3.35276024822393,28.5815169443967
"HER42PB",4.4,-17.05,-5.528904222,-4.313427593,-1.327423861,-3.733021036,3.64258329746091,38.1903664815333
"HER42PB",4.5,-16.01,-5.137352334,-4.124707036,-1.234451267,-3.544137257,3.41934710103588,30.5494627957517
"HER42PB",4.6,-14.96,-5.073300593,-3.957881186,-1.178257085,-3.245476189,3.40748635811441,30.1892638075814
"HER42PB",4.7,-13.92,-5.140923035,-3.888160067,-1.090349608,-3.353391902,3.35431648405926,28.6260311536137
"HER42PB",4.8,-12.88,-5.043500133,-4.017208506,-1.017837029,-3.128802977,3.4368749891739,31.0896507090216
"HER42PB",4.9,-11.83,-5.081703654,-3.680461332,-0.966985716,-3.318459355,3.22302423111079,25.1039255697656
"HER42PB",5,-10.79,-4.94784079,-3.766399722,-0.860080899,-3.322978407,3.18444485126837,24.1538756897102
"HER42PB",5.1,-9.74,-4.29635647,-3.31483108,-0.463304323,-3.075534765,2.72455307515274,15.2495969798401
"HER42PB",5.2,-8.7,-4.882951926,-3.552651835,-0.93514136,-2.993036047,3.18304108902154,24.1199931779618
"HER42PB",5.3,-7.65,-4.756029127,-3.845765103,-0.837418426,-3.098005444,3.2126052534707,24.8437261901612
"HER42PB",5.4,-6.61,-5.58138601,-4.324625701,-1.284800193,-3.336509234,3.8052088310837,44.934632881353
"HER42PB",5.5,-5.57,-4.931578278,-4.079507139,-1.111083141,-3.253721822,3.3871597842825,29.5818141082819
"HER42PB",5.6,-4.52,-5.227022741,-4.348953222,-1.162600589,-3.605162308,3.53275215643242,34.2180114640572
"HER42PB",5.7,-3.48,-5.32104997,-3.936517723,-1.060852839,-3.249562513,3.49249615886901,32.8678888669086
"HER42PB",5.8,-2.43,-5.573883931,-4.079776707,-0.98973676,-3.610274205,3.54513182710847,34.644252092822
"HER42PB",5.9,-1.39,-5.384090232,-4.122959014,-0.922416895,-3.423581283,3.52692815752225,34.0193049973645
"HER42PB",6,-0.34,-4.462058162,-4.102190645,-0.879508685,-3.453633536,3.09222657070455,22.0260660111794
"HER42PB",6.1,0.7,-5.40461078,-3.82372477,-0.832576156,-3.621530845,3.31405971294389,27.4965271967602
"HER42PB",6.2,1.74,-5.274540184,-3.980619144,-0.988837315,-3.854507684,3.26884934881779,26.2810815809484
"HER42PB",6.3,2.79,-5.658644288,-4.141827865,-0.932448466,-3.819927835,3.53436853734355,34.2733655291797
"HER42PB",6.4,3.83,-4.590006288,-4.406585226,-1.078707173,-3.493596643,3.30440578695587,27.2323549595848
"HER42PB",6.5,4.88,-5.84067507,-4.379657163,-0.996578494,-3.500860636,3.85999991049721,47.4653471205724
"HER42PB",6.6,5.92,-5.351473789,-4.02253659,-1.00644062,-3.76389467,3.35922887252365,28.7669993005015
"HER42PB",6.7,6.97,-5.84051245,-4.240003168,-1.016295984,-3.643287873,3.74829866814755,42.4488010332459
"HER42PB",6.8,8.01,-5.173190621,-4.418742915,-1.121605594,-3.713506937,3.49603411658445,32.9843800167854
"HER42PB",6.9,9.05,-5.731851495,-4.124415585,-1.008276244,-3.536851612,3.67410688791936,39.4134405136082
"HER42PB",7,10.1,-5.436694952,-4.228186992,-0.882419416,-3.519326806,3.56166287667099,35.2217178481878
"HER42PB",7.1,11.14,-5.842026582,-4.488231388,-0.740601528,-3.451558399,3.88791451015652,48.8089896560236
"HER42PB",7.2,12.19,-5.72620286,-4.447006634,-0.398073891,-3.246518154,3.82603140657783,45.8800970049507
"HER42PB",7.3,13.23,-5.664094326,-4.147988353,-0.51746368,-3.260813043,3.66901735678616,39.2133541857532
"HER42PB",7.4,14.27,-4.545874553,-4.247072429,-0.592114955,-3.593809689,3.09967225389056,22.1906771813657
"HER42PB",7.5,15.32,-5.333691455,-4.094379284,-0.529434561,-3.48824348,3.40466270951333,30.1041401712392
"HER42PB",7.6,16.36,-5.577571164,-4.270526174,-0.529181432,-3.707969208,3.52882296043754,34.0838259836222
"HER42PB",7.7,17.41,-5.409644049,-4.126490447,-0.492294319,-3.458035879,3.46065938994721,31.8379632275854
"HER42PB",7.8,18.45,-5.240858868,-4.188021161,-0.383859845,-3.460348112,3.39115682748875,29.7002905173198
"HER42PB",7.9,19.5,-5.149948551,-4.110597726,-0.395999229,-3.41220119,3.33157509268275,27.9823818553772
"HER42PB",8,20.54,-4.878033702,-3.955252451,-0.220138688,-3.699020988,3.00919955008637,20.2711673752612
"HER42PB",8.1,21.58,-4.926848983,-4.023844088,-0.139780342,-3.366302763,3.16585912386398,23.7091043428993
"HER42PB",8.2,22.63,-4.824600429,-4.168840781,-0.022611829,-3.338004198,3.17996416277699,24.0458917986363
"HER42PB",8.3,23.67,-4.59243489,-3.63134463,-0.185449603,-3.311501044,2.8657715554521,17.562598497066
"HER42PB",8.4,24.72,-5.176443181,-3.921826644,-0.163084327,-3.251152319,3.27497045018649,26.4424440997261
"HER42PB",8.5,25.76,-4.962108253,-3.789137397,-0.08767458,-3.210622683,3.11805061492755,22.6022761300854
"HER42PB",8.6,26.81,-4.716050708,-3.76951656,0.06505833,-3.193247028,2.98368382285535,19.760476825137
"HER42PB",8.7,27.85,-4.909300401,-3.967592857,0.119777636,-3.302837206,3.1128437699113,22.4848954379919
"HER42PB",8.8,28.89,-5.133095826,-3.933840012,-0.119640982,-3.616031234,3.12656744626903,22.7955979800429
"HER42PB",8.9,29.94,-5.247191675,-4.040039217,-0.311847479,-3.540707973,3.28570428483602,26.7278016731376
"HER42PB",9,30.98,-4.844848842,-3.793037547,-0.059202459,-3.584529163,2.93344875085272,18.7923289285776
"HER42PB",9.1,32.03,-4.903597489,-3.872040712,-0.27521465,-3.398012932,3.09525347449843,22.0928377988607
"HER42PB",9.2,33.07,-4.992364488,-4.0431202,-0.245712365,-3.594713538,3.14118262296144,23.1312061850385
"HER42PB",9.3,34.12,-5.095264752,-4.057277085,-0.181961287,-3.447737988,3.23534684528939,25.4151853876113
"HER42PB",9.4,35.16,-4.94056503,-4.0961428,-0.394974158,-3.691397894,3.13282145492572,22.93860857577
