Site,depth,SH20_age,Ti,Ca,Sr,Ti_convert_PLS,Ti_ppm_PLS,Ti_lower_RMSE_PLS,Ti_upper_RMSE_PLS
HER42PB,1.1,-51.51,-5.909350251,-4.430780614,-4.117590782,4.563100176,95.88026521,51.57452578,178.2474025
HER42PB,1.2,-50.47,-5.473339621,-4.157662827,-3.651727188,4.27664779,71.99868035,38.72848899,133.8500444
HER42PB,1.3,-49.42,-5.379784028,-4.273008429,-3.800298438,4.237560852,69.23876213,37.2439137,128.719184
HER42PB,1.4,-48.38,-5.792251123,-4.145425678,-3.718779748,4.450409453,85.66201139,46.07807045,159.2510304
HER42PB,1.5,-47.34,-5.573978952,-4.341018611,-3.447850296,4.517643341,91.61942761,49.28259763,170.3262392
HER42PB,1.6,-46.29,-5.608298946,-4.308107284,-3.352805461,4.552028069,94.82452415,51.00663682,176.2847139
HER42PB,1.7,-45.25,-5.679817028,-4.445072565,-3.526360525,4.620432468,101.5379345,54.61781744,188.7653632
HER42PB,1.8,-44.2,-5.326018362,-4.203191815,-3.436278484,4.286978597,72.74634009,39.13065931,135.2399906
HER42PB,1.9,-43.16,-5.897840445,-3.992204195,-3.560345537,4.483435424,88.53831749,47.62525143,164.5982631
HER42PB,2,-42.11,-4.52025545,-4.649004433,-4.086122447,3.88570484,48.70125698,26.19667591,90.53867902
HER42PB,2.1,-41.07,-5.760692541,-4.561275553,-3.847788689,4.633174716,102.8400343,55.31822415,191.1860481
HER42PB,2.3,-38.98,-5.977838804,-4.420396186,-3.747107814,4.729097181,113.1933231,60.88731552,210.4334586
HER42PB,2.4,-37.94,-5.681471943,-4.343967746,-3.653323696,4.518356399,91.68478085,49.31775151,170.447735
HER42PB,2.5,-36.89,-4.627950797,-4.3354261,-3.739886423,3.872089472,48.04266509,25.84241568,89.31431555
HER42PB,2.6,-35.85,-5.314499824,-4.264036879,-3.715371281,4.221658087,68.14638328,36.65631706,126.6883835
HER42PB,2.7,-34.8,-5.144615304,-4.270979748,-3.756948259,4.111704893,61.05071384,32.83951716,113.4970908
HER42PB,2.8,-33.76,-5.793453542,-4.256697181,-4.010322254,4.418549804,82.97586676,44.63317837,154.2573197
HER42PB,2.9,-32.72,-5.869450426,-4.42765966,-4.188703486,4.510289027,90.94810114,48.92148741,169.0782014
HER42PB,3,-31.67,-5.794551908,-4.316102655,-3.82350077,4.517913114,91.64414735,49.29589452,170.3721948
HER42PB,3.1,-30.63,-5.757702317,-4.120649237,-3.839310196,4.372110021,79.21059151,42.60781596,147.2574378
HER42PB,3.2,-29.58,-5.840230805,-4.081623543,-3.812368639,4.412570954,82.48124661,44.36711945,153.3377899
