"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.132074683298592,0.109995327760025,0.738789575,0.008034972,4.53002963796312,-10.2460976800192,19.3061569559454
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.137436476220766,0.0701085996441509,0.761205508,0.003005595,4.7684585098069,-10.0064781667257,19.5433951863395
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.0633200765289696,0.0654960021524796,1.745989306,0.00454165,1.47264126730275,-13.3278630365476,16.2731455711531
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0969399192558283,0.0658134341109337,1.171208352,0.012269219,2.9676525982663,-11.8188220648134,17.754127261346
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.256496397867457,0.0987218355076983,14.98993637,0.050641414,10.0628298538833,-4.71221047334877,24.8378701811153
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.424896452323413,0.0970340644961766,4.788646274,0.037728077,17.5512643356247,2.68959363768744,32.412935033562
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.315431777602712,0.118441886892076,6.375776882,0.021747503,12.6835756204438,-2.11030033959283,27.4774515804804
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.108938955500548,0.0621294757556127,17.04437568,0.072771457,3.50122722835126,-11.2812173227888,18.2836717794913
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.0620498564418949,0.0612516009313258,5.701846016,0.226259322,1.41615696312494,-13.3849564151254,16.2172703413753
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.137716914499441,0.0329299719051452,1.54911114,0.010688746,4.78092907392171,-9.99394816094212,19.5558063087855
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.116194929045852,0.0613054784225787,4.068857773,0.02443965,3.82388675878193,-10.9563704503858,18.6041439679497
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.178988071044792,0.0714085311212725,2.041238975,0.011991471,6.61617997555599,-8.15302107390306,21.385381025015
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.139382283975546,0.0966072185722568,2.439569014,0.01043611,4.8549849300792,-9.91954511480994,19.6295149749684
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.107459944457373,0.0697278163343301,2.601276107,0.027240957,3.43545838207405,-11.3474551192414,18.2183718833894
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.118570911068711,0.0778981291709498,5.745017677,0.069473871,3.92954222169408,-10.8500396612542,18.7091241046424
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.187606753654464,0.0856170217844303,3.633220643,0.018650539,6.99943662146363,-7.76934958216469,21.7682228250919
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.116277636508085,0.0533033858243113,1.389287804,0.01419095,3.82756460445772,-10.9526687575247,18.6077979664402
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.22783780726056,0.0855983360540365,1.543818014,0.018208205,8.7884360967546,-5.98193640494255,23.5588085984518
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.0896367490384924,0.0682170302995158,0.741821487,0.012050585,2.64289432037733,-12.1462850634451,17.4320737041997
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.279843591004967,0.0990909749679479,1.001920559,0.002420104,11.1010357304053,-3.6799810870514,25.882052547862
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.112193627465006,0.109905595094874,3.769043144,0.04959872,3.64595638443226,-11.1354837486843,18.4273965175489
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.410734000592108,0.122053597662215,1.250579343,0.003346293,16.9214866776938,2.07097570541872,31.771997649969
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.177859669632696,0.100136136307182,16.76515491,0.107585917,6.56600208178461,-8.20327299551207,21.3352771590813
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.163932491325863,0.100864870495392,14.16367715,0.137185591,5.94668659163715,-8.82387796153254,20.7172511448068
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.237474012112056,0.0777490756087566,6.771422937,0.061270999,9.21694004775505,-5.55467361963468,23.9885537151448
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.36992214873156,0.100103680075219,5.562421054,0.040340228,15.1066601936788,0.284347342030667,29.9289730453268
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.393057422033141,0.0787894434025236,3.933228837,0.026102701,16.1354423926856,1.29786776809698,30.9730170172742
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.317223890327952,0.127911477970025,5.752426608,0.069152067,12.7632675111039,-2.03137557392536,27.5579105961331
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,0.320334554435931,0.066705117618532,6.816523388,0.051952222,12.9015929079843,-1.89440890951367,27.6975947254823
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,0.260749192128804,0.106512364666261,11.84941346,0.182590959,10.2519436359026,-4.52404002350568,25.0279272953108
