"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,5450.54545454545,835.921929804018,13959.03161,176.5369365,12845.6308648529,-19311.1430423151,45002.4047720209
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,5083.58333333333,710.068557296129,9355.988249,27.23893955,12255.9897291873,-19902.5875592714,44414.5670176461
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,1170,185.344887366033,3942.206507,48.5012016,5967.57578181266,-26218.4406965535,38153.5922601788
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,1496.25,127.306448454828,4568.280308,27.82191253,6491.79997115261,-25691.3562325389,38674.9561748441
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,7994.7,1003.56288071827,18556.10587,33.23324312,16933.622754957,-15214.2804736313,49081.5259835452
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,10621.2727272727,985.478979066433,34440.81517,173.6494448,21154.0456168633,-10991.363434256,53299.4546679826
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,6755.8,1156.0035370957,25853.87296,38.38777974,14942.936630288,-17208.4930544054,47094.3663149813
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,1059.54545454545,180.112389155418,26327.35852,199.5705658,5790.09549200477,-26396.9129414326,37977.1039254422
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,848.818181818182,82.9202245315558,20544.92897,1107.050592,5451.49523540011,-26737.438757457,37640.4292282572
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,2591.36363636364,263.650250417963,2355.109726,9.689444316,8251.44765929927,-23922.868971614,40425.7642902125
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,2063.41666666667,370.998764598123,6242.966621,15.13819392,7403.1332617395,-24775.2983592509,39581.5648827299
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,1999.83333333333,256.157207885148,3694.801697,28.74082309,7300.96645293582,-24877.9791622995,39479.9120681711
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,1678.18181818182,299.384975635658,6284.597012,38.94604963,6784.13118924152,-25397.4752109252,38965.7375894082
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,1101.81818181818,119.633455339063,3753.765384,11.81590071,5858.02004736335,-26328.6073397615,38044.6474344882
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,3160.36363636364,725.041553668102,11390.75321,93.133272,9165.72678185691,-23004.4603957822,41335.9139594961
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,3007.09090909091,344.68694624121,7073.372392,64.24483976,8919.44549081486,-23251.8228498264,41090.7138314561
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,1610.09090909091,562.278837329924,1987.252608,27.50554815,6674.7215291048,-25507.4611185659,38856.9041767755
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,7030.18181818182,810.668097088052,15892.74003,5.384076861,15383.8181205745,-16766.7007173315,47534.3369584806
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,1472,564.739664703028,4238.013215,41.30378848,6452.8346482668,-25730.5305768018,38636.1998733354
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,15614.1818181818,1662.97924329691,3019.385269,15.63993365,29176.73901343,-2982.59742442224,61336.0754512822
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,2676.18181818182,426.882611072838,36760.73258,176.9107347,8387.73499295421,-23785.9459748769,40561.4159607853
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,7485.25,1804.05236393465,6074.810846,90.83067827,16115.0296108674,-16034.1414143584,48264.2006360931
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,5640.90909090909,2883.7578766098,49049.46764,602.4649613,13151.5104754354,-19004.3799324898,45307.4008833606
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,5513.47058823529,425.435382526985,51904.82693,633.5042142,12946.7400669913,-19209.7378657351,45103.2179997177
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,6844.72727272727,887.92714688865,34127.39087,180.3909133,15085.8265228724,-17065.2998659125,47236.9529116573
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,11848.6363636364,2059.33461451641,29114.97389,241.7735926,23126.1949112636,-9020.370166351,55272.7599888782
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,16426.6363636364,2073.30172781133,24845.10488,215.0112593,30482.205145128,-1681.71068200112,62646.1209722572
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,18888.2727272727,2894.78331109287,27055.53366,347.4235335,34437.6053816858,2255.86708519219,66619.3436781794
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,3041.91111111111,21612.1111111111,5465.66888505982,70333.76898,854.1412459,38814.3163967378,6605.94926563082,71022.6835278448
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,3183,21337.3636363636,2347.55473941407,107255.388,1659.164889,38372.847363105,6167.4948606804,70578.1998655296
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,3362.6,10933.3636363636,1181.27763652134,46161.88967,524.1315649,21655.5187320159,-10490.0440783207,53801.0815423526
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,3550.09090909091,20409.2727272727,2049.58010777374,28337.51625,150.1728069,36881.574705781,4685.86058602585,69077.2888255361
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,3699.925,8114.75,1775.90310572089,68261.38783,1004.21079,17126.5211884597,-15021.120369471,49274.1627463904
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,3790.45,6016.1,1085.89680807054,23779.92504,84.31463012,13754.373770963,-18399.8793778661,45908.6269197922
"Bird Island","BI10","BI10.7",271,265,266,265.5,3978.94545454545,22559,2571.74493292006,58747.48129,702.1728764,40335.7939758115,8116.4729570906,72555.1149945324
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,4128.55454545455,11403,1229.13994321233,49872.72804,195.5233093,22410.1386309028,-9735.83574070783,54556.1130025135
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,4314.73333333333,54932.25,5064.94830136049,73040.17367,1106.313667,92353.6966196411,59244.0318580734,125463.361381209
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,4365.28181818182,35227.0909090909,4911.74391544481,74836.34761,1508.582346,60691.1033621806,28241.6236109082,93140.5831134529
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,4492.98,31882.8,3888.83189545538,65108.07757,794.4594063,55317.4384097357,22943.7526359419,87691.1241835296
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,4610.66666666667,25978.75,2891.96432534893,88890.89611,1660.843449,45830.7079114292,13564.5547218118,78096.8611010466
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,4729.33333333333,9136.16666666667,3544.86857900603,76198.44633,424.3239232,18767.751300526,-13378.2360381511,50913.7386392032
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,4891.35454545455,37166,9923.62626261187,244762.4318,2521.469387,63806.5763012938,31308.2612751875,96304.8913274
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,5008.74545454545,20682.9090909091,4122.54725757135,33059.50476,411.0830407,37321.2583867043,5122.78995601953,69519.726817389
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,5262.19090909091,17928.1818181818,4783.00840095816,19940.78074,195.2603694,32894.9145663269,720.833154189106,65068.9959784648
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,5341.56,39122.5,4414.33992171473,91742.56196,2210.042469,66950.3146198949,34399.1013600275,99501.5278797622
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,5483.135,27698.5,6119.19867904975,63330.72521,818.7355802,48594.0322014441,16300.0349882879,80888.0294146004
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,5447.30909090909,25871.4545454545,3422.62377025686,69886.15056,651.9486024,45658.3037039841,13393.7926444505,77922.8147635177
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,5581.52,19198.1,4055.86733976566,54047.68966,417.3743136,34935.4412464548,2751.03953896625,67119.8429539433
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,5660.04545454545,21290.9090909091,5572.32655996659,40132.04847,295.2089979,38298.2033893669,6093.35332100335,70503.0534577305
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,5698.00833333333,28513.25,4571.37363730183,54152.91453,901.2653807,49903.1867095352,17594.9980586601,82211.3753604104
