"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","coh_inc","coh_inc_sd","dry_mass_pc","dry_mass_err","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.146376584727273,0.00388698448403857,12.51434728,1.251434728,17.7037454129223,-1.6134395884885,37.0209304143331
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.145989151583333,0.00361351532498803,10.48614151,1.048614151,17.6293065265921,-1.68870968955037,36.9473227427345
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.143955505083333,0.00301099939000146,13.6157151,1.36157151,17.2385749048473,-2.08404109980043,36.5611909094951
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.148022999166667,0.00320273418525427,19.65584023,1.965584023,18.0200767831817,-1.29373700128199,37.3338905676455
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.1602627916,0.00242683010150897,21.79052633,2.179052633,20.3717509543295,1.07481348539031,39.6686884232686
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.154934023454545,0.00334895066566226,19.47346052,1.947346052,19.3479160747792,0.045406195305894,38.6504259542526
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.1560056543,0.00207374814577925,26.28431951,2.628431951,19.5538122608451,0.252643003975173,38.8549815177151
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.148821987636364,0.00355121707675302,15.13709242,1.513709242,18.1735892350853,-1.1386825406499,37.4858610108204
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.147191485818182,0.00357246424196973,22.36604891,2.236604891,17.8603152124486,-1.45516859105763,37.1757990159548
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.158576433909091,0.00478949806078012,12.20914471,1.220914471,20.047745147317,0.749340460523879,39.3461498341101
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.15165269475,0.00294108742220876,22.9846784,2.29846784,18.7174629029992,-0.589840364297949,38.0247661702963
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.149898092416667,0.00220136997425113,23.15568582,2.315568582,18.3803450139166,-0.929947052565801,37.6906370803989
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.149104332818182,0.00491852631995791,24.17673458,2.417673458,18.227837203345,-1.08390435396619,37.5395787606562
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.149911105272727,0.00417489477233992,16.6231038,1.66231038,18.3828452195088,-0.927423589505928,37.6931140285234
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.156443694363636,0.00636353661000703,15.49312409,1.549312409,19.637974431829,0.337321285854404,38.9386275778035
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.163261797363636,0.00479762607996572,27.34117399,2.734117399,20.9479604310735,1.65295430233708,40.2429665598098
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.148378059454545,0.00275218434102406,16.82974775,1.682974775,18.0882957593409,-1.22482519062478,37.4014167093066
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.149992786727273,0.00288275232976997,13.84436494,1.384436494,18.3985389633336,-0.911584231388488,37.7086621580556
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.1465574293,0.00383288756320129,12.21081609,1.221081609,17.7384917138086,-1.57831023884301,37.0552936664601
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.157428365818182,0.00265751453321166,16.79692387,1.679692387,19.8271628056789,0.527602276389853,39.1267233349678
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.149073162363636,0.00338222226804198,14.8081316,1.48081316,18.2218483147868,-1.08995140094107,37.5336480305147
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.1552225165,0.00399124332567506,16.33050513,1.633050513,19.4033452536029,0.101207173908819,38.7054833332971
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.153574041181818,0.00323746214087364,15.40632226,1.540632226,19.0866179194869,-0.217752717498954,38.3909885564728
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.152447821823529,0.00479382750227348,18.59519446,1.859519446,18.8702334513384,-0.435813037506925,38.1762799401837
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.156416456,0.0024892101922773,14.38022471,1.438022471,19.6327410296634,0.33205633021608,38.9334257291107
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.157757844181818,0.00519446057025618,20.19056256,2.019056256,19.8904666371723,0.591250825285439,39.1896824490592
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.162441651545455,0.0043808928271725,35.50400774,3.550400774,20.7903829437348,1.49493487636323,40.0858310111064
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.160814896090909,0.00373356482300537,15.3832195,1.53832195,20.4778287230594,1.18131199140885,39.7743454547099
