Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,cps_acf_sum,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,PCA sum,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,dry_mass_pc,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd,dry_mass_err
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,51424.81818,1.329090909,0.016620009,0.08185091,0.029638266,0.031988197,10.60896134,0.132074683,0.335575238,0.170331555,0.015622543,0.049527653,0.055091023,1.541323222,74.30416828,10.87370743,97.52672867,0.146376585,0.019068488,0.03138707,0.034904035,0.022589835,1.657421743,0.109995328,0.048057315,0.088383157,0.035288105,0.074597146,0.091088937,0.2451863,1.485721651,0.257051053,0.003886984,1782.206118,1557.061769,134.9563972,34.34524027,13959.03161,0.738789575,2.467420581,4.369649931,22.90793616,2.288761162,26.58846642,2.896325963,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,59525.91667,1.321666667,0.017385594,0.072392937,0.021771638,0.059847347,8.518967183,0.137436476,0.401623352,0.167079536,0.000329542,0.094637679,0.003430598,1.509763663,75.99724832,11.09306303,97.27648471,0.145989152,0.014853671,0.020371024,0.022230807,0.031604484,1.012032225,0.0701086,0.060893046,0.082628691,0.00097354,0.119487919,0.011883939,0.191671624,0.992710284,0.235566301,0.003613515,1331.46149,1397.543318,79.78694045,28.06949723,9355.988249,0.761205508,2.98969441,3.255429522,12.50967591,1.525038372,25.05462045,2.113253146,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,52036.5,1.291666667,0.018947337,0.108330376,0.024012759,0.024581779,2.252786217,0.063320077,0.36859341,0.13605324,0.008388702,0.053599885,0.018967025,1.768587358,80.89677603,11.64585271,96.73989425,0.143955505,0.016443032,0.028755989,0.014822581,0.0233705,0.379723035,0.065496002,0.043802375,0.102293927,0.024659488,0.083913088,0.045658145,0.218581817,0.507645252,0.27005887,0.003010999,1545.22611,2547.021617,340.544392,37.1899001,3942.206507,1.745989306,3.556521683,5.828405269,13.94648753,4.398970104,46.4043754,6.431024383,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,51401.91667,1.33,0.021971616,0.243455278,0.061864614,0.055345301,2.913064877,0.096939919,0.395841456,0.169709693,0.177082794,0.143158128,0.481911787,1.633728349,79.37860804,11.74909501,96.51707326,0.148022999,0.017771377,0.040995916,0.025918637,0.016270124,0.263078074,0.065813434,0.035434189,0.090387406,0.118631196,0.150922092,0.113497627,0.162492658,0.457525137,0.221901526,0.003202734,4972.490853,6361.863436,1070.668936,59.55046887,4568.280308,1.171208352,7.052448962,18.80830619,83.1136075,19.01381163,121.9608593,35.64216716,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,56540.2,1.346,0.046381984,0.385829034,0.133383295,0.077817612,14.10645364,0.256496398,0.378409737,0.242977716,0.131204059,0.082190974,0.622258625,1.401769721,68.20100149,10.93087852,95.85939193,0.160262792,0.039757305,0.05489877,0.048177852,0.030316149,1.373363685,0.098721836,0.078401437,0.089168757,0.047044976,0.063958938,0.201263878,0.169295938,0.827006324,0.25351291,0.00242683,16457.36219,8442.247188,1962.99309,148.1529747,18556.10587,14.98993637,9.844407416,25.3957986,90.06087679,43.16823811,150.558177,40.9140318,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,60724.63636,1.349090909,0.018394676,0.283360396,0.054619064,0.060100247,17.4684606,0.424896452,0.375171652,0.234519527,0.028995919,0.009482605,0.245503787,1.368227878,67.03107879,10.38559903,96.89694979,0.154934023,0.013689031,0.040283914,0.021559111,0.028328376,1.20414941,0.097034064,0.066966163,0.080556909,0.032036085,0.016949065,0.165074881,0.149524815,0.994652628,0.281017286,0.003348951,10808.43657,8467.75867,1538.231355,149.1109339,34440.81517,4.788646274,10.02079263,25.1006547,83.32372544,21.08188416,145.2111951,27.74345656,19.47346052,2190.076237,27.42631931,7.943023099,0.185893427,173.6494448,0.037728077,0.096502178,0.200410389,0.676115824,0.09353744,2.397227724,3.945793598,1.947346052
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,59939.7,1.358,0.024744656,0.413480347,0.065452793,0.053188466,11.24786296,0.315431778,0.365943613,0.236813035,0.443045787,0.079442735,0.61480327,1.444496054,71.2302788,11.11256146,96.18212415,0.156005654,0.012994584,0.046733082,0.023808458,0.026494751,1.748569456,0.118441887,0.062862318,0.04778781,0.087330568,0.085895732,0.132105731,0.196991221,1.515928672,0.290631999,0.002073748,66668.75515,10818.31417,3006.601666,498.7089785,25853.87296,6.375776882,9.325702706,12.41602198,63.36397587,138.1998527,165.8736664,60.55383697,26.28431951,13007.37375,94.24288942,14.09773486,6.046753704,38.38777974,0.021747503,0.028353619,0.076135345,0.318454995,2.068052956,2.61051165,6.691084732,2.628431951
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,56445.27273,1.319090909,0.018053065,0.356861785,0.024583709,0.061668877,1.877158091,0.108938956,0.41696457,0.221546766,0.005765498,0.055983356,0.533957873,1.642491805,80.17073223,11.93043492,96.59788928,0.148821988,0.014917494,0.026862954,0.024785245,0.030042161,0.317940487,0.062129476,0.054285116,0.06462506,0.019121994,0.108376896,0.175512575,0.167398697,0.465707638,0.258120911,0.003551217,2479.827204,6975.196896,301.0170716,55.70453095,26327.35852,17.04437568,9.672030755,30.70187991,154.2471074,5.28425398,110.8952002,6.355756988,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,55945.45455,1.398181818,0.01094365,0.312746668,0.015172173,0.059091439,1.516897377,0.062049856,0.433783447,0.231578133,0.023195839,0.05084269,0.252462154,1.648296096,80.94061591,11.91228233,96.65756415,0.147191486,0.013892354,0.029975875,0.016761835,0.028007729,0.143285115,0.061251601,0.056196506,0.097611018,0.039510397,0.065071939,0.171828636,0.110453226,0.496035747,0.224962728,0.003572464,23399.21394,7326.374157,1904.013462,235.7531016,20544.92897,5.701846016,6.289145655,12.23274868,56.72463202,58.41930414,153.965778,31.40903404,22.36604891,3611.164788,349.9533771,92.77560752,13.60034647,1107.050592,0.226259322,1.766837081,0.369735042,1.511547748,1.652885172,1.949345735,0.597663272,2.236604891
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,53136.27273,1.27,0.049256977,0.511591052,0.123486431,0.099576088,4.883700491,0.137716914,0.370458195,0.247284605,0.935099219,0.258634821,1.090470433,1.619295355,74.77553917,11.85270932,94.95636834,0.158576434,0.039822997,0.093035407,0.089490389,0.063783709,0.54430568,0.032929972,0.050653792,0.114675486,0.15082767,0.216379693,0.329321228,0.181818988,1.385720441,0.218219395,0.004789498,867.9986358,5816.665099,225.6496719,36.54824658,2355.109726,1.54911114,7.635178907,44.61646774,109.0593506,3.560602291,97.81476508,6.255310392,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471
