"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","cps_acf_sum","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,51424.8181818182,1.32909090909091,0.0166200094508697,0.0818509096992784,0.0296382662517896,0.0319881973176655,10.6089613409039,0.132074683298592,0.335575237698124,0.170331554976755,0.0156225433902151,0.0495276531430358,0.0550910231511645,1.54132322151837,74.3041682832458,10.8737074275158,0.146376584727273,0.0190684881174599,0.0313870702919944,0.0349040346485669,0.0225898354199711,1.65742174255479,0.109995327760025,0.0480573150747056,0.088383157477021,0.0352881049910537,0.0745971463045873,0.0910889369732401,0.245186299934987,1.48572165126881,0.257051052976305,0.00388698448403857,1782.206118,1557.061769,134.9563972,34.34524027,13959.03161,0.738789575,2.467420581,4.369649931,22.90793616,2.288761162,26.58846642,2.896325963,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,59525.9166666667,1.32166666666667,0.0173855943359705,0.0723929367089474,0.0217716380992997,0.0598473471720287,8.5189671829483,0.137436476220766,0.401623352367971,0.167079536169283,0.0003295419531622,0.0946376790959899,0.00343059763755324,1.50976366270431,75.9972483229091,11.0930630253743,0.145989151583333,0.0148536705886894,0.0203710241111566,0.0222308068393088,0.0316044835226841,1.01203222473737,0.0701085996441509,0.0608930459018632,0.0826286908544678,0.000973539905853925,0.119487919370018,0.011883938817136,0.191671624049888,0.992710283656303,0.235566300915143,0.00361351532498803,1331.46149,1397.543318,79.78694045,28.06949723,9355.988249,0.761205508,2.98969441,3.255429522,12.50967591,1.525038372,25.05462045,2.113253146,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,52036.5,1.29166666666667,0.0189473366674052,0.108330375876452,0.0240127591314434,0.0245817785563953,2.25278621676606,0.0633200765289696,0.368593410411422,0.13605323992119,0.00838870188019205,0.0535998851777897,0.0189670249373731,1.76858735841107,80.896776027754,11.6458527080065,0.143955505083333,0.0164430322482061,0.0287559888446626,0.0148225806066842,0.0233704997327662,0.379723034940704,0.0654960021524796,0.04380237502335,0.102293927480184,0.024659488133246,0.0839130883631707,0.0456581447865968,0.218581817241434,0.507645251883,0.270058870257566,0.00301099939000146,1545.22611,2547.021617,340.544392,37.1899001,3942.206507,1.745989306,3.556521683,5.828405269,13.94648753,4.398970104,46.4043754,6.431024383,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,51401.9166666667,1.33,0.0219716156617602,0.243455278232217,0.0618646138745448,0.0553453013330347,2.91306487742071,0.0969399192558283,0.395841455535071,0.169709693008281,0.177082793707153,0.143158128365599,0.481911787072006,1.63372834927209,79.3786080412845,11.7490950133701,0.148022999166667,0.0177713768306234,0.0409959157709345,0.0259186371934027,0.016270123645334,0.2630780741355,0.0658134341109337,0.0354341894259921,0.0903874055593321,0.118631196352943,0.150922091735009,0.113497626614508,0.1624926576575,0.457525137461933,0.221901526314316,0.00320273418525427,4972.490853,6361.863436,1070.668936,59.55046887,4568.280308,1.171208352,7.052448962,18.80830619,83.1136075,19.01381163,121.9608593,35.64216716,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,56540.2,1.346,0.0463819839922912,0.3858290337625,0.133383295205551,0.0778176122520302,14.1064536367579,0.256496397867457,0.378409736745743,0.242977716007442,0.131204058655496,0.0821909742306216,0.622258624716265,1.40176972103445,68.2010014872816,10.9308785232733,0.1602627916,0.039757305004422,0.0548987703299031,0.0481778522396202,0.0303161488081067,1.37336368486013,0.0987218355076983,0.0784014372702192,0.0891687571124245,0.0470449760839496,0.063958938199115,0.201263877830535,0.169295937768965,0.827006324188957,0.253512910053694,0.00242683010150897,16457.36219,8442.247188,1962.99309,148.1529747,18556.10587,14.98993637,9.844407416,25.3957986,90.06087679,43.16823811,150.558177,40.9140318,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,60724.6363636364,1.34909090909091,0.0183946763158912,0.283360395933265,0.0546190641658839,0.0601002473174079,17.468460595723,0.424896452323413,0.375171651629446,0.234519527423291,0.0289959186980307,0.00948260506332067,0.245503787073657,1.36822787759101,67.0310787930194,10.3855990327901,0.154934023454545,0.0136890305237411,0.0402839138740896,0.0215591110100752,0.0283283763294072,1.20414940989301,0.0970340644961766,0.0669661633325769,0.080556908908718,0.0320360849470355,0.0169490648844932,0.165074880891807,0.149524814663102,0.994652627760347,0.281017286036539,0.00334895066566226,10808.43657,8467.75867,1538.231355,149.1109339,34440.81517,4.788646274,10.02079263,25.1006547,83.32372544,21.08188416,145.2111951,27.74345656,19.47346052,2190.076237,27.42631931,7.943023099,0.185893427,173.6494448,0.037728077,0.096502178,0.200410389,0.676115824,0.09353744,2.397227724,3.945793598,1.947346052
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,59939.7,1.358,0.024744655831081,0.413480347153504,0.065452792726174,0.0531884661469314,11.2478629598111,0.315431777602712,0.365943613375867,0.236813035032382,0.443045786518933,0.0794427345737734,0.61480327017036,1.44449605427658,71.2302787960001,11.112561460442,0.1560056543,0.0129945836441187,0.0467330819494768,0.0238084575316061,0.0264947506907605,1.74856945599221,0.118441886892076,0.0628623178244996,0.0477878099927342,0.0873305679555854,0.0858957324014482,0.132105730877862,0.196991221204881,1.51592867201783,0.290631998621055,0.00207374814577925,66668.75515,10818.31417,3006.601666,498.7089785,25853.87296,6.375776882,9.325702706,12.41602198,63.36397587,138.1998527,165.8736664,60.55383697,26.28431951,13007.37375,94.24288942,14.09773486,6.046753704,38.38777974,0.021747503,0.028353619,0.076135345,0.318454995,2.068052956,2.61051165,6.691084732,2.628431951
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,56445.2727272727,1.31909090909091,0.0180530652955216,0.356861785405355,0.0245837087908236,0.0616688768816489,1.87715809073292,0.108938955500548,0.416964569801947,0.221546766259649,0.00576549797887265,0.0559833560522104,0.533957873410727,1.64249180487797,80.1707322264078,11.9304349183746,0.148821987636364,0.0149174936266344,0.0268629536265097,0.0247852452834665,0.0300421605291775,0.317940486714373,0.0621294757556127,0.0542851162839597,0.0646250595134051,0.019121993525473,0.108376896422831,0.175512575489907,0.167398696891861,0.465707637522506,0.258120910870143,0.00355121707675302,2479.827204,6975.196896,301.0170716,55.70453095,26327.35852,17.04437568,9.672030755,30.70187991,154.2471074,5.28425398,110.8952002,6.355756988,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,55945.4545454545,1.39818181818182,0.0109436495303064,0.312746668204592,0.0151721725407795,0.05909143906275,1.5168973767904,0.0620498564418949,0.433783446679785,0.231578132542993,0.0231958387608486,0.0508426900874298,0.252462154035728,1.64829609602764,80.940615911754,11.9122823278524,0.147191485818182,0.013892354066728,0.0299758746014798,0.0167618345158282,0.0280077291638715,0.143285114747633,0.0612516009313258,0.0561965056365194,0.0976110184749952,0.0395103967257909,0.0650719391460696,0.171828635516228,0.11045322584039,0.496035747406178,0.224962728364171,0.00357246424196973,23399.21394,7326.374157,1904.013462,235.7531016,20544.92897,5.701846016,6.289145655,12.23274868,56.72463202,58.41930414,153.965778,31.40903404,22.36604891,3611.164788,349.9533771,92.77560752,13.60034647,1107.050592,0.226259322,1.766837081,0.369735042,1.511547748,1.652885172,1.949345735,0.597663272,2.236604891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,53136.2727272727,1.27,0.0492569773234493,0.511591052495102,0.123486431224939,0.0995760877090462,4.88370049109785,0.137716914499441,0.370458194725954,0.247284605153668,0.935099219304241,0.258634821046909,1.09047043305662,1.61929535458366,74.775539169771,11.8527093178747,0.158576433909091,0.0398229967491521,0.0930354067015458,0.0894903885739792,0.0637837090304097,0.544305679820571,0.0329299719051452,0.0506537915347229,0.114675486299497,0.150827670434676,0.216379693467356,0.329321228372807,0.181818988490682,1.38572044126941,0.218219394541538,0.00478949806078012,867.9986358,5816.665099,225.6496719,36.54824658,2355.109726,1.54911114,7.635178907,44.61646774,109.0593506,3.560602291,97.81476508,6.255310392,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,23119.3333333333,56701.3333333333,55771.4166666667,1.27833333333333,0.0442936538041397,0.694876668960727,0.071912342617309,0.0740963280003564,3.69278129574849,0.116194929045852,0.39624318978387,0.279006883717156,0.216204721888853,0.0821498884784982,0.805592071117657,1.62206910753448,77.1022055918343,11.6929991100365,0.15165269475,0.0275428485865766,0.113771656766745,0.0262737863880355,0.0344139811764804,0.618670174427139,0.0613054784225787,0.0477589204958125,0.0671850000032428,0.101711424833394,0.0950746468539235,0.153563649176704,0.257807691159405,0.637942490907758,0.258309140912212,0.00294108742220876,7766.606331,9084.977882,1442.000824,88.46094721,6242.966621,4.068857773,5.960197779,36.59073739,261.6355831,30.36236272,168.0404108,30.42377281,22.9846784,2010.436754,46.04204392,11.02828725,0.148073757,15.13819392,0.02443965,0.068926753,0.331067449,2.462160119,0.256345549,1.955006557,3.299014819,2.29846784
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,22181.1666666667,53873,52971.5,1.32166666666667,0.0330232576005161,0.449509762404051,0.0784315543300949,0.0738258637855305,3.76888090461965,0.178988071044792,0.417727674284257,0.359492820832831,0.0192508611156501,0.0694887799447572,0.759629954649892,1.63566271528168,77.7599151190873,11.6555445723836,0.149898092416667,0.0206578532388437,0.0762134962500208,0.0273347412948187,0.0224319894609851,0.414669370944667,0.0714085311212725,0.0576720972932511,0.0829530746724808,0.0386932294746475,0.0992778616139092,0.200895123667755,0.23779284826348,0.468679568033742,0.145151285070777,0.00220136997425113,1973.319538,6626.492173,461.9149499,46.49996193,3694.801697,2.041238975,6.674238754,34.06414422,140.4650062,7.795499709,114.9998151,21.97235957,23.15568582,728.4065428,12.55357407,4.1315028,0.203261185,28.74082309,0.011991471,0.048794576,0.025144385,0.492872097,0.115748702,1.529219743,0.521915705,2.315568582
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,22325.9090909091,53674.8181818182,52810.6363636364,1.29545454545455,0.0235910992104725,0.411368671483338,0.0535464242562412,0.0814605148482103,3.17328966208688,0.139382283975546,0.403174298292266,0.325247155839018,0.137624526386997,0.101928867159323,0.747342864061521,1.65420058742422,77.941969525731,11.6191164510578,0.149104332818182,0.0224687965892844,0.0495470504679526,0.0296612231948465,0.0272293445344262,0.528289330409317,0.0966072185722568,0.0797344536208498,0.094008160733922,0.0822341056311422,0.0745674548644458,0.187452315905494,0.17642978985105,0.745041480001906,0.313901321709621,0.00491852631995791,14359.67839,9905.624178,2197.326275,125.5077224,6284.597012,2.439569014,6.367819135,39.61078518,67.51751759,50.21714125,209.897137,39.24997232,24.17673458,3663.807136,61.39912548,24.940646,1.234445563,38.94604963,0.01043611,0.01977015,0.154761353,0.138761249,0.70380336,2.629036009,1.135258391,2.417673458
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,21329.4545454545,51592.6363636364,50780.4545454545,1.24090909090909,0.00704150037287899,0.439601024281238,0.0463097170301029,0.0420947968275756,2.16718834393188,0.107459944457373,0.42548737246867,0.253444198685762,0.0724806733853937,0.0952747151147943,0.744892357656707,1.78692143893127,79.290787317911,11.8855227721618,0.149911105272727,0.00955458989955262,0.0440378515836065,0.0351694827127393,0.0297476291897089,0.196187361031512,0.0697278163343301,0.0357342568619274,0.0670947219280605,0.0792209591353592,0.133495168251957,0.156746238299102,0.0974764512150816,0.542045069143561,0.297464807173888,0.00417489477233992,3095.570446,7180.738417,574.7925663,57.22472424,3753.765384,2.601276107,5.912256586,37.01157435,65.03458094,13.30255749,130.9618352,13.33706426,16.6231038,982.5430133,69.86799065,2.379383359,0.585720892,11.81590071,0.027240957,0.047824043,0.426171368,0.286572998,0.023181323,0.711514938,0.180364254,1.66231038
