"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,42,15.8113883008419,1557.061769,23.70865277,5521.36414076867,-6487.08902691797,17529.8173084553
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,43.0833333333333,12.12404322998,1397.543318,16.95048652,5544.33004514121,-6464.02610823422,17552.6861985166
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,56.5,15.8200103436353,2547.021617,33.02866289,5828.75393775491,-6178.42492987119,17835.932805381
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,125.083333333333,20.7822403785423,6361.863436,96.22229039,7282.67234533922,-4719.18842892853,19284.533119607
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,217.7,27.9087799805008,8442.247188,102.4072847,9246.08050838809,-2750.45874602001,21242.6197627962
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,171.727272727273,21.74898116736,8467.75867,27.42631931,8271.49103919726,-3727.42235280148,20270.404431196
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,248,30.2397824801113,10818.31417,94.24288942,9888.41918760761,-2106.84358426217,21883.6819594774
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,201.454545454545,15.5843744588202,6975.196896,67.76762951,8901.68830323799,-3095.62967459051,20899.0062810665
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,175,17.3723918905832,7326.374157,349.9533771,8340.87055450449,-3657.85639989027,20339.5975088992
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,270.909090909091,43.279220292086,5816.665099,70.73844961,10374.0757947583,-1620.37396766494,22368.5255571815
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,387.833333333333,65.1513389708682,9084.977882,46.04204392,12852.7874596933,860.446091012196,24845.1288283743
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,238.5,43.0591559263638,6626.492173,12.55357407,9687.02587234076,-2308.61246218567,21682.6642068672
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,217.363636363636,28.0081157069615,9905.624178,61.39912548,9238.94983598151,-2757.60487445731,21235.5045464203
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,223.545454545455,26.1241789779646,7180.738417,69.86799065,9370.00003156186,-2626.27513000256,21366.2751931263
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,242,36.428011200174,6732.62029,14.01324671,9761.22340954434,-2234.27393939465,21756.7207584833
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,210.363636363636,43.6469305387509,6605.365982,65.89419971,9090.55476157436,-2906.32800754837,21087.4375306971
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,254.272727272727,55.9608629474044,7089.603048,60.94161611,10021.3965919465,-1973.63054681574,22016.4237307087
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,203.545454545455,31.0237445720649,5586.311354,64.02588147,8946.0141046843,-3051.19995416849,20943.2281635371
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,187.9,22.8057010416255,5350.125775,88.24884284,8614.34147734052,-3383.67661490451,20612.3595695855
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,225.272727272727,29.2612060896024,5647.265231,93.13022455,9406.616997974,-2589.58175862321,21402.8157545712
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,202.545454545455,29.2758044684126,5488.24581,18.21293292,8924.81480834042,-3072.44881482875,20922.0784315096
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,163.666666666667,21.9351661756075,6436.237221,74.4489504,8100.61186260721,-3898.77210738838,20099.9958326028
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,298.727272727273,40.172355940599,5642.915643,47.45052762,10963.8016748698,-1029.83699157776,22957.4403413174
