"Model","R2","RMSE","RMSEP","AIC","BIC","Rank","Rank_explanation","R2_explanation","RMSE_explanation","RMSEP_explanation"
"RF",0.764220861074043,0.638127551598451,0.658892726350531,NA,NA,1,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"Bayes",0.723503699572672,0.691034085621477,0.73294668717106,578.463608938088,607.191504782175,2,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"PLS_LOO",0.697291605179832,0.723047851394819,0.762985283258762,NA,NA,3,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"PLS_kfold",0.697291605179832,0.723047851394819,0.762985283258762,NA,NA,4,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"OLS",0.608456680906178,0.822327315016661,0.829368800202076,661.700465220814,672.473426162346,5,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"WLS",0.608323185716187,0.822467487738816,NA,661.726819498081,672.499780439613,6,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"WLS_weighted",0.608229412035276,0.822565937768544,NA,661.816062941063,672.589023882596,7,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
"OLS_weighted",0.401191970178938,1.01694769214115,NA,788.726977570257,799.499938511789,8,"Ranking: R² highest → lowest; RMSEP lowest → highest; RMSE lowest → highest. AIC/BIC reported but not used for ranking.","R² = 1 − SS_res/SS_tot (log-space).","RMSE = calibration error in log-space.","RMSEP = 10-fold cross-validated error in log-space."
