Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_average_age,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_coh_sd,coh_inc_sd,K_ICP,Ca_ICP,Ti_ICP,Mn_ICP,Fe_ICP,Co_ICP,Ni_ICP,Cu_ICP,Zn_ICP,Rb_ICP,Sr_ICP,Zr_ICP,K_ICP_sd,Ca_ICP_sd,Ti_ICP_sd,Mn_ICP_sd,Fe_ICP_sd,Co_ICP_sd,Ni_ICP_sd,Cu_ICP_sd,Zn_ICP_sd,Rb_ICP_sd,Sr_ICP_sd,Zr_ICP_sd
Bird Island,BI10,BI10.2,67,70.1,71.2,70.6,1100.57,1091.76,23119.33333,56701.33333,1.278333333,0.000576167,0.009016476,0.000933612,0.000961526,0.047945165,0.001509774,0.005142242,0.003618265,0.002809767,0.001078956,0.010447671,0.021051747,0.151652695,0.151652695,0.000359252,0.001492405,0.000344054,0.000449649,0.008297913,0.000781927,0.0006421,0.000870809,0.001329022,0.001227407,0.001981908,0.003449476,0.002941088,0.002941087,7766.606331,9084.977882,1442.000824,88.46094721,6242.966621,4.068857773,5.960197779,36.59073739,261.6355831,30.36236272,168.0404108,30.42377281,2010.436754,46.04204392,11.02828725,0.148073757,15.13819392,0.02443965,0.068926753,0.331067449,2.462160119,0.256345549,1.955006557,3.299014819
Bird Island,BI10,BI10.2,71,74.7,75.8,75.2,1174.82,1150.35,22181.16667,53873,1.321666667,0.000427548,0.005783138,0.001009861,0.000948971,0.048489221,0.002298967,0.005372712,0.0046229,0.000278835,0.000904903,0.00977149,0.021045712,0.149898092,0.149898092,0.000263537,0.000993955,0.000357014,0.000286814,0.005532971,0.000912453,0.000748311,0.001062236,0.000477018,0.001267107,0.002587569,0.003142761,0.00220137,0.00220137,1973.319538,6626.492173,461.9149499,46.49996193,3694.801697,2.041238975,6.674238754,34.06414422,140.4650062,7.795499709,114.9998151,21.97235957,728.4065428,12.55357407,4.1315028,0.203261185,28.74082309,0.011991471,0.048794576,0.025144385,0.492872097,0.115748702,1.529219743,0.521915705
Bird Island,BI10,BI10.2,81,86.5,87.5,87,1349.67,1257.91,22325.90909,53674.81818,1.295454545,0.000313061,0.00528311,0.000692284,0.001046261,0.040734474,0.001793519,0.005172442,0.004172064,0.001768387,0.001313634,0.009608124,0.021231681,0.149104333,0.149104333,0.000279034,0.000684422,0.000374775,0.000354565,0.006910566,0.001255071,0.001018517,0.001200176,0.001045776,0.00094093,0.002517834,0.002329974,0.004918526,0.004918526,14359.67839,9905.624178,2197.326275,125.5077224,6284.597012,2.439569014,6.367819135,39.61078518,67.51751759,50.21714125,209.897137,39.24997232,3663.807136,61.39912548,24.940646,1.234445563,38.94604963,0.01043611,0.01977015,0.154761353,0.138761249,0.70380336,2.629036009,1.135258391
Bird Island,BI10,BI10.3,88,84.8,85.8,85.3,1324,1272.8,21329.45455,51592.63636,1.240909091,0.000102825,0.00554632,0.000587404,0.000535943,0.027342055,0.00135985,0.005366216,0.0031973,0.00093059,0.001215656,0.009402453,0.022541282,0.149911105,0.149911105,0.000110346,0.000576222,0.000436879,0.00037078,0.002585794,0.000873885,0.000449721,0.000850708,0.000983911,0.001686162,0.002018826,0.001320935,0.004174895,0.004174895,3095.570446,7180.738417,574.7925663,57.22472424,3753.765384,2.601276107,5.912256586,37.01157435,65.03458094,13.30255749,130.9618352,13.33706426,982.5430133,69.86799065,2.379383359,0.585720892,11.81590071,0.027240957,0.047824043,0.426171368,0.286572998,0.023181323,0.711514938,0.180364254
Bird Island,BI10,BI10.3,95,93,94,93.5,1444.55,1331.17,21085,51886,1.319090909,0.000709214,0.006374178,0.002705506,0.001402546,0.08272168,0.001576241,0.005272954,0.002619217,0.000159784,0.002866702,0.017609483,0.021927451,0.156443695,0.156443694,0.000464285,0.00121152,0.002021141,0.000658308,0.018074755,0.00102219,0.000790063,0.001821418,0.000236329,0.002275697,0.009048276,0.002966512,0.006363537,0.006363537,3134.001598,6732.62029,606.0238476,60.2997145,11390.75321,5.745017677,7.120078834,25.20300712,71.97280393,10.28410137,119.867266,13.96054981,945.8757012,14.01324671,2.682720915,0.569052976,93.133272,0.069473871,0.066671523,0.083140624,0.774294779,0.050822268,2.07053159,0.385854347
Bird Island,BI10,BI10.3,98,96.3,97.3,96.8,1492.28,1361.43,20358.09091,49648.18182,1.288181818,0.001071661,0.005794709,0.002182565,0.001525072,0.083203994,0.002539458,0.00579622,0.002603067,0.000335496,0.005111127,0.019112762,0.023813486,0.163261797,0.163261797,0.000638648,0.001056638,0.000559417,0.000483564,0.008549612,0.001153643,0.000773786,0.001069998,0.000864906,0.00321301,0.004134852,0.00283556,0.004797626,0.004797626,3044.618396,6605.365982,562.7226914,54.01867077,7073.372392,3.633220643,5.857915852,18.81424853,41.79884834,9.694363956,112.4064678,13.08141258,864.5444411,65.89419971,3.077677491,0.421691157,64.24483976,0.018650539,0.041156676,0.085012501,0.244174097,0.203712654,0.932757371,0.324463031
Bird Island,BI10,BI10.3,104,103.2,104.2,103.7,1595.6,1481.46,23485.90909,56468.36364,1.455454545,0.00045582,0.005852731,0.001453244,0.001163264,0.037132909,0.001483251,0.004973552,0.002379095,0.000586608,0.001369609,0.012599549,0.021044821,0.14837806,0.148378059,0.000424334,0.001276552,0.001787949,0.000216942,0.013080804,0.000675798,0.000428872,0.000968867,0.00068365,0.001635979,0.003156009,0.002317531,0.002752184,0.002752184,1424.582603,7089.603048,441.0920959,47.40786167,1987.252608,1.389287804,4.568507031,19.39416739,45.72842227,6.266500548,127.1397723,11.39582517,617.0473108,60.94161611,6.868091078,0.811856875,27.50554815,0.01419095,0.022190259,0.073912797,0.254790732,0.095875453,0.326624311,0.228978244
Bird Island,BI10,BI10.3,114,114.9,115.9,115.4,1769.92,1770.48,23787.45455,60059.36364,1.378181818,0.000212304,0.004801622,0.000726147,0.000779976,0.166037982,0.003184846,0.005310752,0.003170856,7.56E-05,0.000771159,0.0051829,0.020455599,0.149992787,0.149992787,0.000204443,0.000709538,0.000505425,0.000304683,0.020055641,0.001203635,0.000707963,0.001092917,0.000105925,0.001040166,0.002033371,0.001946844,0.002882752,0.002882752,1716.680373,5586.311354,354.6954517,38.81328375,15892.74003,1.543818014,5.784125479,42.10225675,35.80217711,6.037782671,94.40874214,8.138802933,574.2556523,64.02588147,1.783713254,0.081961578,5.384076861,0.018208205,0.017909738,0.101834918,0.124414396,0.042295483,1.478332239,0.19067742
Bird Island,BI10,BI10.3,120,121.8,122.7,122.3,1872.71,1949,23463.2,55879.5,1.243,0.000190114,0.00425606,0.000379288,0.000603083,0.033227508,0.001131902,0.005199234,0.003832498,0.000949869,0.001118604,0.003264484,0.021425203,0.146557429,0.146557429,0.00020747,0.00047562,0.000276337,0.00043185,0.012437901,0.000849107,0.000633262,0.000919037,0.000688541,0.001454825,0.001326981,0.00117784,0.003832887,0.003832888,683.2265993,5350.125775,192.9637106,32.12024806,4238.013215,0.741821487,6.534750001,62.86286744,87.02811474,2.592646444,91.74775016,5.71655892,330.288126,88.24884284,2.274240107,0.26750503,41.30378848,0.012050585,0.055133377,0.567434644,1.036590908,0.02182641,0.40610632,0.108668636
Bird Island,BI10,BI10.4,135,129.4,130.4,129.9,1986.59,2160.03,23205.09091,65119.72727,1.433636364,0.000185711,0.005777717,0.001052188,0.001165849,0.400309087,0.004616797,0.005095741,0.004138714,0.00229754,0.000424463,0.006770108,0.020598012,0.157428366,0.157428366,0.000204088,0.000730434,0.00066221,0.000528934,0.038614011,0.001652244,0.001100193,0.001011381,0.001314644,0.00057616,0.002425662,0.002038993,0.002657515,0.002657515,1641.390095,5647.265231,401.5251511,37.52718028,3019.385269,1.001920559,9.469595678,77.32937965,126.1466188,6.954876946,100.7977844,10.71344504,595.6836327,93.13022455,5.219646629,0.316767608,15.63993365,0.002420104,0.030083547,0.189230748,1.544773235,0.093655521,1.025597866,0.348935486
