"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","K_ICP","Ca_ICP","Ti_ICP","Mn_ICP","Fe_ICP","Co_ICP","Ni_ICP","Cu_ICP","Zn_ICP","Rb_ICP","Sr_ICP","Zr_ICP","dry_mass_pc","K_ICP_sd","Ca_ICP_sd","Ti_ICP_sd","Mn_ICP_sd","Fe_ICP_sd","Co_ICP_sd","Ni_ICP_sd","Cu_ICP_sd","Zn_ICP_sd","Rb_ICP_sd","Sr_ICP_sd","Zr_ICP_sd","dry_mass_err"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,1.32909090909091,8.63636363636364,42,15.2727272727273,16.3636363636364,5450.54545454545,68.9090909090909,172.727272727273,88,8,26.1818181818182,28.7272727272727,792.363636363636,38213.7272727273,5590.27272727273,0.146376584727273,9.83130436181006,15.8113883008419,17.9058141903177,11.5695525174721,835.921929804018,58.9108725880962,26.4616360382003,47.1826239202527,18.1548891486563,39.5495086741117,47.4027233586656,126.043066233151,1611.55856802718,191.840606186016,0.00388698448403857,1782.206118,1557.061769,134.9563972,34.34524027,13959.03161,0.738789575,2.467420581,4.369649931,22.90793616,2.288761162,26.58846642,2.896325963,12.51434728,520.9093274,23.70865277,2.246361623,0.178633186,176.5369365,0.008034972,0.015066934,0.022750235,0.057813095,0.010158086,0.463509298,0.085387528,1.251434728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,1.32166666666667,10.4166666666667,43.0833333333333,12.8333333333333,35.6666666666667,5083.58333333333,81.5833333333333,238.75,98.9166666666667,0.181818181818182,56.5,2.08333333333333,898.5,45226.25,6602.41666666667,0.145989151583333,8.97935342208936,12.12404322998,12.8263459923375,18.9560896108172,710.068557296129,41.3047616302689,34.793220342736,46.7555700781557,0.603022689155525,72.0914822859249,7.21687836487032,114.744379937637,654.357300924141,185.387779499833,0.00361351532498803,1331.46149,1397.543318,79.78694045,28.06949723,9355.988249,0.761205508,2.98969441,3.255429522,12.50967591,1.525038372,25.05462045,2.113253146,10.48614151,522.7119355,16.95048652,0.954822132,0.234649235,27.23893955,0.003005595,0.02200764,0.010150183,0.167196198,0.011740776,0.186955871,0.03629458,1.048614151
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,1.29166666666667,9.83333333333333,56.5,12.5,12.9166666666667,1170,33.0833333333333,191.916666666667,71.25,4.33333333333333,28.5833333333333,10.25,921.5,42093.8333333333,6060.5,0.143955505083333,8.55817879238476,15.8200103436353,7.78693544575551,12.287897470374,185.344887366033,34.6579607366654,24.6002894784643,53.7623136001081,12.7017059221718,44.5593747575959,24.8344518763753,127.663976552083,1322.15401615101,252.644378164609,0.00301099939000146,1545.22611,2547.021617,340.544392,37.1899001,3942.206507,1.745989306,3.556521683,5.828405269,13.94648753,4.398970104,46.4043754,6.431024383,13.6157151,589.8765904,33.02866289,4.893302391,0.366072293,48.5012016,0.00454165,0.014282314,0.020076539,0.043639925,0.046912281,0.519109914,0.078886265,1.36157151
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,1.33,11.3333333333333,125.083333333333,31.9166666666667,28.5,1496.25,50.1666666666667,203.333333333333,87.4166666666667,90.9166666666667,74.3333333333333,248.083333333333,840.25,40802.6666666667,6037.25,0.148022999166667,9.2080333832952,20.7822403785423,13.7408371673856,8.63923397277581,127.306448454828,34.2234192365758,17.3065060458531,47.7768645672651,60.6247149321633,79.603943864534,60.5436857053473,91.0595459525848,1078.14945273104,98.4065084691603,0.00320273418525427,4972.490853,6361.863436,1070.668936,59.55046887,4568.280308,1.171208352,7.052448962,18.80830619,83.1136075,19.01381163,121.9608593,35.64216716,19.65584023,1373.757336,96.22229039,10.73236296,0.237697509,27.82191253,0.012269219,0.06465722,0.176446353,1.204215632,0.109765839,0.839622095,0.676354366,1.965584023
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,144.2,213,137.5,74.1,47,349.4,793.2,38550.7,6177,0.1602627916,22.6374812104959,27.9087799805008,27.378215184096,17.5337769272149,1003.56288071827,53.0236844354588,38.5544348220078,51.6682795447179,26.9132350753718,37.4492248844278,106.557444080125,107.025230670156,967.395592988377,126.323218592449,0.00242683010150897,16457.36219,8442.247188,1962.99309,148.1529747,18556.10587,14.98993637,9.844407416,25.3957986,90.06087679,43.16823811,150.558177,40.9140318,21.79052633,3980.600316,102.4072847,30.40726253,0.305567488,33.23324312,0.050641414,0.040880493,0.092788179,0.829001857,0.83280191,2.59385652,0.917402906,2.179052633
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,1.34909090909091,11.0909090909091,171.727272727273,33.0909090909091,36.4545454545455,10621.2727272727,258.181818181818,227.454545454545,143,17.4545454545455,5.63636363636364,148.181818181818,831.454545454545,40697.0909090909,6303.27272727273,0.154934023454545,8.14192293570193,21.74898116736,12.9340986965041,17.2705740284661,985.478979066433,60.4480242552528,38.944482629414,51.5014562900895,19.2216733733754,9.90224951486002,98.6679463471478,100.516032190257,1249.59765160995,167.336242881864,0.00334895066566226,10808.43657,8467.75867,1538.231355,149.1109339,34440.81517,4.788646274,10.02079263,25.1006547,83.32372544,21.08188416,145.2111951,27.74345656,19.47346052,2190.076237,27.42631931,7.943023099,0.185893427,173.6494448,0.037728077,0.096502178,0.200410389,0.676115824,0.09353744,2.397227724,3.945793598,1.947346052
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,1.358,14.7,248,39.4,32,6755.8,189.9,219.5,142.2,265.8,47.9,369.7,866.8,42680.9,6658.3,0.1560056543,7.57261146794449,30.2397824801113,14.8264028753512,16.0069429380573,1156.0035370957,73.9541149031689,38.7792900055343,30.1101680869141,53.0509189364331,51.6041557327401,85.4375015240185,126.178709244732,801.708654479086,145.314257157835,0.00207374814577925,66668.75515,10818.31417,3006.601666,498.7089785,25853.87296,6.375776882,9.325702706,12.41602198,63.36397587,138.1998527,165.8736664,60.55383697,26.28431951,13007.37375,94.24288942,14.09773486,6.046753704,38.38777974,0.021747503,0.028353619,0.076135345,0.318454995,2.068052956,2.61051165,6.691084732,2.628431951
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,1.31909090909091,10.1818181818182,201.454545454545,13.9090909090909,34.8181818181818,1059.54545454545,61.5454545454545,235.454545454545,125.090909090909,3.27272727272727,31.6363636363636,301.636363636364,927.181818181818,45251.9090909091,6734.36363636364,0.148821987636364,8.41211247925492,15.5843744588202,14.0389069763607,16.9871609271131,180.112389155418,35.16920140226,31.4304426833719,36.7190809946397,10.8544084047995,61.2360559266724,99.87519484564,95.6230287972706,298.880730240494,161.2279583244,0.00355121707675302,2479.827204,6975.196896,301.0170716,55.70453095,26327.35852,17.04437568,9.672030755,30.70187991,154.2471074,5.28425398,110.8952002,6.355756988,15.13709242,632.4407929,67.76762951,3.519876752,0.688199618,199.5705658,0.072771457,0.061309265,0.12301453,0.912951267,0.054223017,2.069414432,0.110447115,1.513709242
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,1.39818181818182,6.09090909090909,175,8.45454545454546,33,848.818181818182,34.9090909090909,242.636363636364,129.454545454545,13,28.2727272727273,142,922.181818181818,45281,6665,0.147191485818182,7.75183262789575,17.3723918905832,9.2775388585943,15.5434873821804,82.9202245315558,34.7000130992902,31.4078739403759,54.4763501647525,22.2126090318089,36.0363452894183,97.4546048168069,63.1740740839439,466.751754147748,176.817419956293,0.00357246424196973,23399.21394,7326.374157,1904.013462,235.7531016,20544.92897,5.701846016,6.289145655,12.23274868,56.72463202,58.41930414,153.965778,31.40903404,22.36604891,3611.164788,349.9533771,92.77560752,13.60034647,1107.050592,0.226259322,1.766837081,0.369735042,1.511547748,1.652885172,1.949345735,0.597663272,2.236604891
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,1.27,25.8181818181818,270.909090909091,65.4545454545455,53,2591.36363636364,73.2727272727273,197,131.818181818182,495.454545454545,137.636363636364,578.818181818182,860.454545454545,39740.2727272727,6298.27272727273,0.158576433909091,20.3951865979117,43.279220292086,47.7668580427133,34.3016034610629,263.650250417963,18.1333444741499,28.7228132326901,61.3413696974859,70.3311646944136,115.234780103294,175.582925241504,100.4752343977,1545.35174577888,213.91123902642,0.00478949806078012,867.9986358,5816.665099,225.6496719,36.54824658,2355.109726,1.54911114,7.635178907,44.61646774,109.0593506,3.560602291,97.81476508,6.255310392,12.20914471,403.6307052,70.73844961,2.024591047,0.120334052,9.689444316,0.010688746,0.081872982,0.152122701,0.741410788,0.038361736,1.178390202,0.136212551,1.220914471
