Location,Site,Section,sample,top,bottom,mp,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
South Georgia,POB4,POB_1A,15,30,31.3,30.7,80.91306723,4.045653362,19.08693277,1.908693277,0.284660931,0.028466093,1080.166565,21.00400081,14646.93584,2636.448451,10257.53787,1333.479923,3467.200549,485.4080769,307.9874746,36.95849695,20564.29548,3701.573186,2.473175222,0.173122266,6.592493378,3.559946424,12.11149021,1.695608629,27.24508388,2.452057549,1.469099453,0.023629116,19.43994355,3.110390968,72.5248179,1.450496358,64.73610834,3.236805417,48.25912412,0.401465813,1.364142493,0.025521769
South Georgia,POB4,POB_1A,16,31.5,32.9,32.2,86.57066984,4.328533492,13.42933016,1.342933016,0.227620798,0.02276208,2008.828127,62.5916054,3544.338812,637.9809862,8147.851933,1059.220751,1433.304327,200.6626058,55.99665262,6.719598314,5244.470443,944.0046797,1.547300194,0.108311014,5.377096226,2.903631962,19.13155615,2.678417861,25.16989811,2.26529083,2.394824774,0.021513096,10.62932459,1.700691934,68.40901103,1.368180221,25.7005601,1.285028005,29.17530872,0.057445879,1.229997239,0.012913019
South Georgia,POB4,POB_1A,19,36.1,37.4,36.8,82.88293446,4.144146723,17.11706554,1.711706554,0.353840775,0.035384077,2231.066565,59.9771842,3651.465906,657.2638631,8012.02176,1041.562829,1715.231415,240.1323981,81.9905042,9.838860504,4933.407235,888.0133023,1.231904717,0.08623333,3.206884305,1.731717525,12.90608826,1.806852356,10.81225849,0.973103264,2.183842448,0.05133278,10.48840983,1.678145573,59.5129419,1.190258838,31.58940291,1.579470146,15.97939879,0.106041706,1.426380876,0.018198067
South Georgia,POB4,POB_1A,21,39.2,40.6,39.9,80.56500294,4.028250147,19.43499706,1.943499706,0.387821946,0.038782195,1729.067606,54.83609426,5174.632753,931.4338955,9920.866738,1289.712676,3407.847355,477.0986297,166.6758881,20.00110657,9924.075645,1786.333616,2.172669917,0.152086894,3.283013484,1.772827281,14.36589299,2.011225019,14.76699588,1.329029629,2.108195242,0.028593466,13.77189749,2.203503598,122.9882961,2.459765922,38.30388391,1.915194196,9.011207172,0.113395503,1.441766139,0.02403531
South Georgia,POB4,POB_1A,24,43.8,45.1,44.4,76.58466676,3.829233338,23.41533324,2.341533324,0.472476347,0.047247635,2170.917687,68.19357041,7122.822788,1282.108102,10188.18441,1324.463973,3497.062219,489.5887107,169.9904676,20.39885611,9286.226748,1671.520815,1.822061766,0.127544324,4.003302375,2.161783283,17.60350666,2.464490932,12.98468362,1.168621526,2.384540089,0.027573287,5.751736844,0.920277895,130.7410525,2.61482105,74.87357579,3.74367879,12.32866657,0.090157301,1.561973031,0.011050293
South Georgia,POB4,POB_1A,28,49.9,51.2,50.5,87.59589429,4.379794715,12.40410571,1.240410571,0.244004662,0.024400466,2171.860898,69.99185723,3469.760214,624.5568385,8486.165584,1103.201526,895.9237859,125.42933,20.82763897,2.499316676,5236.857966,942.6344339,1.744792146,0.12213545,4.960356243,2.678592371,15.80996096,2.213394534,11.42068754,1.027861879,2.849946484,0.059820102,7.570509804,1.211281569,72.8129235,1.45625847,17.18374497,0.859187249,29.57490275,0.314279561,0.888794411,0.004728319
South Georgia,POB4,POB_1E,170,200.2,201.3,200.7,90.43033688,4.521516844,9.569663124,0.956966312,0.19553168,0.019553168,1174.207943,27.83118166,2400.357628,432.064373,8642.477927,1123.522131,801.6977423,112.2376839,36.65682759,4.398819311,4216.267239,758.928103,2.271954503,0.159036815,5.449026456,2.942474286,21.7488349,3.044836886,13.08869613,1.177982652,1.471227527,0.026968532,7.201458477,1.152233356,74.88881968,1.497776394,61.85187886,3.092593943,25.45986142,0.240470523,1.206578596,0.004531403
South Georgia,POB4,POB_1E,174,205.3,206.4,205.9,92.65904727,4.632952364,7.340952726,0.734095273,0.11158136,0.011158136,671.203386,21.6162379,1952.523172,351.454171,8972.566944,1166.433703,425.2372973,59.53322162,16.04081162,1.924897394,4463.205174,803.3769313,2.357841082,0.165048876,5.732386915,3.095488934,16.99716777,2.379603488,22.19696967,1.99772727,1.345030318,0.019990451,4.507072476,0.721131596,72.70995502,1.4541991,15.96434618,0.798217309,24.59674485,0.057426185,0.498424917,0.001616171
South Georgia,POB4,POB_1E,177,209.4,210.5,209.9,91.19679578,4.559839789,8.803204222,0.880320422,0.184025974,0.018402597,966.3699976,20.32549599,1898.735746,341.7724343,8491.223715,1103.859083,479.5621493,67.1387009,18.24332469,2.189198963,3877.868341,698.0163014,2.288764835,0.160213538,5.73476091,3.096770891,15.82014281,2.214819993,207.3506979,18.66156281,1.34312097,0.020569108,4.923991974,0.787838716,67.97188086,1.359437617,17.51428395,0.875714198,16.06999202,0.145313495,0.615251165,0.00252605
South Georgia,POB4,POB_1E,183,217.6,218.5,218.1,93.17786444,4.658893222,6.822135563,0.682213556,0.106073404,0.01060734,830.0212998,22.185493,2695.909694,485.2637449,9941.343133,1292.374607,529.7623669,74.16673137,32.86168706,3.943402447,4178.753143,752.1755657,1.831540327,0.128207823,4.562006327,2.463483417,11.60136026,1.624190436,57.54928203,5.179435383,1.317793379,0.019651115,7.110169989,1.137627198,70.86899848,1.41737997,22.20522155,1.110261078,115.411572,0.355868611,0.641280303,0.004974302
