"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","Co_fit_OLS","Co_lwr_OLS","Co_upr_OLS","Co_fit_WLS","Co_lwr_WLS","Co_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.127999327795264,0.0063999663897632,-3.90274122642275,-0.195137061321138,-3.35605714190648,-4.52153862616198,-2.19057565765099,-3.36071175852931,-4.7478493491944,-1.97357416786422
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.643117857135596,0.0321558928567798,-3.62408283695147,-0.181204141847574,-3.19026931990205,-4.3657452809917,-2.0147933588124,-3.19975072829836,-4.8583851917444,-1.54111626485231
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.289616352518116,-0.0144808176259058,-3.30231679805059,-0.165115839902529,-3.49046425430976,-4.65320873807944,-2.32771977054007,-3.49120570567954,-4.66104198675116,-2.32136942460791
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.763593247865126,-0.0381796623932563,-4.63761576586541,-0.23188078829327,-3.6430108871413,-4.80851826053373,-2.47750351374887,-3.63931105432312,-4.56796660521774,-2.7106555034285
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.169726621967429,-0.00848633109837147,-2.8241906861885,-0.141209534309425,-3.45187846060097,-4.6149132427266,-2.28884367847534,-3.45374330927096,-4.68561697653606,-2.22186964200586
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.872673456953866,0.0436336728476933,-3.76611229974393,-0.188305614987196,-3.11638822117409,-4.29863092316642,-1.93414551918176,-3.12802062398751,-4.90845231425728,-1.34758893371773
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.0895493855490216,0.00447746927745108,-3.95365364951037,-0.197682682475519,-3.36843202616732,-4.53345947689302,-2.20340457544163,-3.37272635704162,-4.7397296943516,-2.00572301973163
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.244064199715712,-0.0122032099857856,-2.02770212588656,-0.101385106294328,-3.475803566001,-4.63861127486297,-2.31299585713903,-3.4769718526405,-4.67034114991956,-2.28360255536145
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.692560848870176,-0.0346280424435088,-3.64070836931758,-0.182035418465879,-3.62014953378209,-4.78484600655157,-2.45545306101262,-3.61711529262796,-4.58138562818278,-2.65284495707313
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.00346197834834,-0.0501730989174172,-3.80094460400633,-0.190047230200316,-3.72021120537622,-4.8894843866819,-2.55093802407055,-3.7142637414808,-4.52464374256426,-2.90388374039735
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.860487026338631,-0.0430243513169316,-3.83625195838584,-0.191812597919292,-3.67419557102264,-4.84103364565557,-2.50735749638972,-3.66958781883019,-4.55006156530175,-2.78911407235863
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-0.215687576770969,-0.0107843788385485,-3.91553436973874,-0.195776718486937,-3.46667071939213,-4.62954698030865,-2.30379445847561,-3.46810490221356,-4.67615812267598,-2.26005168175114
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.561842958014986,-0.0280921479007493,-4.4093244422307,-0.220466222111535,-3.57807876135298,-4.74164799907266,-2.41450952363331,-3.57626938011805,-4.60663351437989,-2.5459052458562
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.53623509025289,-0.0268117545126445,-3.72074650778727,-0.186037325389363,-3.56983702206263,-4.7332409387059,-2.40643310541935,-3.5682675930686,-4.61165438091197,-2.52488080522524
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.813407659642534,-0.0406703829821267,-3.05827639376034,-0.152913819688017,-3.65904335804384,-4.82520253801327,-2.4928841780744,-3.65487675150414,-4.5586999487572,-2.75105355425107
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.558674200050386,-0.0279337100025193,-3.31764992801864,-0.165882496400932,-3.57705891552821,-4.74060670940424,-2.41351112165218,-3.5752792263622,-4.60725356379683,-2.54330488892756
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.715511494388069,-0.0357755747194035,-3.95620802271713,-0.197810401135856,-3.62753606196403,-4.79247928402274,-2.46259283990531,-3.62428676741796,-4.57702489011366,-2.67154864472225
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.362622728500405,0.0181311364250202,-4.00154653642691,-0.200077326821345,-3.28054500173169,-4.44967955454992,-2.11141044891347,-3.28739809935624,-4.7978289265429,-1.77696727216958
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.634426199641502,-0.0317213099820751,-4.43167198158556,-0.221583599079278,-3.60143924415039,-4.76557592997978,-2.43730255832101,-3.5989497394611,-4.5925314673489,-2.60536801157331
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.226508511587812,0.0113254255793906,-4.50099398364965,-0.225049699182482,-3.32435254947158,-4.49118342821101,-2.15752167073215,-3.32993022222782,-4.76874771649763,-1.89111272795801
"Bird Island","BI10","BI10.4",145,141,142,141.5,-0.669347582577494,-0.0334673791288747,-3.47326040246439,-0.17366302012322,-3.61267848267236,-4.77714020847994,-2.44821675686478,-3.60986175573368,-4.58581939995267,-2.63390411151469
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-0.485095522744835,-0.0242547761372418,-2.08533721897109,-0.104266860948554,-3.55337805770297,-4.71650631201227,-2.39024980339367,-3.55228781947707,-4.62174725715505,-2.48282838179909
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-0.454558881018709,-0.0227279440509355,-2.9674845870308,-0.14837422935154,-3.54355002195053,-4.70654831450273,-2.38055172939832,-3.54274591983249,-4.62781382491064,-2.45767801475433
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-0.174870439064769,-0.00874352195323845,-2.61716360339691,-0.130858180169846,-3.45353396741112,-4.6165480905996,-2.29051984422265,-3.45535061720525,-4.68455614735272,-2.22614508705778
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,0.510090592428316,0.0255045296214158,-3.45333882583555,-0.172666941291778,-3.23308335051219,-4.40528557168702,-2.06088112933736,-3.24131825956831,-4.82957041584403,-1.6530661032926
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,0.851860375065662,0.0425930187532831,-4.08622050845211,-0.204311025422606,-3.1230867872689,-4.3046581199919,-1.9415154545459,-3.13452416620583,-4.90389679124251,-1.36515154116916
"Bird Island","BI10","BI10.5",197,194,195,194.5,0.401272990765992,0.0200636495382996,-3.28841956814064,-0.164420978407032,-3.26810564566908,-4.43798686580023,-2.09822442553794,-3.27532090609175,-4.80612597300942,-1.74451583917407
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,0.277375785570652,0.0138687892785326,-2.82173047710344,-0.141086523855172,-3.30798122115668,-4.47561349587425,-2.14034894643912,-3.31403553322138,-4.77958930848184,-1.84848175796093
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-0.185071144824637,-0.00925355724123187,-3.12915450725898,-0.156457725362949,-3.45681700363388,-4.61979233305452,-2.29384167421323,-3.45853807021785,-4.68245405134356,-2.23462208909213
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-0.344379208259645,-0.0172189604129822,-2.77999991173043,-0.138999995586522,-3.50808935234643,-4.67083421290077,-2.34534449179209,-3.50831766181482,-4.64992924261565,-2.366706081014
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,0.297120370654992,0.0148560185327496,-2.9436879629927,-0.147184398149635,-3.30162654437636,-4.46958903998362,-2.13366404876909,-3.30786586823044,-4.78380623988337,-1.8319254965775
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-0.00634463749831286,-0.00031723187491564,-2.2654298803141,-0.113271494015705,-3.39929494473602,-4.5633682112835,-2.23522167818855,-3.40269072419893,-4.71957916641144,-2.08580228198642
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-0.159137245284106,-0.00795686226420529,-4.4039339405859,-0.220196697029295,-3.44847033296293,-4.61154995967457,-2.2853907062513,-3.45043440678859,-4.68780258554628,-2.21306622803089
"Bird Island","BI10","BI10.7",271,265,266,265.5,0.596852488082793,0.0298426244041396,-1.93166205859796,-0.0965831029298979,-3.20515955260115,-4.37944271298822,-2.03087639221408,-3.21420744270987,-4.84834569167762,-1.58006919374213
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,0.691641444334543,0.0345820722167271,-2.00353706158111,-0.100176853079055,-3.17465229318034,-4.35144117154569,-1.99786341481499,-3.18458837994322,-4.86893422210234,-1.5002425377841
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,0.23037595483789,0.0115187977418945,-1.9648246338257,-0.0982412316912852,-3.32310783596074,-4.48999714570096,-2.15621852622052,-3.32872174764491,-4.7695708456665,-1.88787264962332
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,0.498320632205209,0.0249160316102604,-2.23365913714108,-0.111682956857054,-3.2368714419112,-4.40880708164035,-2.06493580218206,-3.24499606344331,-4.82702886323091,-1.66296326365571
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.291750200513975,0.0145875100256987,-2.54859380510879,-0.12742969025544,-3.30335490156167,-4.47122652363792,-2.13548327948542,-3.30954390555424,-4.78265884188136,-1.83642896922711
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-0.231846625129703,-0.0115923312564852,-3.36280721254284,-0.168140360627142,-3.47187141259276,-4.63470589209576,-2.30903693308976,-3.47315418101684,-4.67284344208426,-2.27346491994941
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,0.252607161326208,0.0126303580663104,-1.9065291031279,-0.0953264551563948,-3.31595285493346,-4.48318602339733,-2.14871968646959,-3.32177507868268,-4.77430616480719,-1.86924399255817
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,0.181484497779923,0.00907422488899615,-2.31751168432779,-0.115875584216389,-3.33884325939938,-4.50502419981532,-2.17266231898345,-3.34399904568274,-4.75917953166413,-1.92881855970136
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-0.295037971399404,-0.0147518985699702,-1.97786590164707,-0.0988932950823537,-3.49220916996483,-4.65494997128804,-2.32946836864163,-3.49289981938531,-4.65993848331784,-2.32586115545277
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,0.026419306388321,0.00132096531941605,-2.98955505044596,-0.149477752522298,-3.38875006508629,-4.55312071338001,-2.22437941679258,-3.3924528510454,-4.72644729032283,-2.05845841176796
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,0.0859702233529868,0.00429851116764934,-2.33595616570106,-0.116797808285053,-3.36958395814275,-4.5345712232764,-2.2045966930091,-3.37384475135598,-4.7389749906921,-2.00871451201986
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-0.909079099347525,-0.0454539549673762,-4.0170665839262,-0.20085332919631,-3.68983463949324,-4.85743738417701,-2.52223189480947,-3.68477156720474,-4.54127765468209,-2.82826547972738
