"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-5.39923620551704,0.000452003,0.903173305789281,0.015066934,2.09826399458457,0.860618071850995,3.33590991731815
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.24401594112675,0.000527901,1.09517117816603,0.02200764,2.10148578036835,0.863701614434585,3.33926994630211
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-5.39059538799431,0.000455926,1.26878301189716,0.014282314,2.09844334528446,0.86079232886842,3.3360943617005
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.3016561340343,0.000498333,1.95337492700147,0.06465722,2.10028938790753,0.862568112262955,3.3380106635521
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.19843728105091,0.000552519,2.28690351891334,0.040880493,2.10243182101357,0.864588261987054,3.34027538004009
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.18696151886321,0.000558896,2.30466219731852,0.096502178,2.10267001444547,0.864810156818411,3.34052987207252
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.27015448961334,0.000514282,2.23277431990246,0.028353619,2.10094324293451,0.863189287700346,3.33869719816867
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.25848222680882,0.00052032,2.26923829310479,0.061309265,2.10118551497621,0.863418415873266,3.33895261407916
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.22907884523547,0.000535846,1.83882523557302,1.766837081,2.10179581800024,0.863993127703435,3.33959850829705
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.30691663449786,0.000495719,2.03276637087805,0.081872982,2.10018019980844,0.862463984115529,3.33789641550134
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.27037307080448,0.000514169,1.78510366492264,0.068926753,2.10093870601546,0.86318499158186,3.33869242044906
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.2265886941129,0.000537182,1.89825515343819,0.048794576,2.10184750412201,0.864041636513374,3.33965337173065
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.26176964573479,0.000518612,1.85125704597165,0.01977015,2.1011172805894,0.863353939992465,3.33888062118634
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.22825171070006,0.000536289,1.77702758358368,0.047824043,2.10181298618571,0.864009243330547,3.33961672904087
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.25132787022736,0.000524055,1.9629187975536,0.066671523,2.10133401236743,0.863558580245996,3.33910944448887
