"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Sr","Sr_sd","Sr_ICP","Sr_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00078855167872104,0.00121440553124714,26.58846642,0.463509298,98.5972525611497,-5.82763498844092,203.02214011074
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00010219452499716,0.00014002027351542,25.05462045,0.186955871,96.4660787853417,-7.96469882846516,200.896856399149
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00028110458139735,0.00054482359629033,46.4043754,0.519109914,97.0216035851631,-7.4076208879314,201.450828058258
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.00607563015240897,0.00144861792285657,121.9608593,0.839622095,115.013899393822,10.6281886060315,219.399610181612
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.00910065661283586,0.00287301850356145,150.558177,2.59385652,124.406759989227,20.0385291056176,228.774990872836
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00365702627736381,0.00244098234533608,145.2111951,2.397227724,107.504011685071,3.10174049504069,211.906282875102
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00864283094916737,0.00189286225187321,165.8736664,2.61051165,122.985188081644,18.6145424851434,227.355833678145
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00666861313434669,0.0022233365336204,110.8952002,2.069414432,116.855141630097,12.4731405205778,221.237142739617
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00313659776892014,0.00211668290739313,153.965778,1.949345735,105.888054769112,1.48191999718824,210.294189541036
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.0146458337441863,0.0046217152022715,97.81476508,1.178390202,141.624816245254,37.2792929112577,245.97033957925
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.0104476707630153,0.00198190814840984,168.0404108,1.955006557,128.589307248958,24.2277034168203,232.950911081096
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00977149048907702,0.00258756889327168,114.9998151,1.529219743,126.489733201077,22.1248917913232,230.854574610831
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,1349.67272727273,0.00960812434758569,0.00251783437314418,209.897137,2.629036009,125.982473045468,21.6168224910826,230.348123599854
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,1324,0.00940245263679472,0.00201882629301144,130.9618352,0.711514938,125.343851951355,20.9771678064048,229.710536096306
"Bird Island","BI10","BI10.3",95,93,94,93.5,1444.54545454545,0.0176094833102687,0.00904827624178977,119.867266,2.07053159,150.827098470552,46.4887557215603,255.165441219544
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,1492.28181818182,0.0191127620564795,0.00413485188176434,112.4064678,0.932757371,155.494855227034,51.1588347796412,259.830875674427
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,1595.6,0.0125995492496775,0.00315600919756304,127.1397723,0.326624311,135.2709990979,30.9185029803923,239.623495215408
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,1769.91818181818,0.0051829002994664,0.00203337076714229,94.40874214,1.478332239,112.241927919277,7.85037188194353,216.633483956611
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,1872.71,0.00326448427288932,0.00132698091942482,91.74775016,0.40610632,106.285148850612,1.87997333810465,210.69032436312
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,1986.59090909091,0.00677010766219123,0.00242566219981972,100.7977844,1.025597866,117.170287287073,12.7889072853486,221.551667288797
"Bird Island","BI10","BI10.4",145,141,142,141.5,2162.97272727273,0.00900276383834864,0.0020539075467269,91.25190224,0.699750267,124.102797959114,19.7340576791752,228.471538239053
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,2335.40833333333,0.00507272390563791,0.00229947522919198,121.0153008,1.039947828,111.899824628059,7.50752550951434,216.292123746603
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,2517.27272727273,0.00864281222894853,0.00168211239396993,85.39705279,1.57965392,122.985129954415,18.6144842574949,227.355775651335
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,2576.01176470588,0.00732695469711492,0.00255667477594366,121.2110164,1.417347214,118.899325574978,14.5212812881109,223.277369861844
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,2667,0.00797525646028174,0.00289033337600185,95.32051892,1.284724348,120.912335432855,16.538021297511,225.2866495682
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,2847.45454545455,0.0110959539773088,0.0021458998187589,119.1548845,2.957478603,130.602259511643,26.2435910127039,234.960928010583
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,2903.10909090909,0.00574148523317115,0.00207542610765639,121.5336821,2.37450858,113.976362471047,9.58850046947612,218.364224472618
"Bird Island","BI10","BI10.5",197,194,195,194.5,2954.41818181818,0.00722681156795509,0.00264048338023261,118.8967341,1.10170535,118.588376079464,14.2097408790338,222.967011279893
