"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","R2_s","Robustness_score","Robust_Rank","R2_q05","R2_q95","Bootstrap_Unstable","R2_q05_s","R2_q95_s","Robustness_low","Robustness_high","Roughness_norm","Unstable_flag","Global_Rank","Production_Model","Is_Production_Model","Robustness_Class","Confidence_Flag","Stability_class","Confidence_class"
"Ca","RF",0.682203721520104,0.401150756423534,0.405320083182145,4911.79054471344,NA,NA,NA,13400.3536152465,4.33684439307773,213.016712838127,NA,1,10920.0910975266,18996.7410319403,2.22324038415684,0.39380271117278,2.79869444838166,2673.02067439021,0.856025854174437,0,1,0.642410341669775,1,0.55950837749974,0.718782683886617,FALSE,1,1,0.642410341669775,0.642410341669775,1,TRUE,1,NA,NA,"Unstable","Low confidence (noise-dominated)","Unstable","Moderate confidence"
"Ca","PLS_LOO",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,4,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0.0539027232724893,0.638537096368868,2,0.498378819979044,0.669798592015465,FALSE,0,0.10317703568358,0.622366279387121,0.653319390092195,0,FALSE,2,NA,NA,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
"Ca","PLS_kfold",0.605172814508826,0.447133012734933,0.450351241681476,5921.70892622602,NA,NA,NA,13400.3536152465,4.83755081305613,286.465678307464,NA,5,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0.0539027232724893,0.638537096368868,3,0.498378819979044,0.669798592015465,FALSE,0,0.10317703568358,0.622366279387121,0.653319390092195,0,FALSE,3,NA,NA,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Ca","Bayes",0.636884102731344,0.428801053115093,0.437812064252784,5546.07861545861,NA,318.686507485063,340.232429368128,13400.3536152465,4.63923416424389,257.29557390418,NA,2,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,0.740687069612545,0.684065829994105,0.443382278854684,0.634509260499655,4,0.517873635021689,0.683384680507303,FALSE,0.318909801302662,0.351917303988761,0.597167517234048,0.607069768039878,0.08958449046436,FALSE,4,NA,NA,"Acceptable 4","Moderate confidence","Acceptable","Moderate confidence"
"Ca","OLS_weighted",0.60078407376705,0.449611220751241,NA,5620.88386479327,NA,359.871349044666,370.644309986199,13400.3536152465,4.88868566908853,274.787343974258,NA,8,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,1,0.628019344103281,0,0.588405803230984,5,0.506693877391423,0.664163105864895,FALSE,0.136023517094232,0,0.629212858359254,0.588405803230984,0.308718806281367,FALSE,5,NA,NA,"Unstable","Low confidence","Acceptable","Low confidence"
"Ca","OLS",0.605349695781694,0.447032844459699,0.450923989941031,5504.63271481712,NA,335.005013489929,345.777974431461,13400.3536152465,4.83646708828632,266.229749583172,NA,3,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,0.787121534135248,0.629466869385905,0.0560751875086936,0.520511230722479,6,0.506693877391423,0.664163105864895,FALSE,0.136023517094232,0,0.54449572959814,0.503688674469871,0.305729019183265,FALSE,6,NA,NA,"Unstable","Low confidence","Acceptable","Low confidence"
"Ca","WLS_weighted",0.604732452698864,0.447382293228408,NA,5447.03371534874,NA,321.186258039926,331.959218981458,13400.3536152465,4.83890510810685,263.576792692313,NA,6,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,0.00566308940610476,0.630373071056917,0.0484941785033181,0.205925410630512,7,0.506693877391423,0.664163105864895,FALSE,0.136023517094232,0,0.232184212207787,0.191377157079517,0.207097642586147,FALSE,7,NA,NA,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Ca","WLS",0.604685117514639,0.447409080513934,NA,5446.04597912254,NA,321.219522661163,331.992483602695,13400.3536152465,4.83911154535997,263.540239741332,NA,7,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,0,0.630387454362375,0.0479128055112805,0.203490077962097,8,0.506693877391423,0.664163105864895,FALSE,0.136023517094232,0,0.229923291436982,0.189116236308712,0.203658040759781,FALSE,8,NA,NA,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Sr","Bayes",0.635271572146413,0.373704733132646,0.385058169520708,56.5643915636821,NA,244.972001338324,266.517923221389,163.852330174044,7.61572706279396,4.30778967622008,NA,2,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,20.8749329141512,0.799649049049403,0.846473044489889,0.536101809639767,0.734632075858658,1,0.506111970895487,0.684515622721029,FALSE,0.217240244017396,0.217312973140569,0.638973606171947,0.638995424908899,0.268858259380167,FALSE,1,"Bayes",TRUE,"Preferred 1","Moderate confidence","Acceptable","Moderate confidence"
"Sr","PLS_LOO",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,3,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.771401682998948,1,0.356246613065888,0.715434657119346,2,0.495841677209496,0.683634607729772,FALSE,0.0816468537533813,0.201970156180733,0.633054729325594,0.669151720053799,0.161908509572326,FALSE,2,"Bayes",FALSE,"Acceptable 2","Moderate confidence","Acceptable","Moderate confidence"
"Sr","PLS_kfold",0.619560933054721,0.381668523678026,0.387403145926133,58.9814163562467,NA,NA,NA,163.852330174044,7.77798149092654,4.58756364727519,NA,4,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,0.771401682998948,1,0.356246613065888,0.715434657119346,3,0.495841677209496,0.683634607729772,FALSE,0.0816468537533813,0.201970156180733,0.633054729325594,0.669151720053799,0.161908509572326,FALSE,3,"Bayes",FALSE,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Sr","RF",0.675793821060387,0.35233390312532,0.346757684558846,45.3389098498978,NA,NA,NA,163.852330174044,7.16094190038452,3.24669299261889,NA,1,141.647129261848,211.560346352752,3.12418471751516,0.367631776233657,2.7245550272229,28.5464250613966,1,0,1,0.7,4,0.56540079436884,0.729459064719332,FALSE,1,1,0.7,0.7,1,TRUE,4,"Bayes",FALSE,"Unstable","Low confidence (noise-dominated)","Unstable","Moderate confidence"
"Sr","OLS",0.605940022011523,0.388440903375382,0.391554198151312,59.7735590156883,NA,259.701823511304,270.474784452837,163.852330174044,7.91599508300363,4.73167199261816,NA,5,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,0.697028491676238,0.458984429067312,0.200314596621996,0.476601104377288,5,0.489657473355962,0.672037080636319,FALSE,0,0,0.416506725390689,0.416506725390689,0.230461341770324,FALSE,5,"Bayes",FALSE,"Unstable","Low confidence","Marginal","Low confidence"
"Sr","WLS",0.605899324973479,0.388460961218056,NA,59.3656290640811,NA,259.48152064019,270.254481581722,163.852330174044,7.9164456866427,4.69964778139175,NA,6,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,0.083243662015412,0.474692576949646,0.199848697447905,0.23565984712543,6,0.489657473355962,0.672037080636319,FALSE,0,0,0.175705237891059,0.175705237891059,0.243285940380232,FALSE,6,"Bayes",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Sr","WLS_weighted",0.605197017350042,0.38880693583257,NA,61.616501941787,NA,262.010925381086,272.783886322619,163.852330174044,7.9241960725617,4.88261242692099,NA,7,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,0.0941323982448324,0.392052812567841,0.191808688704058,0.212811409679503,7,0.489657473355962,0.672037080636319,FALSE,0,0,0.155268803068285,0.155268803068285,0.174700469506317,FALSE,7,"Bayes",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Sr","OLS_weighted",0.588442221601662,0.396971381054182,NA,68.563181097856,NA,330.646390635536,341.419351577069,163.852330174044,8.21821901552606,5.63467238663357,NA,8,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,18.0539422484993,0,0.34522506307729,0,0.103567518923187,8,0.489657473355962,0.672037080636319,FALSE,0,0,0.103567518923187,0.103567518923187,0,FALSE,8,"Bayes",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Unstable","Low confidence"
"Ti","PLS_LOO",0.756227776634957,0.607666319730726,0.620336808479536,1919.97750377683,NA,NA,NA,3392.06646739343,8.36283529481968,160.564556338447,NA,2,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,0.985781032588366,0.5294983040467,0.958766987361802,0.840792000457897,1,0.666118384525011,0.800144234795754,FALSE,0.804542051201611,1,0.79452451960984,0.853161904249357,0.457077270589932,FALSE,1,"PLS_LOO",TRUE,"Preferred 1","High confidence (signal-dominated)","Stable","High confidence"
"Ti","PLS_kfold",0.756227776634957,0.607666319730726,0.620336808479536,1919.97750377683,NA,NA,NA,3392.06646739343,8.36283529481968,160.564556338447,NA,3,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,0.985781032588366,0.5294983040467,0.958766987361802,0.840792000457897,2,0.666118384525011,0.800144234795754,FALSE,0.804542051201611,1,0.79452451960984,0.853161904249357,0.457077270589932,FALSE,2,"PLS_LOO",FALSE,"Acceptable 2","High confidence (signal-dominated)","Stable","High confidence"
"Ti","OLS",0.729930592021033,0.639603384224678,0.644447515724916,2035.54425020404,NA,527.008898110934,537.781859052467,3392.06646739343,8.80236008250463,179.175934541678,NA,5,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,691.734768520636,0.919262770647259,0.963613516613628,0.289493689940079,0.743637270225016,3,0.647980042492791,0.783176150339138,FALSE,0,0.255978184237458,0.656789163242992,0.733582618514229,0.221554724916626,FALSE,3,"PLS_LOO",FALSE,"Acceptable 3","Moderate confidence","Acceptable","Moderate confidence"
"Ti","Bayes",0.757847910218222,0.605643649083077,0.617880211717454,2132.72586760655,NA,503.766615819022,525.312537702087,3392.06646739343,8.33502896291361,177.763318764556,NA,1,2140.41045976442,6361.9847129266,1.00360317857752,0.68510833898267,4.89905519927455,889.691706260365,1,0.0283079433120716,1,0.708492382993621,4,0.670524969765554,0.799989588472668,FALSE,1,0.993219020190632,0.708492382993621,0.706458089050811,1,TRUE,4,"PLS_LOO",FALSE,"Unstable","Low confidence (noise-dominated)","Unstable","Moderate confidence"
"Ti","OLS_weighted",0.718555763474536,0.652933928562262,NA,2173.73266969499,NA,558.906329039579,569.679289981112,3392.06646739343,9.13705301194011,198.615106367892,NA,8,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,703.346411361033,0.903344090207377,1,0,0.661337636082951,5,0.647980042492791,0.783176150339138,FALSE,0,0.255978184237458,0.661337636082951,0.738131091354188,0.267216314797081,FALSE,5,"PLS_LOO",FALSE,"Unstable","Moderate confidence","Acceptable","Moderate confidence"
"Ti","RF",0.737139589077221,0.631009137231014,0.624680929647959,1647.90252563752,NA,NA,NA,3392.06646739343,8.6762175559046,142.975608233558,NA,4,2144.13444529326,6762.98370805478,1.30112941265368,0.589126672290205,4.85037700172676,821.431836177017,0.813202921947396,0,0.472965392395412,0.467170786497582,6,0.651065071739218,0.777338338386351,FALSE,0.136839174910734,0,0.366332921252179,0.325281168778958,0.731575089254762,TRUE,6,"PLS_LOO",FALSE,"Unstable","Low confidence (noise-dominated)","Unstable","Low confidence"
"Ti","WLS_weighted",0.72919658362992,0.640471967780676,NA,1893.08238585334,NA,487.996188481353,498.769149422886,3392.06646739343,8.80510687431618,166.687927293242,NA,6,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,642.188935672347,0.018809767306703,0.931299876018888,0.270812898689313,0.368157739335141,7,0.647980042492791,0.783176150339138,FALSE,0,0.255978184237458,0.286913869728348,0.363707324999585,0.0267208387128946,FALSE,7,"PLS_LOO",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Marginal","Low confidence"
"Ti","WLS",0.728935134347202,0.640781067535794,NA,1882.89538666468,NA,487.487982869888,498.26094381142,3392.06646739343,8.80679455599539,165.822728407873,NA,7,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,635.393884594575,0,0.92548965174034,0.264158915530203,0.356894570181163,8,0.647980042492791,0.783176150339138,FALSE,0,0.255978184237458,0.277646895522102,0.354440350793339,0,FALSE,8,"PLS_LOO",FALSE,"Unstable","Low confidence (uncertainty-dominated)","Marginal","Low confidence"
