"Element","Model","R2","RMSE","RMSEP","RMSE_ppm","RMSEP_ppm","AIC","BIC","mean_obs_ppm","RMSE_log_pc","RMSE_ppm_pc","RMSEP_ppm_pc","Rank"
"Ca","RF",0.682203721520104,0.401150756423534,0.405320083182145,4911.79054471344,NA,NA,NA,13400.3536152465,4.33684439307773,213.016712838127,NA,1
"Sr","RF",0.675793821060387,0.35233390312532,0.346757684558846,45.3389098498978,NA,NA,NA,163.852330174044,7.16094190038452,3.24669299261889,NA,1
"Ti","Bayes",0.757847910218222,0.605643649083077,0.617880211717454,2132.72586760655,NA,503.766615819022,525.312537702087,3392.06646739343,8.33502896291361,177.763318764556,NA,1
"Zr","RF",0.744624310661954,0.664116978438206,0.675449546082181,47.763991633004,NA,NA,NA,65.4747233406631,20.1998873831244,9.64827251955174,NA,1
