"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","Cu","Cu_sd","Cu_ICP","Cu_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,0.00229252596836742,0.00117329511992161,4.369649931,0.022750235,11.4403765408612,-26.8391486920504,49.7199017737728
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,0.00219736046546878,0.00107569167352401,3.255429522,0.010150183,10.3013554356376,-27.9850515207372,48.5877623920124
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,0.00169041984828573,0.00126260876109787,5.828405269,0.020076539,4.23386202175229,-34.0963876364175,42.5641116799221
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,0.0021387287078224,0.00113880418059022,18.80830619,0.176446353,9.59960104605891,-28.6912582013544,47.8904602934722
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,0.0035626072518333,0.00131684425317882,25.3957986,0.092788179,26.6417819152221,-11.5868385074908,64.8704023379349
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,0.00350416954692752,0.00121968241481239,25.1006547,0.200410389,25.9423501127189,-12.2869383867944,64.1716386122323
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,0.00332763059532878,0.00068777027520653,12.41602198,0.076135345,23.8293828542031,-14.4029054458636,62.0616711542698
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,0.00276245389657951,0.00080323321523016,30.70187991,0.12301453,17.0648708362119,-21.1869354219363,55.3166770943601
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,0.00286137141101953,0.00120958476195412,12.23274868,0.369735042,18.2487991841075,-19.9985008134299,56.496099181645
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,0.00330982116677418,0.00153719887543428,44.61646774,0.152122701,23.6162245733367,-14.6164482401164,61.8488973867899
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,1100.56666666667,0.00361826462207131,0.00087080867188656,36.59073739,0.331067449,27.3079363244502,-10.9201980803744,65.5360707292747
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,1174.81666666667,0.00462290006137328,0.00106223601548451,34.06414422,0.025144385,39.3322616688907,1.0876945608648,77.5768287769166
