"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume","Volume_err","Wet_density","Dry_density","Dry_density_err","DMAR","DMAR_err","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Kerguelen","KER3","CAT2.3A",6,7.9,9.1,8.5,8.5,0.6,-55,274,46,65,165,0.06315,0.16546,22243.6153846154,53274.6923076923,1.31384615384615,19.4615384615385,94.4615384615385,47.3076923076923,31.8461538461538,1533.30769230769,43.6153846153846,220.538461538462,130.769230769231,1.46153846153846,59.2307692307692,81.0769230769231,986.615384615385,41542.6923076923,6149.15384615385,6.75740778453846,1.91053263485731,0.148017348461538,-1.91053263474278,47691.8461538462,366.984908513856,984.738661152913,0.0713604070357484,13.6236031982205,20.201548557043,22.4995726455142,19.3728596832706,258.667542292993,34.1822040969139,40.7545813061047,45.9059797233321,4.01280003271582,75.7739553388386,61.9024252869809,75.274540252707,494.365145854658,125.290892295919,0.102693975147703,0.0152105240107151,0.00225338228546777,0.0152105245019778,585.295629882006,86.59,13.41,0.67,100,5,57.8,5,3.9588,0.3998,0.9471,0.127,0.0192,0.008,0.0222,277.1,2570.623323,60.34061437,2433.469353,438.0244835,8525.391032,1108.300834,1493.72135,209.120989,73.97054275,8.87646513,7043.906744,1267.903214,2.360731307,0.165251191,7.989049521,4.314086741,8.840919501,1.23772873,33.9867472,3.058807248,1.836820618,0.007837643,6.303556106,1.008568977,77.55523489,1.551104698,51.12144032,2.556072016,1.449083949,0.031749255,1.368113398,0.05102612
"Kerguelen","KER3","CAT2.3A",9,12.3,13.5,12.9,12.9,0.6,-8,384,128,144,196,0.05291,0.07412,22313.8461538462,53827.8461538462,1.33230769230769,13.2307692307692,83.7692307692308,35.7692307692308,26,1979.76923076923,48.1538461538462,224.769230769231,115.076923076923,0.181818181818182,43.6923076923077,72.6923076923077,935.076923076923,41663.6923076923,6181.92307692308,6.74280432253846,1.90823078566056,0.148379162307692,-1.9082307854241,47845.6153846154,524.960132796426,911.015902363386,0.067964923079709,7.44036117127216,17.239266448788,18.8774726687386,15.1712447303004,152.110241736136,45.7763515253712,33.6926150319667,33.3253195495095,0.603022689155527,43.9988344833978,75.4557095425131,94.5977990745217,756.835008947941,178.851177210953,0.154977266531673,0.023076539239541,0.00343725876994278,0.0230765393805198,875.035098197165,87.65,12.35,0.62,90.09,4.5,52.08,4.51,4.1542,0.5484,0.9799,0.121,0.022,0.0064,0.0101,158.3,1925.941564,47.47919756,1807.885973,325.4194751,7727.272205,1004.545387,1028.300333,143.9620466,53.9884387,6.478612644,5806.724977,1045.210496,2.063027935,0.144411955,6.820390916,3.683011095,7.875132613,1.102518566,22.83873715,2.055486344,1.981092172,0.026250211,3.688021304,0.590083409,68.05571381,1.361114276,28.2096257,1.410481285,0.861685089,0.023559447,0.723414991,0.021168133
"Kerguelen","KER3","CAT2.3A",13,18.1,19.3,18.7,18.7,0.625,32,522,246,258,245,0.05085,0.04989,22491.4615384615,54693.8461538462,1.41,13.1538461538462,65.1538461538462,42.1538461538462,27.1538461538462,2056.69230769231,44.0769230769231,203.230769230769,82.9230769230769,0.181818181818182,47.6153846153846,48.6153846153846,973.384615384615,42155.0769230769,6218.76923076923,6.78123892061538,1.91391082430305,0.147539399,-1.91391082391444,48373.8461538462,343.885546702343,1021.84749727751,0.0847545475672741,11.802867969595,14.0821764052185,18.4429126127362,12.2871623646129,303.655337681662,38.2850308834091,40.6983903165589,33.6735839555319,0.603022689155527,85.1337559975854,78.9013502858036,73.0873204479164,573.913242795817,133.347387079859,0.156949461060956,0.0232689531608776,0.00345193697805811,0.023268953351974,611.845139196982,86.2,13.8,0.69,85.23,4.26,49.27,4.26,3.7312,0.6306,1.0423,0.1438,0.0315,0.0073,0.0088,120,2075.478682,57.71761628,2390.397694,430.2715849,8370.564722,1088.173414,1383.034771,193.6248679,65.55518428,7.866622114,5950.241077,1071.043394,2.117141394,0.148199898,6.393762065,3.452631515,6.48426444,0.907797022,21.31018792,1.917916913,1.837777624,0.007019007,6.207609895,0.993217583,78.5344764,1.570689528,45.24542121,2.262271061,1.293057315,0.020115449,1.321962492,0.040846333
"Kerguelen","KER3","CAT2.3A",15,21,22.1,21.6,21.6,0.55,80,587,298,312,253,0.05623,0.04707,22178.8333333333,54848.75,1.3525,13,70.0833333333333,35.8333333333333,25.1666666666667,2116.75,36.25,198.166666666667,75.1666666666667,0.833333333333333,32.25,84.75,946.75,41939.5833333333,6185.75,6.783090733,1.9141800752246,0.147500188333333,-1.91418007568504,48125.3333333333,522.286029843511,1332.41613244512,0.0699512817479552,11.1191889828514,23.294393915249,23.563582585049,18.0596654219151,425.297997130996,25.6838293661419,30.1928147181753,32.9264561584073,2.88675134594813,29.9488199797892,80.5651909946225,66.6812294700417,544.241834336928,152.021604325892,0.158834599617145,0.0235191619956596,0.00348399282668989,0.0235191617097279,613.505772860642,86.89,13.11,0.66,88.57,4.43,51.2,4.43,4.1793,0.8108,1.0048,0.1317,0.0321,0.0074,0.008,108.1,2443.572039,49.80339872,2551.414712,459.2546482,8528.540345,1108.710245,1475.406854,206.5569596,59.93308415,7.191970098,6187.963748,1113.833475,2.279411544,0.159558808,7.850724687,4.239391331,6.918225269,0.968551538,19.50535782,1.755482204,2.009562056,0.035058094,5.547019557,0.887523129,79.19188077,1.583837615,39.22303086,1.961151543,1.091353254,0.022458753,1.113522217,0.044519068
"Kerguelen","KER3","CAT2.3A",20,28.2,29.4,28.8,28.8,0.6,175,706,440,440,266,0.05601,0.03495,22745.5384615385,55251.1538461538,1.30538461538462,9.38461538461539,94.0769230769231,44.5384615384615,24.4615384615385,2376.46153846154,56.8461538461538,199.153846153846,122.076923076923,0.181818181818182,20.0769230769231,84.1538461538462,991.153846153846,41845.0769230769,6153.76923076923,6.80256002869231,1.91709977337778,0.147061792538462,-1.91709977358729,47998.8461538462,251.413542258108,539.880672950645,0.0818143614751698,7.56679656502078,20.8385121768227,25.0752713000125,14.5064088400919,235.018657197188,29.4642329891858,32.3853005591687,43.52482345065,0.603022689155527,34.6012079231866,71.5493374693833,98.433434490731,246.38738520822,129.390979751394,0.14201912894274,0.0207278897964362,0.00302661957659096,0.0207278887969691,302.280456462164,85.39,14.61,0.73,90.45,4.52,52.28,4.52,4.3544,1.0581,1.1661,0.1704,0.0499,0.0095,0.0087,91.7,3359.324714,61.02238631,1463.774697,263.4794455,7489.032735,973.5742556,937.5899962,131.2625995,37.80142795,4.536171354,5072.990401,913.1382722,1.778968575,0.1245278,8.567301171,4.626342632,6.433648096,0.900710733,14.3729798,1.293568182,2.145297257,0.019339871,2.92778834,0.468446134,72.04904865,1.440980973,42.85323212,2.142661606,1.266430396,0.01680148,1.227647524,0.029567494
"Kerguelen","KER3","CAT2.3A",21,29.6,30.7,30.2,30.2,0.55,194,731,466,465,268,0.05376,0.03199,22410.9166666667,54173.4166666667,1.30833333333333,8.08333333333333,74.8333333333333,47.6666666666667,25.25,2253.91666666667,62.5,206.666666666667,103,0.833333333333333,45.0833333333333,61,978.333333333333,41017.1666666667,6018.5,6.81863178658333,1.91942226924722,0.146726371916667,-1.91942226888066,47035.6666666667,224.275990014468,601.670622416275,0.0656205806592765,9.58652779433279,15.654411712377,21.3257562301523,20.0505044144213,250.280009855628,30.7645013847867,31.7012570250723,37.5669100043207,2.88675134594813,55.81211718115,55.1955202398297,89.7322616893099,470.573698861938,161.680099410702,0.154968052150828,0.0227155727586791,0.00333175427167377,0.0227155736039637,574.674664220522,84.39,15.61,0.78,84.71,4.24,48.97,4.24,2.4955,0.6089,1.8588,0.2902,0.0853,0.0156,0.0139,88.9,3337.527461,78.29548461,1742.201387,313.5962497,7060.636584,917.8827559,1221.194979,170.9672971,47.42694669,5.691233603,5217.251998,939.1053596,1.649765973,0.115483618,8.139809229,4.395496984,5.73865376,0.803411526,13.07843571,1.177059214,1.85274284,0.010493724,4.597352978,0.735576476,63.78046606,1.275609321,54.84725556,2.742362778,1.595597699,0.028713222,1.546097659,0.042317615
"Kerguelen","KER3","CAT2.3A",22,31,32.1,31.6,31.6,0.575,230,737,492,491,254,0.05569,0.02981,21431.1666666667,52867.9166666667,1.34666666666667,26.4166666666667,92.6666666666667,115.666666666667,43.5,3442.5,40.3333333333333,189.583333333333,105,0.181818181818182,70,162.333333333333,1033.41666666667,38993.3333333333,5853,6.66749272458333,1.89690099747012,0.150084062666667,-1.89690099787121,44846.3333333333,339.427548390022,1025.09285240929,0.0736494563743849,11.139269874338,21.6431107381597,25.9906743182079,17.8044938147649,349.852826199818,34.5130629639201,36.7756301060494,42.4670995648931,0.603022689155527,68.3307464403171,87.499956709946,94.8016669716628,546.22944451998,202.439216466663,0.182809339107831,0.0273200289240574,0.00408597906088967,0.027320028352481,699.950561024697,81.06,18.94,0.95,75.61,3.78,43.71,3.78,4.0765,1.0701,1.0782,0.2042,0.0638,0.0114,0.0096,84.8,3870.540968,94.63863001,4461.087959,802.9958326,7896.234296,1026.510458,2205.724776,308.8014686,119.7043062,14.36451674,6488.988438,1168.017919,1.71561783,0.120093248,8.098447371,4.37316158,6.068782697,0.849629578,25.41388525,2.287249673,1.788830104,0.013674539,17.22708873,2.756334197,67.625654,1.35251308,113.2387274,5.66193637,3.268989696,0.036575957,3.137293564,0.081134649
"Kerguelen","KER3","CAT2.3A",27,38.2,39.3,38.7,38.7,0.55,322,819,643,621,249,0.0544,0.02258,22003.5833333333,55134,1.405,110.916666666667,209.083333333333,300.25,98.5833333333333,5658.58333333333,39.75,198.333333333333,93.6666666666667,7.41666666666667,109.583333333333,219.416666666667,1118.66666666667,38935.6666666667,5856.16666666667,6.64862693025,1.89396477749372,0.150540635166667,-1.89396477741296,44791.8333333333,693.655856293088,1317.89025615668,0.098025970584794,54.3129958219165,53.2668382824254,97.7855957044427,34.471222077483,1353.1126714044,31.8922190567486,32.9002164495044,40.0688800881077,22.4518002247778,79.2767974003782,127.320967589313,120.459977007328,1591.53090012749,156.154837687897,0.208057212372502,0.0311264875347985,0.00466289060701396,0.0311264873288219,1698.43290516091,80.98,19.02,0.95,79.82,3.99,46.14,3.99,4.1793,1.3123,1.0915,0.2077,0.0756,0.0113,0.0088,77.9,2699.125756,45.85131928,3566.70755,642.007359,7653.796312,994.9935206,2003.194081,280.4471713,86.51921621,10.38230595,5349.432635,962.8978743,1.391814484,0.097427014,7.449716815,4.02284708,7.047681054,0.986675348,20.72720657,1.865448591,1.552621796,0.013289465,12.64697374,2.023515798,68.96032566,1.379206513,116.3395336,5.81697668,2.258197337,0.05099856,3.558463768,0.136219391
"Kerguelen","KER3","CAT2.3A",28,39.5,40.7,40.1,40.1,0.6,338,844,671,646,253,0.05037,0.02046,21501.8461538462,54318.6923076923,1.36461538461538,116.538461538462,208,338.769230769231,103.307692307692,6021.15384615385,53.6923076923077,197.076923076923,84.5384615384615,10.4615384615385,109.384615384615,267.076923076923,1132.76923076923,37608.0769230769,5983.76923076923,6.27596497415385,1.83556214889856,0.159710844076923,-1.83556214915025,43591.8461538462,1158.91255394543,1103.56161167795,0.0664097614079166,57.4711744915301,60.3669335536158,131.599236222552,46.6679487003386,2244.88781628221,42.9736054948938,25.233778744841,42.9662956758267,24.6191503529786,105.937511818319,160.609496158883,118.035414068656,3335.58786576765,286.765047221052,0.314375564565632,0.0503216891461637,0.00806957703242545,0.0503216890497905,3597.05386036392,74.94,25.06,1.25,61.4,3.07,35.49,3.07,4.9832,1.6245,0.9954,0.2495,0.0938,0.0126,0.0098,78.2,2141.460893,23.50064649,8937.293284,1608.712791,9775.180899,1270.773517,3299.904326,461.9866056,206.5622145,24.78746574,8197.149421,1475.486896,1.707642336,0.119534964,6.49364719,3.506569483,6.508755339,0.911225747,39.26943077,3.534248769,1.304375651,0.004776414,30.0068369,4.801093904,79.88473282,1.597694656,158.7616528,7.93808264,3.814471206,0.062730445,4.341460403,0.091452063
"Kerguelen","KER3","CAT2.3B",37,45,46.3,45.6,45.6,0.65,637,877,749,756,120,0.04894,0.00846,22373.2142857143,54849.2142857143,1.31642857142857,36.6428571428571,127.357142857143,210.571428571429,55.0714285714286,3844.21428571429,97.6428571428571,222.214285714286,113.5,0.181818181818182,45.0714285714286,195.714285714286,1084.28571428571,40495.9285714286,6241.57142857143,6.49015260642857,1.87009014604651,0.154140085428571,-1.8700901450863,46737.5,443.58611661902,1125.68120767768,0.0659378661908482,12.1756828452146,22.0056186631336,36.9088571519593,16.1314994568166,466.450290627387,48.5015576956153,24.1889312621371,42.5689485965461,0.603022689155527,47.0653625466579,104.527087818958,81.1839587901155,890.662801106415,170.367798639258,0.133037599279219,0.0205625127319305,0.0031790504190154,0.0205625121800504,1012.67139100196,81.1,18.9,0.95,75.74,3.79,43.78,3.79,5.1663,2.144,0.9498,0.1795,0.0835,0.0088,0.0056,63.8,3170.162526,42.2925377,4770.599596,858.7079273,10152.65951,1319.845736,3690.444085,516.6621719,115.6050883,13.8726106,6337.843662,1140.811859,2.217760046,0.155243203,10.51108713,5.67598705,9.587253172,1.342215444,27.51857011,2.47667131,1.861307997,0.025104106,14.07224116,2.251558586,95.06307262,1.901261452,117.9588143,5.897940715,2.404639381,0.058721534,3.153152484,0.100445756
