"Location","Site","label","ID","section_depth","field_depth","depth","SH20_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","coh_inc","Total_scatter"
"Bird Island","BI10","BI10.01","ACE_ITRAX_2",0.1,0.1,0.1,-63.4,7.46,1,TRUE,19704,50127,1.34,0,162.484555266096,0,148.944175660588,38021.3859322664,0,0,0,5734.35076293263,246319.815593598,36382.9999999999,6.770189802754,0.147706346370558,41757
"Bird Island","BI10","BI10.01","ACE_ITRAX_3",0.2,0.2,0.2,-61.7,7.48,1,TRUE,19718,50612,1.39,0,452.326832039385,47.9740579435712,219.309979170611,43485.0568074227,0,171.33592122704,0,4386.19958341222,248046.43987881,36192.9999999999,6.85343684908161,0.145912192965491,41474
"Bird Island","BI10","BI10.01","ACE_ITRAX_4",0.3,0.3,0.3,-60.1,7.5,1,TRUE,19924,50481,1.2,0,186.213592233009,0,79.8058252427183,38991.7961165048,239.417475728155,0,0,5652.91262135921,241445.873786407,36304.9999999999,6.6504854368932,0.15036496350365,41764
"Bird Island","BI10","BI10.01","ACE_ITRAX_5",0.4,0.4,0.4,-58.6,7.52,1,TRUE,20433,52629,1.37,176.702735882147,386.128200631357,314.138197123816,58.9009119607155,44856.3167309716,0,0,687.177306208348,4064.16292528937,244222.814626447,37317,6.54454577341284,0.152798992416325,43019
"Bird Island","BI10","BI10.01","ACE_ITRAX_6",0.5,0.5,0.5,-57,7.52,1,TRUE,20192,50683,1.31,54.1805631244323,352.17366030881,237.039963669391,135.451407811081,35061.5969118983,0,0,209.949682107175,3955.18110808356,252501.741871026,37283,6.77257039055404,0.147654426950621,42788
"Bird Island","BI10","BI10.01","ACE_ITRAX_7",0.6,0.6,0.6,-55.5,7.51,1,TRUE,20422,51345,1.32,159.347082132565,297.909762247839,0,173.203350144092,30331.3706772334,0,34.6406700288184,0,6145.25486311239,266490.6745317,38465,6.92813400576369,0.144339009489146,44017
"Bird Island","BI10","BI10.01","ACE_ITRAX_8",0.7,0.7,0.7,-53.9,7.48,1,TRUE,21569,53000,1.27,0,149.452785326087,0,115.486243206522,28239.7831182066,353.252038043479,0,0,5482.19989809784,271725.543648098,39999.0000000001,6.79330842391304,0.147203680092002,45887
"Bird Island","BI10","BI10.01","ACE_ITRAX_9",0.8,0.8,0.8,-52.4,7.48,1,TRUE,22053,54850,1.38,92.5475638051046,320.356951633055,92.5475638051046,242.047474567197,41689.1179725148,0,626.475816526862,0,6079.66303765841,283964.40192754,39888.0000000001,7.11904336962342,0.14046831127156,45491
"Bird Island","BI10","BI10.01","ACE_ITRAX_10",0.9,0.9,0.9,-50.8,7.51,1,TRUE,20675,52835,1.33,93.6322714681438,407.969182825484,133.760387811634,0,34590.4362880886,0,0,876.130540166203,6213.1700138504,258358.189058171,38629.9999999999,6.68801939058172,0.149521097592545,44406
"Bird Island","BI10","BI10.01","ACE_ITRAX_11",1,1,1,-49.3,7.53,1,TRUE,20757,52197,1.39,0,227.44347826087,284.304347826087,0,32915.3358695653,0,696.545652173914,0,6716.69021739132,278859.919565218,39234.0000000001,7.10760869565217,0.140694295763878,44754
"Bird Island","BI10","BI10.01","ACE_ITRAX_12",1.1,1.1,1.1,-47.7,7.5,1,TRUE,22141,55665,1.32,69.6965540888052,209.089662266415,34.8482770444026,62.7268986799246,41169.7545002572,0,501.815189439397,341.513115035145,5241.18086747815,283344.370992628,40654,6.96965540888051,0.143479116446106,46487
"Bird Island","BI10","BI10.01","ACE_ITRAX_13",1.2,1.2,1.2,-46.1,7.49,1,TRUE,21695,54611,1.33,0,179.259386841198,0,137.891836031691,37665.1550120564,0,496.410609714088,0,6487.81088529107,275990.50981743,40029.9999999999,6.89459180158457,0.145041219085686,45836
"Bird Island","BI10","BI10.01","ACE_ITRAX_14",1.3,1.3,1.3,-44.6,7.51,1,TRUE,21725,55614,1.37,46.8125,321,0,260.8125,43408.5625,0,73.5624999999999,0,4988.87499999999,266904.8125,39911,6.6875,0.149532710280374,45879
"Bird Island","BI10","BI10.01","ACE_ITRAX_15",1.4,1.4,1.4,-43,7.51,1,TRUE,21319,54727,1.34,79.9782127659572,386.561361702127,186.615829787234,179.950978723404,42328.4691063829,0,206.610382978723,0,5098.61106382977,260968.908255318,39155.9999999999,6.66485106382979,0.150040862192257,45031
"Bird Island","BI10","BI10.01","ACE_ITRAX_16",1.5,1.5,1.5,-41.4,7.54,1,TRUE,21311,56074,1.33,88.2356192779411,373.304543098981,33.936776645362,95.0229746070135,54773.9575056142,0,0,515.839005009502,5742.10260839524,266688.765589912,39292.0000000001,6.78735532907238,0.147332790389901,45081
