"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ti","Ti_sd","Ti_ICP","Ti_ICP_sd","Ti_fit_OLS","Ti_lwr_OLS","Ti_upr_OLS","Ti_fit_WLS","Ti_lwr_WLS","Ti_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.7835510752178,-7.68774689818009,4.90495174256426,0.809311850924935,5.74532884280874,4.624656386159,6.86600129945848,5.76149940472394,4.29433438566714,7.22866442378074
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-8.11062408345963,-8.19982044547105,4.37935983755429,-0.0462302050626054,5.51555340726316,4.39316882214399,6.63793799238233,5.53381385862764,4.00638819495714,7.06123952229814
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.11070815434533,-8.63886214534896,5.83054549007266,1.58786741113314,5.51549434575735,4.39310928855073,6.63787940296396,5.53375533430726,4.0063141789758,7.06119648963873
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.1562734256974,-8.02401724773771,6.97603890594798,2.37326375234184,6.18600414004999,5.06791586774071,7.30409241235926,6.19816660313568,4.84651705827471,7.54981614799664
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.23716440247127,-7.25269036114999,7.582225674148,3.41468147889351,6.8316969083432,5.71572397784037,7.94766983884602,6.83798656565779,5.65542401739876,8.02054911391682
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.11020083002609,-8.02283232542333,7.33838856463051,2.07229394574194,6.2183710748637,5.10043622230275,7.33630592742466,6.23023914914577,4.88707076900962,7.57340752928193
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-8.04880300473801,-8.11805308006262,5.70716697941964,1.25842597536065,5.55898397148341,4.43694208621199,6.68102585675484,5.57684940639313,4.06081514923327,7.092883663553
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.97644955733823,-7.97471117716763,7.2737868892733,2.40046354015638,6.31233406221577,5.19481631334965,7.42985181108189,6.32334750965131,5.00479759307114,7.64189742623149
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.8979421564007,-7.93773564014301,6.13538078300935,1.41864121487883,6.36748710691653,5.25019457456703,7.48477963926602,6.37799891776092,5.0738971661987,7.68210066932314
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.43979748002057,-7.73585528011289,6.35400922144901,0.866841361255888,5.98682272969775,4.86768060431014,7.10596485508537,6.00079681867374,4.59694511786967,7.4046485194778
