"Model","Shapiro_W","Shapiro_p","Shapiro_expl","BreuschPagan_stat","BreuschPagan_p","BreuschPagan_expl","CV10_RMSE","CV10_expl","AIC","AIC_expl","BIC","BIC_expl"
"OLS",0.982048252397389,0.00187302683183422,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",7.61064671617046,0.00580246696247987,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.450923989941031,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",335.005013489929,"AIC is reported but not used for ranking.",345.777974431461,"BIC is reported but not used for ranking."
"OLS_weighted",0.983291363284169,0.00315464340348497,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",13.2909837101723,0.000266685518513102,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",NA,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",359.871349044666,"AIC is reported but not used for ranking.",370.644309986199,"BIC is reported but not used for ranking."
"WLS_weighted",0.980253232719914,0.00090033888855784,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",2244.35677648681,0,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",NA,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",321.186258039926,"AIC is reported but not used for ranking.",331.959218981458,"BIC is reported but not used for ranking."
"Bayes",0.982040775022707,0.00186722762976878,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",7.61064671617046,0.00580246696247987,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.450923723015753,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",335.005023203259,"AIC is reported but not used for ranking.",345.777984144792,"BIC is reported but not used for ranking."
"RF",0.995570406236946,0.643612172074665,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",NA,NA,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.502998069768999,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",NA,"AIC is reported but not used for ranking.",NA,"BIC is reported but not used for ranking."
"PLS_LOO",0.982048252397389,0.00187302683183395,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",NA,NA,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.450923989941031,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",NA,"AIC is reported but not used for ranking.",NA,"BIC is reported but not used for ranking."
"PLS_kfold",0.982048252397389,0.00187302683183395,"Shapiro–Wilk tests residual normality; p > 0.05 desirable.",NA,NA,"Breusch–Pagan tests heteroscedasticity; p < 0.05 suggests non-constant variance.",0.450923989941031,"10-fold cross-validation RMSE; lower values indicate better predictive performance.",NA,"AIC is reported but not used for ranking.",NA,"BIC is reported but not used for ranking."
