"Element","Model","Global_Rank","Robust_Rank","Robustness_Score","Robustness_Class","Confidence_Flag","R2","RMSE","RMSE_ppm","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","Unstable_flag","Is_Production_Model"
"Ca","Bayes",1,1,0.644360911056551,"Preferred 1","Moderate confidence",0.636884102731344,0.428801053115093,5546.07861545861,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,FALSE,TRUE
"Ca","PLS_LOO",2,2,0.639750348824946,"Acceptable 2","Moderate confidence",0.605172814508826,0.447133012734933,5921.70892622602,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,FALSE,FALSE
"Ca","PLS_kfold",3,3,0.639750348824946,"Acceptable 3","Moderate confidence",0.605172814508826,0.447133012734933,5921.70892622602,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,FALSE,FALSE
"Ca","RF",4,4,0.637112180729262,"Unstable","Low confidence (noise-dominated)",0.67652135882806,0.404721258578198,4899.1312754143,10944.935202195,19243.4582338599,2.23405632282623,0.388705837967947,2.80170247750187,2669.82115990534,TRUE,FALSE
"Ca","OLS_weighted",5,5,0.588255002278426,"Unstable","Low confidence",0.60078407376705,0.449611220751241,5620.88386479327,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,FALSE,FALSE
"Ca","OLS",6,6,0.521623167279204,"Unstable","Low confidence",0.605349695781694,0.447032844459699,5504.63271481712,10921.4227828969,22038.6753023897,1.98404205125242,0.367288108355072,4.20176309327957,1926.46353037206,FALSE,FALSE
"Ca","WLS_weighted",7,7,0.206867079809798,"Unstable","Low confidence (uncertainty-dominated)",0.604732452698864,0.447382293228408,5447.03371534874,10873.2672025233,114937.491193476,1.99618136599456,0.066580398464715,4.20378299807899,1820.40413734327,FALSE,FALSE
"Ca","WLS",8,8,0.204418667321637,"Unstable","Low confidence (uncertainty-dominated)",0.604685117514639,0.447409080513934,5446.04597912254,10872.2684867972,118586.161886132,1.99636002495685,0.064401223541595,4.20381505816965,1816.70549605334,FALSE,FALSE
"Sr","Bayes",1,1,0.704879261004917,"Preferred 1","Moderate confidence",0.635271572146413,0.373704733132646,56.5643915636821,147.071853655315,235.23700439692,2.60007841664373,0.293986430286965,3.31289626071891,20.8749329141512,FALSE,TRUE
"Sr","RF",2,2,0.7,"Unstable","Low confidence (noise-dominated)",0.687903628988896,0.345691061755634,44.4622459672722,141.36846527401,206.567463548729,3.1795169631797,0.378353977563596,2.74084469309166,28.5151587267521,TRUE,FALSE
"Sr","PLS_LOO",3,3,0.693676858673569,"Acceptable 3","Moderate confidence",0.619560933054721,0.381668523678026,58.9814163562467,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,FALSE,FALSE
"Sr","PLS_kfold",4,4,0.693676858673569,"Acceptable 4","Moderate confidence",0.619560933054721,0.381668523678026,58.9814163562467,145.259398881809,238.17309736281,2.46279943507028,0.283603215058894,3.41960519724994,19.7527645024488,FALSE,FALSE
"Sr","OLS",5,5,0.457486908880246,"Unstable","Low confidence",0.605940022011523,0.388440903375382,59.7735590156883,143.231154722705,243.139630055274,2.39622932081244,0.256264989918794,3.0435722326859,20.4720539160617,FALSE,FALSE
"Sr","WLS",6,6,0.223634321912979,"Unstable","Low confidence (uncertainty-dominated)",0.605899324973479,0.388460961218056,59.3656290640811,143.397140314445,2053.6686365944,2.41549095958636,0.030648910220976,3.05449018354233,20.6066157965584,FALSE,FALSE
"Sr","WLS_weighted",7,7,0.200361123134398,"Unstable","Low confidence (uncertainty-dominated)",0.605197017350042,0.38880693583257,61.616501941787,142.461659924356,1720.05445347286,2.31206990716462,0.0346514105471945,2.99705140125776,19.8869839221994,FALSE,FALSE
"Sr","OLS_weighted",8,8,0.0988533090319089,"Unstable","Low confidence (uncertainty-dominated)",0.588442221601662,0.396971381054182,68.563181097856,131.570344226979,1069088.3690725,1.91896499141714,5.006225989857e-05,2.96450376601237,18.0539422484993,FALSE,FALSE
"Ti","PLS_LOO",1,1,0.839170905490096,"Preferred 1","High confidence (signal-dominated)",0.756227776634957,0.607666319730726,1919.97750377683,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,FALSE,TRUE
"Ti","PLS_kfold",2,2,0.839170905490096,"Acceptable 2","High confidence (signal-dominated)",0.756227776634957,0.607666319730726,1919.97750377683,2139.04947431541,6388.36995589027,1.11410132155592,0.677802227960793,5.76089963353566,751.62763883854,FALSE,FALSE
"Ti","OLS",3,3,0.743511902036928,"Acceptable 3","Moderate confidence",0.729930592021033,0.639603384224678,2035.54425020404,2121.49959929056,6993.83718311646,1.04222720733185,0.64362324768362,6.5074019789329,691.734768520636,FALSE,FALSE
"Ti","Bayes",4,4,0.705144456478378,"Unstable","Low confidence (noise-dominated)",0.757847910218222,0.605643649083077,2132.72586760655,2140.41045976442,6361.9847129266,1.00360317857752,0.68510833898267,4.89905519927455,889.691706260365,TRUE,FALSE
"Ti","OLS_weighted",5,5,0.661337636082951,"Unstable","Moderate confidence",0.718555763474536,0.652933928562262,2173.73266969499,2011.43951913123,7272.03003890279,0.92533895596898,0.635443775627134,6.56997199353357,703.346411361033,FALSE,FALSE
"Ti","RF",6,6,0.516691721256783,"Unstable","Low confidence (noise-dominated)",0.742787031556751,0.624193853128855,1634.80229641458,2138.83535166162,6640.16271189271,1.30831437926927,0.59735058829679,4.8699020803459,814.493810531358,TRUE,FALSE
"Ti","WLS_weighted",7,7,0.367921035777575,"Unstable","Low confidence (uncertainty-dominated)",0.72919658362992,0.640471967780676,1893.08238585334,2056.34869670063,22898.1279739593,1.08624363739653,0.180944811062021,6.45183560439914,642.188935672347,FALSE,FALSE
"Ti","WLS",8,8,0.356637847725852,"Unstable","Low confidence (uncertainty-dominated)",0.728935134347202,0.640781067535794,1882.89538666468,2048.48407539001,23897.2029063303,1.08794364779801,0.171279816111263,6.44184437182847,635.393884594575,FALSE,FALSE
"Zr","OLS",1,1,0.881804555005742,"Unstable","Low confidence (noise-dominated)",0.608456680906178,0.822327315016661,148.16046066862,51.8863941021318,260.954175716361,0.350204054900872,0.831579406470902,2.53435338780609,85.6250432960216,TRUE,NA
"Zr","WLS_weighted",2,2,0.770770439548461,"Unstable","Low confidence (noise-dominated)",0.608229412035276,0.822565937768544,162.575252795128,54.1513484129792,384.798485710846,0.333084817535045,0.61619706946638,2.52029249923507,94.081024048633,TRUE,NA
"Zr","PLS_LOO",3,3,0.707644842666056,"Acceptable 3","Moderate confidence",0.72037835645274,0.69492862207945,77.8910261396823,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,54.2440704362239,FALSE,NA
"Zr","PLS_kfold",4,4,0.707644842666056,"Acceptable 4","Moderate confidence",0.72037835645274,0.69492862207945,77.8910261396823,44.1624715556574,161.108915768419,0.566977657688842,0.712518623481466,2.11623320246349,54.2440704362239,FALSE,NA
"Zr","WLS",5,5,0.66971963394222,"Unstable","Low confidence (noise-dominated)",0.608323185716187,0.822467487738816,159.077231156446,53.6040944885685,577.090663848485,0.336968993606954,0.402422891988473,2.52358951610789,92.025463096561,TRUE,NA
"Zr","RF",6,6,0.66888055935427,"Unstable","Moderate confidence",0.743204375842857,0.665960724096371,45.4053867998287,41.8534675456406,143.039964681095,0.921773174847143,0.427515187782922,2.2684718913951,26.9572471199954,FALSE,NA
"Zr","Bayes",7,7,0.655367100516676,"Unstable","Moderate confidence",0.7219222288162,0.693007515213175,84.3816359771264,45.422868267256,164.996573779594,0.538302768620994,0.777599911668075,1.95110040236637,65.7584412575279,FALSE,NA
"Zr","OLS_weighted",8,8,0.243417629025981,"Unstable","Low confidence (uncertainty-dominated)",0.401191970178938,1.01694769214115,153.784821913486,42.0668288564161,34663157.0601033,0.273543437726784,7.0672435446541e-06,2.42434726515991,101.046981383745,TRUE,NA
