"Site","Element","Model","R2","RMSE","RMSE_ppm","RMSEP","Mean_ppm","Mean_CI_width","SNR_model","SNR_CI","SNR_smooth","Roughness","SNR_CI_s","SNR_smooth_s","Roughness_norm","Robustness_score","Robust_Rank","Global_Rank","Robustness_Class","Stability_class","Confidence_class","Confidence_Flag","Unstable_flag","Bootstrap_Unstable","R2_q05","R2_q95","Robustness_low","Robustness_high","Is_Production_Model","Rank_site","Robustness_score_site","n_mean","R2_overall","RMSE_overall","RMSEP_overall"
"ALL","Ca","Bayes",0.636884102731344,0.428801053115093,5546.07861545861,0.437812064252784,11114.521610419,20960.8035640108,2.00403246709114,0.349419977834777,4.32346304827183,1694.04096553187,0.740687069612545,0.698376882202055,0.0824067945300251,0.65436049816905,1,1,"Preferred 1","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.517873635021689,0.683384680507303,0.580584613197987,0.631881887509872,TRUE,NA,NA,NA,NA,NA,NA
"ALL","Ca","Bayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.740687069612545,1,NA,0.65436049816905,NA,1,"Preferred 1",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,1,0.844412241767527,13757,0.636884102731344,0.428801053115093,5546.07861545861
"ALL","Ca","PLS_LOO",0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0,0.640428498900347,2,2,"Acceptable 2","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.498367773062824,0.672007267862575,0.622366279387121,0.673824171997311,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ca","RF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836732188761176,0.820334348587098,NA,0.63469287550447,NA,4,"Unstable",NA,NA,"Low confidence (noise-dominated)",NA,FALSE,NA,NA,NA,NA,NA,2,0.830173052691545,13757,0.673677785504348,0.406496238911912,4915.58130206669
"ALL","Ca","PLS_kfold",0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,10800.199565855,21448.147284187,1.82383154937305,0.374520162924147,5.02767378492198,1597.70978765272,0.805915698467802,1,0,0.640428498900347,3,3,"Acceptable 3","Acceptable","Moderate confidence","Moderate confidence",FALSE,FALSE,0.498367773062824,0.672007267862575,0.622366279387121,0.673824171997311,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ca","OLS_weighted",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0.593460749886599,NA,5,"Unstable",NA,NA,"Low confidence",NA,FALSE,NA,NA,NA,NA,NA,3,0.6,14519,0.60078407376705,0.449611220751241,5620.88386479327
"ALL","Ca","RF",0.673677785504348,0.406496238911912,4915.58130206669,0.405320083182145,10909.8156740307,19282.8988530103,2.21943550591744,0.386378446989643,2.69293650817949,2766.68108945549,0.836732188761176,0,1,0.63469287550447,4,4,"Unstable","Unstable","Moderate confidence","Low confidence (noise-dominated)",TRUE,FALSE,0.576603269666055,0.709894644409048,0.63469287550447,0.63469287550447,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ca","PLS_LOO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805915698467802,0.173331448090944,NA,0.640428498900347,NA,2,"Acceptable 2",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,4,0.552881998317059,13757,0.605172814508826,0.447133012734933,5921.70892622602
"ALL","Ca","OLS_weighted",0.60078407376705,0.449611220751241,5620.88386479327,NA,10492.425843022,18035.9437498918,1.86668611119008,0.449204423146897,4.19853658933548,1929.67848098767,1,0.644869166288662,0.283983612619914,0.593460749886599,5,5,"Unstable","Acceptable","Low confidence","Low confidence",FALSE,FALSE,0.506693877391423,0.664163105864895,0.625387834228473,0.593460749886599,FALSE,NA,NA,NA,NA,NA,NA
"ALL","Ca","PLS_kfold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805915698467802,0.173331448090944,NA,0.640428498900347,NA,3,"Acceptable 3",NA,NA,"Moderate confidence",NA,FALSE,NA,NA,NA,NA,NA,5,0.552881998317059,13757,0.605172814508826,0.447133012734933,5921.70892622602
