labID,"		age","	error","	depth",cc,dR,dSTD,t.a,t.b
PB1A_0,-67,1,0,0,0,0,3,4
PB1-1A-S1,-230,21,0.5,3,0,0,3,4
PB1-1A-S2,-208,20,2,3,0,0,3,4
PB1-1A-S21,145,30,29.6,3,0,0,3,4
PB1-1B-S48,1115,30,59.7,3,0,0,3,4
PB1-1C-S77,2660,30,89.7,3,0,0,3,4
PB1-1C-S94,3050,30,112.6,3,0,0,3,4
PB1-1C-S100,3525,30,120.5,3,0,0,3,4
PB1C_48,4200,30,128,3,0,0,3,4
