Site,Site_Section,ID_Sample_No.,Core_section,Sample_ID,Radius_1_cm,Radius_2_cm,Thickness_cm,Depth_T_field_cm,Depth_B_field_cm,Depth_field_cm,Depth_T_cm,Depth_B_cm,Depth_cm,Wet_bag_g,Dry_bag_g,Wet_mass_g,Dry_mass_g,Ash_Mass ,Water_Content_pc,Dry_mass,LOI550,C_content,Volume_cm3,Wet_density_g_cm3,Dry_density_g_cm3
HER42PB,HER42PB1J,HER42PB1J_346,J,346,2.2,2.1,1.2,385.27,386.47,385.87,385.27,386.47,385.87,6.388,1.9453,4.4427,0.7977,NA,84.8,15.2,NA,NA,4.4,1.2,0.18
HER42PB,HER42PB1J,HER42PB1J_347,J,347,2.1,2.1,1.2,386.69,387.89,387.29,386.69,387.89,387.29,6.2782,2.0009,4.2773,0.8533,NA,83.4,16.6,NA,NA,4.2,1.24,0.21
HER42PB,HER42PB1J,HER42PB1J_348,J,348,2.2,2.3,1.3,388.1,389.4,388.75,388.1,389.4,388.75,7.0717,2.2588,4.8129,1.1112,NA,81.2,18.8,NA,NA,5.1,1.17,0.22
HER42PB,HER42PB1J,HER42PB1J_349,J,349,2.2,2.2,1.3,389.62,390.87,390.25,389.62,390.87,390.25,7.1592,2.5091,4.6501,1.3615,NA,77.4,22.6,NA,NA,4.6,1.3,0.29
HER42PB,HER42PB1J,HER42PB1J_350,J,350,2,2.2,1.3,391.09,392.34,391.71,391.09,392.34,391.71,6.6802,2.2744,4.4058,1.1268,NA,79.6,20.4,NA,NA,4.1,1.34,0.27
HER42PB,HER42PB1J,HER42PB1J_351,J,351,2,2.2,1.2,392.56,393.76,393.16,392.56,393.76,393.16,6.9272,2.3212,4.606,1.1736,NA,79.7,20.3,NA,NA,4.2,1.39,0.28
HER42PB,HER42PB1J,HER42PB1J_352,J,352,2,2.3,1.2,393.97,395.17,394.57,393.97,395.17,394.57,6.403,2.1275,4.2755,0.9799,NA,81.4,18.6,NA,NA,4.3,1.24,0.23
HER42PB,HER42PB1J,HER42PB1J_353,J,353,2.1,1.9,1.2,395.39,396.59,395.99,395.39,396.59,395.99,6.6203,2.9324,3.6879,1.7848,NA,67.4,32.6,NA,NA,3.8,1.45,0.47
HER42PB,HER42PB1J,HER42PB1J_354,J,354,2,2.2,1.2,396.81,398.01,397.41,396.81,398.01,397.41,6.799,2.8036,3.9954,1.656,NA,70.7,29.3,NA,NA,4.1,1.39,0.41
HER42PB,HER42PB1J,HER42PB1J_355,J,355,2,2,1.3,398.23,399.48,398.85,398.23,399.48,398.85,6.8942,2.7895,4.1047,1.6419,NA,71.4,28.6,NA,NA,3.8,1.5,0.43
HER42PB,HER42PB1J,HER42PB1J_356,J,356,1.9,2,1,399.69,400.64,400.17,399.69,400.64,400.17,5.7462,2.2765,3.4697,1.1289,NA,75.5,24.5,NA,NA,2.8,1.62,0.4
HER42PB,HER42PB1J,HER42PB1J_357,J,357,2,2,1.2,400.86,402.06,401.46,400.86,402.06,401.46,6.4498,2.3453,4.1045,1.1977,NA,77.4,22.6,NA,NA,3.8,1.41,0.32
HER42PB,HER42PB1J,HER42PB1J_358,J,358,2.1,2.1,1.3,402.28,403.58,402.93,402.28,403.58,402.93,6.9489,2.3993,4.5496,1.2517,NA,78.4,21.6,NA,NA,4.5,1.29,0.28
HER42PB,HER42PB1J,HER42PB1J_359,J,359,2.1,2,1.3,403.8,405.1,404.45,403.8,405.1,404.45,7.4922,2.4613,5.0309,1.3137,NA,79.3,20.7,NA,NA,4.2,1.52,0.31
HER42PB,HER42PB1J,HER42PB1J_360,J,360,2.2,2.2,1.2,405.31,406.51,405.91,405.31,406.51,405.91,7.2461,2.2138,5.0323,1.0662,NA,82.5,17.5,NA,NA,4.5,1.37,0.24
HER42PB,HER42PB1J,HER42PB1J_361,J,361,2,2,1.3,406.73,407.98,407.36,406.73,407.98,407.36,6.8199,2.438,4.3819,1.2904,NA,77.3,22.7,NA,NA,3.9,1.45,0.33
HER42PB,HER42PB1J,HER42PB1J_362,J,362,2,2,1.2,408.2,409.4,408.8,408.2,409.4,408.8,6.024,2.082,3.942,0.9344,NA,80.8,19.2,NA,NA,3.8,1.29,0.25
HER42PB,HER42PB1J,HER42PB1J_363,J,363,1.9,1.2,0.7,409.62,410.32,409.97,409.62,410.32,409.97,4.1041,1.8107,2.2934,0.6631,NA,77.6,22.4,NA,NA,1.3,2.24,0.5
