depth	min	max	median	mean
1	-62.92	-34.39	-54.37	-52.79
1.1	-62.77	-31.5	-53.53	-51.77
1.2	-62.59	-28.75	-52.67	-50.74
1.3	-62.45	-25.97	-51.81	-49.72
1.4	-62.31	-23.19	-50.94	-48.69
1.5	-62.19	-20.3	-50.08	-47.67
1.6	-62.07	-17.42	-49.22	-46.64
1.7	-61.97	-14.65	-48.36	-45.62
1.8	-61.84	-11.82	-47.52	-44.59
1.9	-61.74	-8.98	-46.64	-43.57
2	-61.63	-6.17	-45.77	-42.55
2.1	-61.51	-3.38	-44.91	-41.52
2.2	-61.43	-0.56	-44.05	-40.5
2.3	-61.34	2.23	-43.18	-39.47
2.4	-61.23	5.02	-42.34	-38.45
2.5	-61.13	7.79	-41.49	-37.42
2.6	-61.04	10.64	-40.66	-36.4
2.7	-60.93	13.47	-39.82	-35.37
2.8	-60.85	16.28	-38.97	-34.35
2.9	-60.76	19.09	-38.12	-33.32
3	-60.63	21.91	-37.28	-32.3
3.1	-60.55	24.74	-36.4	-31.28
3.2	-60.5	27.56	-35.57	-30.25
3.3	-60.41	30.39	-34.72	-29.23
3.4	-60.3	33.22	-33.88	-28.2
3.5	-60.21	36.05	-33.02	-27.18
3.6	-60.13	38.88	-32.2	-26.15
3.7	-60.02	41.72	-31.32	-25.13
3.8	-59.92	44.56	-30.49	-24.1
3.9	-59.81	47.4	-29.65	-23.08
4	-59.71	50.33	-28.78	-22.06
4.1	-59.64	53.18	-27.95	-21.03
4.2	-59.52	56.03	-27.12	-20.01
4.3	-59.43	58.84	-26.25	-18.98
4.4	-59.34	61.65	-25.42	-17.96
4.5	-59.26	64.45	-24.57	-16.93
4.6	-59.16	67.28	-23.7	-15.91
4.7	-59.07	70.12	-22.84	-14.88
4.8	-58.97	72.96	-21.97	-13.86
4.9	-58.88	75.8	-21.09	-12.83
5	-58.79	78.64	-20.23	-11.81
5.1	-58.7	81.48	-19.38	-10.79
5.2	-58.61	84.31	-18.54	-9.76
5.3	-58.52	87.14	-17.7	-8.74
5.4	-58.43	89.98	-16.84	-7.71
5.5	-58.36	92.81	-16.02	-6.69
5.6	-58.28	95.65	-15.18	-5.66
5.7	-58.19	98.49	-14.34	-4.64
5.8	-58.11	101.33	-13.5	-3.61
5.9	-58.04	104.16	-12.62	-2.59
6	-57.97	106.96	-11.75	-1.56
6.1	-57.89	109.8	-10.87	-0.54
6.2	-57.8	112.64	-10	0.48
6.3	-57.73	115.48	-9.17	1.51
6.4	-57.68	118.32	-8.31	2.53
6.5	-57.61	121.17	-7.44	3.56
6.6	-57.53	124.01	-6.58	4.58
6.7	-57.42	126.82	-5.74	5.61
6.8	-57.36	129.65	-4.89	6.63
6.9	-57.3	132.49	-4.04	7.66
7	-57.24	135.33	-3.15	8.68
7.1	-57.15	138.17	-2.26	9.7
7.2	-57.06	141	-1.39	10.73
7.3	-56.94	143.84	-0.52	11.75
7.4	-56.83	146.68	0.34	12.78
7.5	-56.72	149.52	1.21	13.8
7.6	-56.61	152.36	2.08	14.83
7.7	-56.5	155.19	2.94	15.85
7.8	-56.4	158.03	3.79	16.88
7.9	-56.32	160.87	4.67	17.9
8	-56.23	163.71	5.54	18.93
8.1	-56.15	166.54	6.4	19.95
8.2	-56.06	169.38	7.26	20.97
8.3	-55.98	172.22	8.1	22
8.4	-55.89	175.05	8.95	23.02
8.5	-55.81	177.88	9.82	24.05
8.6	-55.72	180.72	10.69	25.07
8.7	-55.63	183.55	11.56	26.1
8.8	-55.53	186.38	12.43	27.12
8.9	-55.45	189.21	13.3	28.15
9	-55.37	192.03	14.14	29.17
9.1	-55.26	194.84	14.98	30.2
9.2	-55.15	197.67	15.83	31.22
9.3	-55.07	200.51	16.67	32.24
9.4	-55	203.36	17.49	33.27
9.5	-54.93	206.2	18.36	34.29
9.6	-54.86	209.04	19.21	35.32
9.7	-54.79	211.89	20.05	36.34
9.8	-54.71	214.73	20.9	37.37
9.9	-54.64	217.57	21.76	38.39
10	-54.57	220.41	22.63	39.42
10.1	-53.37	221.13	23.98	40.44
10.2	-52.06	221.82	25.3	41.47
10.3	-51.01	222.54	26.62	42.5
