"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-7.72863474477024,-8.13700576348218,3.53646344341951,-1.72242081593052,3.69572045031624,2.53504039858754,4.85640050204494
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-7.1447670687926,-7.77647713448398,3.33468347892019,-1.44966349692175,4.17354027265522,3.01602750484862,5.33105304046182
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-8.04695603047721,-8.2127902101657,3.6160372217274,-1.00492444322772,3.43521584209565,2.27211546046246,4.59831622372884
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-7.26773457615992,-8.48378322835999,4.08682416932195,-1.43675638426703,4.07290734683802,2.91486494085255,5.23094975282348
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.77547686113222,-7.71300338593115,4.99824535279201,-1.18558461478387,4.47575632035874,3.31939176454491,5.63212087617258
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.01574718725223,-7.75816329053674,5.00469055174463,-1.68258174259904,4.27912628025975,3.1220901616155,5.436162398904
"Bird Island","BI10","BI10.2",45,44,45,44.5,-7.19395746529866,-7.92363396011245,6.21202271619992,1.7995215501821,4.13328432514116,2.97556850681925,5.29100014346308
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-7.16490085805971,-7.91325616670028,4.0200614892263,-0.373676340690111,4.15706338241718,2.99946892760412,5.31465783723025
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-7.22359021115963,-7.974579450689,5.46278507773667,2.6100952681528,4.10903377326912,2.9511899582735,5.26687758826474
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-6.61741153337336,-7.05648213566927,3.59863321185762,-2.11748363703603,4.60511225139437,3.44903596212993,5.7611885406588
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-6.94698928478773,-7.70704337698174,4.48256118016038,-1.91004477124907,4.33539568870915,3.17858048581715,5.49221089160115
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-6.96013237595912,-8.15667580271595,3.8394514938833,-1.59326350131805,4.32463977645903,3.16778412571876,5.48149542719929
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.86253241888134,-7.94461758669941,4.83236728974649,0.210621932435521,4.40451265874029,3.24793728758034,5.56108802990024
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.53148293687936,-7.8999012493524,4.04698604695415,-0.534911896384269,3.85706358626308,2.69763765128223,5.01648952124393
"Bird Island","BI10","BI10.3",95,93,94,93.5,-6.56946588479818,-7.32583779027527,4.0993273690619,-0.563781745499,4.64434953447526,3.48833658025621,5.80036248869432
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-6.48571388105127,-7.63432687632821,3.98932974180479,-0.863482088333298,4.7128896664219,3.55696041997357,5.86881891287023
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-6.75652532585647,-8.43588247013091,3.85878807296499,-0.208431216671758,4.49126568933237,3.33494212778333,5.64758925088142
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-7.15624714452983,-8.09624009243615,3.65876255272653,-2.50150470250249,4.16414532243809,3.00658621910478,5.32170442577139
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-7.41345528584166,-7.74743289016415,3.46948661196281,-1.31861690908455,3.95365388158212,2.79488876879806,5.11241899436619
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-6.75430535647454,-7.54464657755715,3.62506547789696,-1.14958687174424,4.49308244579846,3.33676357165014,5.64940131994677
"Bird Island","BI10","BI10.4",145,141,142,141.5,-7.27990915486764,-7.8365547287482,3.94762045054329,-2.99648467653814,4.06294403618645,2.90484519555006,5.22104287682284
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-7.00934659641288,-7.72290697799608,4.4164307444794,0.095350908065827,4.28436433213957,3.12734975022487,5.44137891405427
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-6.75999229891377,-7.69798152938902,3.75737411214651,-0.356881048033865,4.48842842239938,3.33209749234563,5.64475935245312
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-6.68252100776473,-7.9423892460634,5.39102641133193,0.451899996028887,4.55182860722931,3.39564834410832,5.70800887035031
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-7.10421141504887,-7.93194967136434,3.71777756776048,-1.77826564772238,4.20672980525646,3.04937559474956,5.36408401576335
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-6.93194709559597,-7.44214016640118,4.80718666901724,0.331048086767764,4.34770576591142,3.1909358225159,5.50447570930694
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-7.16398884235555,-7.81030556558601,5.49569256244799,0.363534882365365,4.15780974875952,3.00021903680822,5.31540046071083
"Bird Island","BI10","BI10.5",197,194,195,194.5,-7.18177257260924,-7.49844759389385,4.21641311097253,-0.450747267203687,4.1432560764465,2.98559165164611,5.3009205012469
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-6.53982297405719,-7.78035413000649,3.74336890123433,-0.676621858944525,4.66860840498073,3.5126289939226,5.82458781603886
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-6.75911722230931,-7.5805491094082,5.07847074812285,1.45098917434009,4.48914455888865,3.33281549420455,5.64547362357275
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-6.90105165728758,-7.80314200921476,4.29914195414763,-0.77984009408263,4.37298966747162,3.21630922543992,5.52967010950333
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-6.83090495485305,-8.06475919965345,3.9379798934123,-1.27063501890494,4.43039562822944,3.27390112104408,5.5868901354148
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-7.35513405674671,-7.69890934579531,4.17148780111106,0.00218188795034607,4.00138222906784,2.84291872822822,5.15984572990747
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-7.17842247431598,-8.31612324698652,3.71531404759859,-1.59115089387714,4.14599769657237,2.98834727533923,5.30364811780552
"Bird Island","BI10","BI10.7",271,265,266,265.5,-6.76423417176982,-7.41281895806847,4.04078412348808,-0.261034216174002,4.48495700067516,3.3286169754298,5.64129702592052
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-7.40258364986602,-7.97894582204792,3.67060434951071,-1.25589748044913,3.96255090291785,2.80384326420957,5.12125854162612
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-6.42339668240363,-7.22741819203148,4.01830325933705,-0.204152828278014,4.76388819573184,3.60799900832603,5.91977738313766
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-6.76498045879395,-7.30863232678482,4.00298409034192,-0.283484951366715,4.48434626172187,3.32800462724895,5.6406878961948
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-6.15826735993737,-7.78974576298928,4.38980958875902,0.617895837776305,4.98086209404803,3.82493133477443,6.13679285332163
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-6.73729746139814,-8.00869202247676,4.26212573508231,0.686899612083241,4.50700119783445,3.35071743765514,5.66328495801377
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-7.1239185160738,-7.71083645119134,5.60776646978262,1.55140202577451,4.19060210389882,3.03317184536272,5.34803236243491
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-6.68523808780644,-7.22635238437831,3.87669896856894,-0.297184886842047,4.54960503028504,3.393419978511,5.70579008205908
