"Location","Site","Section","sample","min_depth","max_depth","midpoint","Co","Co_sd","Co_ICP","Co_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.127999327795264,0.0063999663897632,-3.90274122642275,-0.195137061321138,-3.26431048419646,-4.6058871773497,-1.92273379104321
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,0.643117857135596,0.0321558928567798,-3.62408283695147,-0.181204141847574,-2.99383339147561,-4.34440703146836,-1.64325975148285
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-0.289616352518116,-0.0144808176259058,-3.30231679805059,-0.165115839902529,-3.48359103547163,-4.82256674868011,-2.14461532226314
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-0.763593247865126,-0.0381796623932563,-4.63761576586541,-0.23188078829327,-3.73246558641137,-5.07361530731201,-2.39131586551072
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-0.169726621967429,-0.00848633109837147,-2.8241906861885,-0.141209534309425,-3.42063964871417,-4.75992938517075,-2.08134991225758
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,0.872673456953866,0.0436336728476933,-3.76611229974393,-0.188305614987196,-2.87329893635486,-4.22991266489016,-1.51668520781956
"Bird Island","BI10","BI10.2",45,44,45,44.5,0.0895493855490216,0.00447746927745108,-3.95365364951037,-0.197682682475519,-3.2844996795014,-4.62566041082485,-1.94333894817795
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.244064199715712,-0.0122032099857856,-2.02770212588656,-0.101385106294328,-3.45967262998746,-4.79872655643054,-2.12061870354438
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.692560848870176,-0.0346280424435088,-3.64070836931758,-0.182035418465879,-3.69516807977004,-5.03564515605048,-2.3546910034896
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.00346197834834,-0.0501730989174172,-3.80094460400633,-0.190047230200316,-3.85841523326027,-5.20273602433799,-2.51409444218255
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-0.860487026338631,-0.0430243513169316,-3.83625195838584,-0.191812597919292,-3.78334231868076,-5.1256061102319,-2.44107852712961
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-0.215687576770969,-0.0107843788385485,-3.91553436973874,-0.195776718486937,-3.44477270688596,-4.78390082077712,-2.1056445929948
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-0.561842958014986,-0.0280921479007493,-4.4093244422307,-0.220466222111535,-3.62653107086572,-4.96608950659126,-2.28697263514017
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-0.53623509025289,-0.0268117545126445,-3.72074650778727,-0.186037325389363,-3.61308495850796,-4.95251194342411,-2.27365797359182
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.813407659642534,-0.0406703829821267,-3.05827639376034,-0.152913819688017,-3.75862200771193,-5.10031618798599,-2.41692782743787
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-0.558674200050386,-0.0279337100025193,-3.31764992801864,-0.165882496400932,-3.62486722770539,-4.96440853530135,-2.28532592010943
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.715511494388069,-0.0357755747194035,-3.95620802271713,-0.197810401135856,-3.70721894480822,-5.04790000981296,-2.36653787980348
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,0.362622728500405,0.0181311364250202,-4.00154653642691,-0.200077326821345,-3.14111504141502,-4.48600182448768,-1.79622825834236
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-0.634426199641502,-0.0317213099820751,-4.43167198158556,-0.221583599079278,-3.66464288990771,-5.00466030487231,-2.32462547494311
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,0.226508511587812,0.0113254255793906,-4.50099398364965,-0.225049699182482,-3.21258553911899,-4.55539068680028,-1.86978039143771
"Bird Island","BI10","BI10.4",145,141,142,141.5,-0.669347582577494,-0.0334673791288747,-3.47326040246439,-0.17366302012322,-3.68297931850098,-5.02326303793025,-2.3426955990717
