"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zr","Zr_sd","Zr_ICP","Zr_ICP_sd","Zr_fit_OLS","Zr_lwr_OLS","Zr_upr_OLS","Zr_fit_WLS","Zr_lwr_WLS","Zr_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,2.5702316382174,0.12851158191087,-2.53655606047204,-0.126827803023602,-1.29797895095072,-3.53095224695981,0.934994345058367,-1.22372965522892,-3.22137994911059,0.773920638652754
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,3.0422195706167,0.152110978530835,-2.60300239378037,-0.130150119689019,-1.10655983162117,-3.34823342976616,1.13511376652383,-0.986925409409873,-2.85488637892734,0.881035560107596
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,3.03735679369257,0.151867839684629,-1.99850429196811,-0.0999252145984056,-1.10853197627237,-3.35009596661968,1.13303201407495,-0.989365145985871,-2.8586305498697,0.879900257897953
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,2.05475542321927,0.102737771160963,-1.22212235350002,-0.0611061176750009,-1.50703514992743,-3.73501350739268,0.720943207537816,-1.4823527003347,-3.62784418810551,0.663138787436105
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,1.53514754982736,0.0767573774913682,-1.82009667345778,-0.091004833672889,-1.717766981599,-3.94550311467848,0.509969151480477,-1.74304866761234,-4.04288740533684,0.556790070112151
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,2.04218603001661,0.102109301500831,-2.00936004344459,-0.100468002172229,-1.51213278487146,-3.74004842310128,0.715782853358355,-1.48865897529099,-3.63782561723205,0.66050766665008
"Bird Island","BI10","BI10.2",45,44,45,44.5,1.60786003739299,0.0803930018696493,-1.70262676036083,-0.0851313380180417,-1.68827775236528,-3.91575782900051,0.539202324269949,-1.70656759553901,-3.98452586924152,0.571390678163502
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,2.46830948262253,0.123415474131127,-3.01416138859216,-0.150708069429608,-1.33931443418006,-3.57092558909428,0.892296720734172,-1.27486570666397,-3.30127511346063,0.75154370013269
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,2.5814342752191,0.129071713760955,-1.93440279436773,-0.0967201397183863,-1.2934356167639,-3.52656986031274,0.939698626784927,-1.21810910473542,-3.21261365828234,0.776395448811505
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1.45981034278845,0.0729905171394225,-2.40519514667373,-0.120259757333686,-1.74832069035768,-3.9764215976068,0.479780216891451,-1.78084660537799,-4.10344485805595,0.541751647299975
