"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75","SNR"
"kcps",1,16978,21091.0743903876,2400.11518794778,21702,21356.4557567726,2105.292,9879,26148,16269,-0.947455700404485,0.357709584064457,18.4199658435759,19756,22895.75,8.78752590554687
"cps",2,16978,58049.8582282952,8348.56324194368,56294.5,57103.9082744403,5602.7454,32827,125546,92719,1.65993396932732,5.39709101384877,64.0720289308388,53127,61236.75,6.95327525778918
"MSE",3,16978,1.34897219931676,0.0979644282830081,1.34,1.344757803298,0.0889560000000001,1.04,1.93,0.89,0.535019349824759,0.911972635794022,0.000751839508336843,1.28,1.41,13.7700206387132
"Al",5,16978,20.6920720932971,16.0055583075683,19,19.4500883392221,17.7912,0,104,104,0.525602708986936,-0.209257523142133,0.122836536685082,7,31,1.29280539270616
"P",7,16978,12.0049475792201,10.4158444071623,11,10.9709216725568,13.3434,0,62,62,0.634579669107044,-0.144704955178266,0.0799376209839249,0,19,1.15256594760239
"S",8,16978,37.3056897161047,26.8901450437807,33,34.2709805653701,20.7564,0,485,485,2.38854521003204,15.3039891730751,0.206371575715398,20,49,1.38733687212792
"Co",17,16978,126.480857580394,92.8436037196265,108,116.93035924618,83.0256,0,708,708,1.06662358522271,1.38518733115135,0.712539138912038,59,176,1.362300174844
"Ni",18,16978,202.890387560373,41.2156993863461,203,202.929917550059,40.0302,40,585,545,0.128233625802863,0.93241965597388,0.316314724696498,176,230,4.92264817972702
"Cu",19,16978,126.238543998116,57.6312165771005,123,123.86844817432,51.891,0,1408,1408,2.26712464831061,31.9904445359517,0.442297538970039,89,159,2.19045426239148
"Se",22,16978,69.7926139710222,56.7740944669689,64,64.6265459363982,65.2344,0,342,342,0.641642263712945,-0.0828040554034501,0.435719454688218,20,108,1.22930386871476
"Br",23,16978,1736.24561196841,895.608520047395,1495,1643.82214369838,762.7977,119,6224,6105,1.07099095349072,1.2577340545102,6.87345275398819,1091,2265,1.93862114205494
"Sr",25,16978,490.442042643413,446.02167952175,371,420.651428150806,306.8982,0,3712,3712,2.05847353997218,5.83911640413833,3.42304575361227,199,653.75,1.09959238566451
"Zr",27,16978,842.489810342806,202.44903437105,833,834.002650176691,185.325,60,3200,3140,1.36971037195212,9.27586229480606,1.55371888687069,707,958,4.16149088070574
"Pb",32,16978,89.0206149134173,66.6173399942672,83,84.1221289752652,74.13,0,389,389,0.544282437912437,-0.19435022102101,0.511262598331168,34,134,1.33629795066987
"Th",33,16978,67.3750147249385,61.3154590180423,58,60.246319199053,72.6474,0,405,405,0.834235693865604,0.253302429008023,0.470572690205438,10,107,1.09882590465666
