"Element","Site","Model","n","Mean_ppm","SD_pred","Mean_CI_w","SNR_CI","SNR_smooth","Robustness_low","Robustness_high","Bootstrap_Unstable","Global_Rank","Robustness_score","SNR_CI_s","SNR_smooth_s","Robustness_score_site","Robustness_Rank","Stability_class"
"Ca","KER3","Bayes",1739,8790.34321420576,3460.79839225225,14230.0373132729,0.243203746839387,2.055369993689,0.928467060280823,0.909657677485031,FALSE,1,0.903217185180305,0.990373820953032,0.460684576662629,0.77849812323687,3,"Stable"
"Ca","KER3","PLS_LOO",1739,8915.61868166404,3568.14569629711,14550.3110605118,0.245228138522806,1.85361712795065,0.84617393661387,0.864275444977219,FALSE,2,0.846217799537837,1,0.301924006983199,0.72076960279328,4,"Acceptable"
"Ca","KER3","PLS_kfold",1739,8915.61868166404,3568.14569629711,14550.3110605118,0.245228138522806,1.85361712795065,0.84617393661387,0.864275444977219,FALSE,3,0.846217799537837,1,0.301924006983199,0.72076960279328,5,"Acceptable"
"Ca","KER3","RF",1739,8083.78967209154,2628.50952008755,12598.2292338655,0.208641188479236,1.46993222579223,0.7,0.7,FALSE,4,0.7,0.826025499518473,0,0.495615299711084,6,"Marginal"
"Ca","KER3","OLS_weighted",2000,6929.60011628761,2850.52629603518,11865.8233108174,0.240229963093797,2.73884149658662,0.68733115596116,0.68733115596116,FALSE,5,0.68733115596116,0.976233190453279,0.998512501745998,0.985144914970367,1,"Stable"
"Ca","KER3","OLS",2000,7307.47310664866,2907.92704381854,14717.2059434183,0.197586896249081,2.7400069939077,0.605871427556832,0.605871427556832,FALSE,6,0.615986826769259,0.77346126646194,0.999429638749122,0.863848615376813,2,"Stable"
"Ca","KER3","WLS_weighted",2000,7392.36329969694,2820.87475149484,78148.2245403915,0.0360964662739951,2.74072089006584,0.302192465570234,0.302192465570234,FALSE,7,0.310940327090334,0.00555858930506898,0.999991408022352,0.403331716791982,7,"Marginal"
"Ca","KER3","WLS",2000,7396.02526284447,2817.84336265569,80676.94684287,0.0349274913457476,2.74073180874745,0.3,0.3,FALSE,8,0.30864298768611,0,1,0.4,8,"Marginal"
"Fe","KER3","OLS_weighted",2000,5558.36294009852,5436.87801281925,9215.4283953415,0.589975612589822,3.71501954714647,0.685864699377746,0.685864699377746,FALSE,1,0.685864699377746,1,0.968028878060449,0.98721155122418,1,"Stable"
"Fe","KER3","Bayes",1739,5186.23145666109,4499.08983634304,12880.754120769,0.349287766396276,1.87115752939495,0.551742953314114,0.599743234986683,FALSE,2,0.567719424143061,0.53288508468302,0.157125951869442,0.382581431557589,7,"Marginal"
"Fe","KER3","PLS_LOO",1739,5046.80925771594,3625.08288973145,13037.9278568445,0.278041336747265,2.39959960732372,0.594544161267853,0.592775633540416,FALSE,3,0.543569465589582,0.394613582908172,0.389526870804494,0.392578898066701,5,"Marginal"
"Fe","KER3","PLS_kfold",1739,5046.80925771594,3625.08288973145,13037.9278568445,0.278041336747265,2.39959960732372,0.594544161267853,0.592775633540416,FALSE,4,0.543569465589582,0.394613582908172,0.389526870804494,0.392578898066701,6,"Marginal"
"Fe","KER3","RF",1739,5725.49469840406,4281.57313559062,13244.1816977605,0.323279552734814,1.51387854408411,0.50158109961498,0.50158109961498,FALSE,5,0.50158109961498,0.4824096464166,0,0.28944578784996,8,"Unstable"
"Fe","KER3","OLS",2000,6146.86623232948,5586.33921607282,18881.0231929227,0.295870576450898,3.76347659576636,0.470318420272025,0.470318420272025,FALSE,6,0.490902148604321,0.429215678219755,0.989339562993568,0.65326523212928,2,"Acceptable"
"Fe","KER3","WLS_weighted",2000,6222.73698078085,5439.29854361291,69477.3821555772,0.0782887664280868,3.78771670423547,0.302875896815167,0.302875896815167,FALSE,7,0.322090550737224,0.00694380047154626,1,0.404166280282928,3,"Marginal"
"Fe","KER3","WLS",2000,6220.58701019537,5442.53155093298,72847.920087676,0.0747108708715724,3.78714358601461,0.299888402244487,0.299888402244487,FALSE,8,0.319168272686531,0,0.999747951181882,0.399899180472753,4,"Marginal"
"Mn","KER3","PLS_LOO",1739,81.3493683395444,50.1551623326384,220.872735060739,0.227077200446882,1.85096020097676,0.662457534590572,0.662457534590572,FALSE,1,0.788011170470769,0.428934894002179,0,0.257360936401307,7,"Unstable"
"Mn","KER3","PLS_kfold",1739,81.3493683395444,50.1551623326384,220.872735060739,0.227077200446882,1.85096020097676,0.662457534590572,0.662457534590572,FALSE,2,0.788011170470769,0.428934894002179,0,0.257360936401307,8,"Unstable"
"Mn","KER3","RF",1739,90.5176189872574,65.375639114408,224.691077090916,0.290957878527394,2.35122425576822,0.748523536669993,0.748523536669993,FALSE,3,0.748523536669993,0.636774039157465,0.802373521396731,0.703013832053172,2,"Acceptable"
"Mn","KER3","Bayes",1739,92.4374467275121,82.7601470253203,239.480752268538,0.34558162291272,1.97178782180929,0.553199904647404,0.480567717473291,FALSE,4,0.63518529884232,0.814495263780634,0.193795421999297,0.566215327068099,3,"Acceptable"
"Mn","KER3","OLS",1889,104.846473451735,119.045043666453,295.692324881909,0.402597678901527,2.4197893773706,0.528939659872565,0.414109206608894,FALSE,5,0.49552099433582,1,0.912345120471602,0.964938048188641,1,"Stable"
"Mn","KER3","OLS_weighted",1889,92.5263575086001,113.942408654304,658.119191826751,0.173133392961892,2.47444046478286,0.242439269884022,0.12760881662035,FALSE,6,0.124699404865295,0.253425879837192,1,0.552055527902315,4,"Acceptable"
"Mn","KER3","WLS_weighted",1889,104.648408433813,114.472746766994,1201.92285177939,0.0952413431507043,2.39304324774792,0.121209183874812,0.00637873061114011,FALSE,7,0.08657980183241,0,0.869447002960384,0.347778801184154,5,"Marginal"
"Mn","KER3","WLS",1889,104.6383131306,112.63133641236,1175.61319571896,0.0958064581296906,2.38120088527347,0.118774985540314,0.00394453227664214,FALSE,8,0.0828723184119287,0.00183863129941915,0.850453037694891,0.341284393857608,6,"Marginal"
"Sr","KER3","RF",1739,98.7375344132695,27.2229646070786,132.923120585084,0.204802328498248,1.25193511937596,1,1,FALSE,1,1,0.742617769071191,0.0913380129358495,0.482105866617055,4,"Marginal"
"Sr","KER3","Bayes",1739,109.987499877849,41.7410703554489,151.360909187129,0.275771799863094,1.58972386873238,0.63856545541204,0.637853811071271,FALSE,2,0.624944599463715,1,1,1,1,"Stable"
"Sr","KER3","PLS_LOO",1739,100.747396612362,34.5446714045193,148.956408531367,0.231911280253813,1.48061346286729,0.509128247291484,0.532972097515059,FALSE,3,0.544351022019322,0.840932753624464,0.7064896969137,0.787155530940158,2,"Stable"
"Sr","KER3","PLS_kfold",1739,100.747396612362,34.5446714045193,148.956408531367,0.231911280253813,1.48061346286729,0.509128247291484,0.532972097515059,FALSE,4,0.544351022019322,0.840932753624464,0.7064896969137,0.787155530940158,3,"Stable"
"Sr","KER3","OLS",1846,98.8973563958974,30.8450220645756,167.8306376755,0.183786598750905,1.2334038475513,0.477215321120712,0.477215321120712,FALSE,5,0.514364635860181,0.666400836593836,0.0414883293359736,0.416435833690691,5,"Marginal"
"Sr","KER3","WLS",1846,98.6807076384558,31.0318716348877,1413.20302504201,0.021958537510182,1.23555413142815,0.265729212134295,0.265729212134295,FALSE,6,0.302792123609364,0.0795052795606609,0.0472726582220192,0.0666122310252042,6,"Unstable"
"Sr","KER3","WLS_weighted",1846,99.778071402937,30.0253310671683,1204.54423319866,0.024926715216955,1.22429877751539,0.243531037899779,0.243531037899779,FALSE,7,0.27910289070828,0.0902698545993416,0.0169954146164832,0.0609600786061983,7,"Unstable"
"Sr","KER3","OLS_weighted",1846,93.0714235059623,27.2940033793717,756212.044924977,3.6093055595378e-05,1.21798085079476,0.195583378918046,0.195583378918046,FALSE,8,0.195583378918046,0,0,0,8,"Unstable"
"Ti","KER3","Bayes",1739,1672.05223430823,1484.43326916344,4805.09645491391,0.30892892225824,2.05564975615536,0.78938945932906,0.804826297074519,FALSE,1,0.804826297074519,0.570557886122156,0,0.342334731673293,6,"Marginal"
"Ti","KER3","PLS_LOO",1739,1566.97920062873,1360.97482808716,4710.01998355988,0.288953089973628,2.37830342327409,0.67781556879216,0.728044547263987,FALSE,2,0.75974392361311,0.523157138248778,0.334109888153205,0.447538238210549,5,"Marginal"
"Ti","KER3","RF",1739,1385.04644468866,1121.19214488367,4129.14980552853,0.271530992501774,2.51950212567718,0.789538323408332,0.726039914664885,FALSE,3,0.716873623066866,0.481816159914428,0.480322026662442,0.481218506613633,2,"Marginal"
"Ti","KER3","OLS",1984,1314.43930188586,1105.06488049025,4299.29613603801,0.257033906370686,2.53404130869275,0.765037701130504,0.804337579492597,FALSE,4,0.698170392299635,0.447415954966385,0.4953774415119,0.466600549584591,3,"Marginal"
"Ti","KER3","OLS_weighted",1984,1175.81196222422,1060.36589276349,4191.98347321769,0.252950876247032,2.50946027731276,0.766001360155616,0.805301238517709,FALSE,5,0.631576161282212,0.437727313277107,0.469923629942367,0.450605839943211,4,"Marginal"
"Ti","KER3","PLS_kfold",1739,1768.6750598391,2843.93986578012,5805.06883370726,0.489906312439694,3.02136097440812,0.4,0.4,FALSE,6,0.423933233671864,1,1,1,1,"Stable"
"Ti","KER3","WLS_weighted",1984,1318.15142782878,1060.32506103273,14673.6264332832,0.072260600735185,2.54698037780942,0.428477939712441,0.467777818074535,FALSE,7,0.35725117544236,0.00896649517061594,0.508775928421972,0.208890268471158,7,"Unstable"
"Ti","KER3","WLS",1984,1320.00777433443,1054.37205499976,15396.360833154,0.0684819007832882,2.54885446154813,0.42048684154198,0.459786719904073,FALSE,8,0.347707266007857,0,0.51071655384217,0.204286621536868,8,"Unstable"
"Zr","KER3","OLS",2000,99.5481667830696,449.238590545518,509.138567969608,0.88235034390939,2.84520669941131,0.624960836649626,0.624960836649626,FALSE,1,0.798714188273857,0.821508674441074,1,0.892905204664644,1,"Stable"
"Zr","KER3","WLS_weighted",2000,105.891257227535,495.355244354646,764.395958528728,0.648034881435116,2.82083874271051,0.535753408544894,0.535753408544894,FALSE,2,0.709316237007221,0.603348505255573,0.983103177962077,0.755250374338175,2,"Stable"
"Zr","KER3","Bayes",1739,88.1505584808346,247.717428870112,318.791582475579,0.777051347926004,1.66916348584674,0.574894197268556,0.636553038430139,FALSE,3,0.668238166761041,0.723469703661153,0.184527733182658,0.507892915469755,6,"Acceptable"
"Zr","KER3","RF",1739,71.1807025354138,60.1357320527502,231.93690377141,0.259276256063236,1.4030445788594,0.664702687023972,0.664702687023972,FALSE,4,0.664702687023972,0.2413935297372,0,0.14483611784232,8,"Unstable"
"Zr","KER3","PLS_LOO",1739,103.068653583976,429.86044534787,400.220369697803,1.07405938801278,1.50358392003711,0.460961904669557,0.613241167186043,FALSE,5,0.64822510216813,1,0.0697143127980898,0.627885725119236,4,"Acceptable"
"Zr","KER3","PLS_kfold",1739,103.068653583976,429.86044534787,400.220369697803,1.07405938801278,1.50358392003711,0.460961904669557,0.613241167186043,FALSE,6,0.64822510216813,1,0.0697143127980898,0.627885725119236,5,"Acceptable"
"Zr","KER3","WLS",2000,104.355008383172,484.146792962244,1137.4514697226,0.425641713822143,2.82650125778282,0.453396914872799,0.453396914872799,FALSE,7,0.627038355325055,0.396288627261083,0.987029584703463,0.632585010238035,3,"Acceptable"
"Zr","KER3","OLS_weighted",2000,93.7187990112709,540.775463253504,77854775.3422564,6.94595111059287e-06,2.66523944221079,0.260564765296239,0.260564765296239,FALSE,8,0.260564765296239,0,0.875210106661483,0.350084042664593,7,"Marginal"
