"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ca","Ca_sd","Ca_ICP","Ca_ICP_sd","Ca_fit_OLS","Ca_lwr_OLS","Ca_upr_OLS","Ca_fit_WLS","Ca_lwr_WLS","Ca_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-6.81328090290992,-9.11586690575542,7.35055584285185,3.16584007729043,8.04561526273919,7.18478909989575,8.90644142558262,8.08449250791092,6.91831480956677,9.25067020625507
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-6.95629657412204,-9.25848074730412,7.24247120132883,2.83029653665937,7.95993368095267,7.09800433818274,8.8218630237226,8.00141173268535,6.81256907507542,9.19025439029529
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-6.61341616388981,-8.91600051186034,7.84267996218333,3.49737575689997,8.16535547608401,7.30594635115655,9.02476460101147,8.20059808793102,7.06607278350528,9.33512339235675
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.78752240865557,-8.09010684924219,8.75807660650184,4.56666103966707,8.66015358272731,7.80504536997156,9.51526179548306,8.68037693214625,7.67632646332082,9.68442740097168
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.17661154619333,-7.47919646210563,9.04100380665293,4.62895784972354,9.02615409569695,8.17260153149523,9.87970665989866,9.03526774667668,8.12730155845825,9.9432339348951
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.46800427769552,-7.77059055562407,9.04402113279338,3.3115031111118,8.85157889044429,7.99745758268295,9.70570019820562,8.86599165390226,7.91224904010939,9.81973426769513
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.14807798302009,-7.45066342021498,9.28899573342214,4.54587537966246,9.04324873159221,8.18973484263798,9.89676262054645,9.05184348644203,8.14835391092683,9.95533306195723
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.4144364373621,-7.71702063185287,8.85011583510835,4.21608464007972,8.88367171813062,8.0296786992377,9.73766473702354,8.89711032547399,7.95179080415588,9.8424298467921
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.55585672959534,-7.85844078759574,8.89923601451618,5.85779993732473,8.79894593785382,7.94459111015472,9.65330076555293,8.8149563390487,7.84739249389709,9.7825201842003
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.9883371068312,-7.29092234651754,8.66848236944953,4.25898926679981,9.13895048813278,8.28559700652677,9.99230396973879,9.14464028078285,8.26619133370761,10.0230892278581
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-4.70833710932971,-7.01092264579444,9.11437754626484,3.8295549773079,9.30670023529557,8.45339810982925,10.1600023607619,9.307298097639,8.47264772894958,10.1419484663284
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.15151263079245,-7.45409755109399,8.79883085915351,2.53000541148801,9.04119101266169,8.18767262907819,9.89470939624518,9.04984822818023,8.14581985148163,9.95387660487882
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.24362181640191,-7.54620596262305,9.20085797360353,4.11739559205492,8.98600782432157,8.13235249212896,9.83966315651418,8.99634008826121,8.07785642207348,9.91482375444894
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.19349439534134,-7.49607948833539,8.87915750034754,4.24660761374236,9.01603947533538,8.1624625975162,9.86961635315455,9.02546014878656,8.11484470414576,9.93607559342736
"Bird Island","BI10","BI10.3",95,93,94,93.5,-5.06297777026152,-7.36556317937658,8.81471969158889,2.64000307582772,9.09423280052483,8.24081621918637,9.94764938186329,9.10127996838782,8.21113504269525,9.9914248940804
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-5.14750195684143,-7.45008704983547,8.79563762526239,4.18805042109457,9.04359383247325,8.19008069300573,9.89710697194077,9.05217811201885,8.14877889749321,9.9555773265445
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-5.14047533671548,-7.44305974652201,8.86638463037066,4.10991629289742,9.04780352447345,8.19429942792445,9.90130762102246,9.05626002166087,8.15396303361467,9.95855700970706
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-5.33822061657663,-7.64080612585479,8.62807448322606,4.1592873995816,8.92933309234723,8.07550418052463,9.78316200416984,8.94138567950787,8.0080445357492,9.87472682326655
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-5.45868379081886,-7.76126841423664,8.58487534895951,4.48016058343282,8.85716285234052,8.00306463385936,9.71126107082168,8.87140611840555,7.91912931469233,9.82368292211877
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-5.15347115361755,-7.45605607358055,8.63892667704869,4.53399877767637,9.04001764940577,8.1864966831686,9.89353861564294,9.04871048157366,8.14437485964379,9.95304610350354
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.37845684557044,-7.68104150518931,8.61036395885455,2.90213194172611,8.90522731627322,8.05131446490574,9.75914016764069,8.91801161798981,7.9783476698603,9.85767556611931
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-5.53076380585179,-7.83334915118244,8.76969936588547,4.31011366097826,8.81397926517924,7.95969406675902,9.66826446359947,8.829533339874,7.86591808632007,9.79314859342793
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-4.88353473502783,-7.18611956382838,8.63815616889409,3.85968764448832,9.20173824359332,8.34843825981463,10.055038227372,9.20552215632213,8.34348139192125,10.067562920723
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-5.24385778015776,-7.54644268375247,8.77955772742215,5.05638366527194,8.98586645696179,8.13221073330392,9.83952218061967,8.99620301201219,8.07768230012069,9.91472372390369
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-5.18007861252482,-7.48266441630624,8.72857245906881,4.12291978803064,9.02407695460518,8.17051948410118,9.87763442510918,9.03325365580022,8.12474344676977,9.94176386483067
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-5.10795621408438,-7.41054163774269,8.71490494063882,4.5998015726379,9.06728593393059,8.21382128892616,9.92075057893503,9.07515105573391,8.17795427453116,9.97234783693666
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-5.26380309595627,-7.56638896181025,9.17960398133751,4.26436897014259,8.97391709370416,8.12022753021207,9.82760665719625,8.98461636360775,8.06296402766136,9.90626869955415
"Bird Island","BI10","BI10.5",197,194,195,194.5,-5.09946765534451,-7.40205324014252,8.89407516616314,4.72082121720396,9.0723714824845,8.21891648622025,9.92582647874876,9.08008223589534,8.18421653443658,9.97594793735411
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-4.79489165472022,-7.09747735217087,8.67703049899777,2.96549641277503,9.25484486660053,8.40155812227405,10.108131610927,9.25701676364677,8.40884078902366,10.1051927382699
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-4.86450739660942,-7.16709223038934,8.81944482295733,5.04967493380545,9.21313764086958,8.35984297171803,10.0664323100211,9.21657553259119,8.35751192311275,10.0756391420696
