"Location","Site","label","ID","section_depth","field_depth","depth","SH20_mean_age","surface","validity","qc","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Zn","Rb","Sr","Zr","Mo_coh","Total_scatter","inc_coh","coh_inc"
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7558",1.1,1.1,1.1,-51.51,6.66,1,TRUE,16596,44628,1.45,-6.2378542077031,-4.43078058749895,-5.90935014073106,-5.54470702714315,-1.55247049711099,-6.29501262154304,-5.53549037203823,-4.11759079432522,-3.88647904801757,-1.73291379727564,32520,5.657113613,0.176768591
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7559",1.2,1.2,1.2,-50.47,6.68,1,TRUE,16084,44476,1.35,-5.74300325180948,-4.1576628361642,-5.47333954871493,-5.51985970049527,-1.27422562636018,NA,-4.9753229780168,-3.65172718641206,-3.5658193445146,-1.72941256292478,30857,5.637341364,0.177388584
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7560",1.3,1.3,1.3,-49.42,6.7,1,TRUE,16223,44600,1.42,-6.14075372985171,-4.27300844048541,-5.37978407095717,-5.45641736802314,-1.33042539848716,-7.04831128654362,-5.41312054638801,-3.8002984184993,-3.93769831320531,-1.72170184639006,31203,5.594040575,0.178761664
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7561",1.4,1.4,1.4,-48.38,6.7,1,TRUE,16870,48427,1.4,-5.28142544182782,-4.14542568964497,-5.79225113114381,-5.21243255723087,-1.11111245016819,-5.59809523237933,-4.71367954293607,-3.71877976626335,-3.6410427729364,-1.73715901751882,32377,5.681180355,0.17601976
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7562",1.5,1.5,1.5,-47.34,6.71,1,TRUE,16085,44532,1.13,-5.62424087713277,-4.34101859666079,-5.57397890925354,-5.63460358047254,-1.44305668447286,NA,-5.17507123636,-3.44785031184408,-3.66807415319242,-1.72947931127402,31642,5.637717642,0.177376744
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7563",1.6,1.6,1.6,-46.29,6.73,1,TRUE,16366,44776,1.31,-6.03908165957167,-4.30810725173056,-5.60829903713459,-5.68086968892082,-1.56244459496056,-7.07797436698846,NA,-3.35280546821259,-3.81487419875279,-1.75666308984338,31975,5.793074145,0.172619921
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7564",1.7,1.7,1.7,-45.25,6.76,1,TRUE,16696,47047,1.33,-6.10103033699436,-4.44507259556721,-5.67981705323452,-5.24695299468655,-1.46260975984794,NA,-5.24021885029842,-3.52636051461616,-3.84390777895894,-1.68104309840246,33353,5.371155683,0.186179671
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7565",1.8,1.8,1.8,-44.2,6.78,1,TRUE,16936,47641,1.27,-5.78432583263419,-4.20319181615975,-5.32601831966053,-5.28284626363625,-1.33907888755375,NA,-4.99164917652402,-3.43627848045423,-3.65112323588697,-1.73944037904895,32875,5.694155976,0.175618653
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7566",1.9,1.9,1.9,-43.16,6.81,1,TRUE,16562,46327,1.18,-6.29674808718634,-3.99220419769023,-5.89784051532532,-5.27274670053503,-1.41424336098884,-6.53969440149771,-5.35337647958034,-3.56034552804971,-4.09517576757758,-1.75366198858737,32476,5.775714584,0.173138749
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7567",2,2,2,-42.11,6.84,1,TRUE,15674,42856,1.25,-6.45614859047302,-4.64900442108645,-4.52025548882957,-5.18039638485109,-1.76139305338836,-6.47967907272597,-5.01334220447464,-4.0861224367272,-3.94070544179047,-1.76907719210616,32041,5.865438183,0.170490246
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7568",2.1,2.1,2.1,-41.07,6.84,1,TRUE,16295,44760,1.36,-5.80721252153518,-4.5612755089954,-5.76069256638946,-4.39448495831338,-1.57483286876695,-8.2921195040137,-4.87673720621266,-3.84778867117571,-3.90120364634882,-1.8169066333113,32488,6.152796125,0.162527732
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7570",2.3,2.3,2.3,-38.98,6.75,1,TRUE,17745,52423,1.2,-5.74145007451457,-4.42039622213742,-5.97783899795285,-4.9529927141503,-1.05068174243576,-6.7118078113286,-5.1023700633056,-3.74710781425999,-3.73571168229162,-1.78234256973301,34573,5.943763808,0.168243563
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7571",2.4,2.4,2.4,-37.94,6.76,1,TRUE,19359,57926,1.2,-5.57325828664237,-4.34396775002819,-5.68147181862449,-5.18793784718754,-0.798020881398003,NA,-6.31008044137425,-3.65332367941992,-3.71669329768179,-1.7886803027307,35955,5.981553398,0.167180652
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7572",2.5,2.5,2.5,-36.89,6.78,1,TRUE,19163,54196,1.4,-5.95457269749965,-4.33542606591984,-4.6279508051035,-5.30504635549885,-1.26984785555541,-6.96009438319609,-4.92757000518111,-3.73988643159935,-3.47271962431302,-1.76843498038501,37005,5.861672538,0.170599772
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7573",2.6,2.6,2.6,-35.85,6.81,1,TRUE,19345,53809,1.34,-6.11586065097836,-4.26403690038113,-5.31449979866554,-5.34707598121516,-1.33733751750892,-6.51420824312769,-5.05114983588495,-3.71537128432604,-3.90132636897188,-1.77075730871841,37106,5.875301093,0.170204043
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7574",2.7,2.7,2.7,-34.8,6.84,1,TRUE,19212,53059,1.31,-6.82226130266282,-4.27097976501493,-5.14461530161911,-5.35818945908567,-1.34186767260254,-6.14392924899512,-6.00481648888518,-3.7569482526878,-3.9600606053451,-1.77278260631086,36516,5.887212373,0.169859678
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7575",2.8,2.8,2.8,-33.76,6.87,1,TRUE,18667,51028,1.3,-6.3791803109341,-4.25669717613931,-5.79345338507174,-5.76299440728805,-1.54820361768246,NA,NA,-4.01032223298814,-3.92881414082141,-1.77995383872596,37198,5.929582712,0.168645932
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7576",2.9,2.9,2.9,-32.72,6.88,1,TRUE,19151,51026,1.36,-6.08717400661384,-4.42765968377991,-5.86945047492378,-6.23235616776875,-1.7845708056958,-7.61865103784202,-6.54109129206827,-4.18870348461525,-3.87356772937788,-1.77728214327146,38081,5.913761801,0.169097105
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7577",3,3,3,-31.67,6.87,1,TRUE,19630,53119,1.26,-6.06586702416248,-4.31610264873606,-5.79455195903899,-5.73684372431212,-1.62704276750192,NA,-5.34707745116986,-3.82350076619923,-3.82074594773799,-1.81348322663352,38590,6.131768619,0.163085084
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7578",3.1,3.1,3.1,-30.63,6.88,1,TRUE,19370,53696,1.33,-5.81957757506586,-4.12064925701902,-5.75770237344563,-5.64437374467792,-1.24618368651541,NA,-5.35223726533747,-3.83931018819346,-4.12064925701902,-1.8223534857991,36780,6.186400938,0.161644874
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7579",3.2,3.2,3.2,-29.58,6.9,1,TRUE,19100,51022,1.41,-5.86220978625072,-4.08162353863203,-5.84023091773847,-5.74689897454171,-1.6102284898581,NA,-6.89628333409377,-3.81236863891799,-3.91788812164525,-1.7426306766854,37173,5.712351029,0.17505927
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7580",3.3,3.3,3.3,-28.54,6.9,1,TRUE,19321,53273,1.31,-6.08761515997726,-4.23174512185734,-5.54179246000923,-5.43643204640537,-1.45781899911038,NA,-5.04535562915945,-3.71111761932618,-3.87378623772893,-1.79322257504556,37497,6.008785047,0.166422994
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7581",3.4,3.4,3.4,-27.49,6.9,1,TRUE,19387,54212,1.41,-6.00572940817511,-4.2816074915129,-5.19339372630638,-5.50764282891332,-1.33990481708696,NA,NA,-3.71845072603323,-3.69557807989507,-1.72836029815334,37746,5.631412509,0.177575342
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7582",3.5,3.5,3.5,-26.45,6.89,1,TRUE,20298,56727,1.28,-6.1098400582433,-4.34055338346731,-5.94999137265141,-5.37747205196341,-1.33453330395041,NA,-6.33298349699085,-3.89063653503469,-3.99278159011383,-1.77246211662046,39508,5.885325898,0.169914125
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7583",3.6,3.6,3.6,-25.41,6.9,1,TRUE,20294,55860,1.33,-5.90278502890655,-4.17605808493002,-5.76786573943867,-5.50475499216567,-1.30755303526107,NA,-5.37871430362007,-3.72677157823262,-3.68963858217875,-1.79922389688054,38395,6.044954128,0.165427227
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7584",3.7,3.7,3.7,-24.36,6.91,1,TRUE,20109,56267,1.3,-5.74361932958585,-4.22891489435742,-5.46075653452096,-5.23471872445843,-1.21091648933875,NA,-5.72457116995768,-3.69716798931468,-4.03887129410966,-1.79775250766174,37847,6.036066183,0.165670814
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7585",3.8,3.8,3.8,-23.32,6.93,1,TRUE,19773,56953,1.33,-5.95217883606711,-4.2140404061303,-5.58352756327012,-5.12927238810667,-1.04851170918228,NA,-4.76890055486468,-3.55428349334322,-4.01664934621387,-1.77446063262493,37334,5.897099575,0.169574888
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7586",3.9,3.9,3.9,-22.27,6.93,1,TRUE,19707,56234,1.32,-5.77022552826492,-4.36412840783296,-5.18243872086946,-5.36476042015676,-1.11189369639265,NA,-4.8032415626084,-3.71995526402999,-4.04924611835991,-1.74970683130013,37634,5.752915844,0.173824896
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7587",4,4,4,-21.23,6.92,1,TRUE,19371,53069,1.39,-5.72415591083278,-4.14627894627425,-5.69544592048798,-5.48368764597761,-1.28127637131735,NA,-6.7479673753429,-3.93563805879405,-3.90999561197982,-1.83193954482236,36585,6.245989305,0.16010274
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7588",4.1,4.1,4.1,-20.19,6.92,1,TRUE,18704,52007,1.45,-5.78884146787888,-3.9515400184739,-5.44624375751382,-5.09033244898003,-1.21812922190648,NA,-6.63256135993274,-3.79934823923679,-3.67505051617749,-1.80065429718045,35395,6.053607015,0.165190769
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7589",4.2,4.2,4.2,-19.14,6.91,1,TRUE,17772,48531,1.5,-5.66383644768352,-4.06611757849609,-5.28128563345944,-5.12808154896965,-1.454661916729,NA,-5.34273853867767,-3.73330058442667,-3.50622115402437,-1.81410219945591,34529,6.135565199,0.16298417
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7590",4.3,4.3,4.3,-18.1,6.9,1,TRUE,18726,52063,1.66,-5.63209112733233,-4.13816611341785,-5.14518572004463,-5.56188689705692,-1.31824603904599,NA,-6.11306375509623,-3.80169390366281,-3.79009957526926,-1.78194356127063,35887,5.94139265,0.168310707
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7591",4.4,4.4,4.4,-17.05,6.88,1,TRUE,19032,51325,1.4,-5.55401019461876,-4.31342756871815,-5.52890430123583,-5.3207484732716,-1.32742386040413,NA,NA,-3.73302103570496,-4.05370633498602,-1.7779427748757,35626,5.917669903,0.168985431
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7592",4.5,4.5,4.5,-16.01,6.88,1,TRUE,18737,51692,1.29,-5.96567439069778,-4.12470701150144,-5.13735241384701,-5.27912786835357,-1.23445126629154,NA,-4.9493001482912,-3.54413727287175,-3.83963797382729,-1.72643225606482,34897,5.620565358,0.177918045
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7593",4.6,4.6,4.6,-14.96,6.92,1,TRUE,18171,50444,1.49,-5.78354217238083,-3.95788120201835,-5.07330053092701,-5.16185407613935,-1.17825708601846,NA,-5.69557356017886,-3.24547619857814,-3.77865082547729,-1.6995963507761,33433,5.471738289,0.182757279
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7594",4.7,4.7,4.7,-13.92,6.95,1,TRUE,17409,49076,1.39,-5.71488184540294,-3.88816005398459,-5.14092309571143,-5.05602363602974,-1.09034960881989,NA,-5.00502108331179,-3.35339190213556,-4.01525395688495,-1.67994526767284,32030,5.365262321,0.186384177
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7595",4.8,4.8,4.8,-12.88,6.96,1,TRUE,17381,49628,1.27,-5.37071302093955,-4.01720848085085,-5.04350012473226,-5.09112825311772,-1.01783702814617,NA,-5.26374088269033,-3.12880297231423,-3.8007539396821,-1.63361962755481,31867,5.122382325,0.195221664
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7596",4.9,4.9,4.9,-11.83,6.95,1,TRUE,17687,49993,1.4,-5.24493149313198,-3.6804613460197,-5.08170372878934,-4.94141804778322,-0.966985715811421,NA,-5.38150703738664,-3.31845936498418,-3.66427262081226,-1.64868854843507,31875,5.200155612,0.192301938
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7597",5,5,5,-10.79,6.94,1,TRUE,17952,52255,1.42,-5.32018186203425,-3.76639970918103,-4.9478407928777,-4.98478437698989,-0.860080897376702,NA,-5.33533369514324,-3.32297840983048,-3.52217626485352,-1.64245457815066,32449,5.167838814,0.193504487
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7598",5.1,5.1,5.1,-9.74,6.93,1,TRUE,18376,57691,1.42,-5.28183908229165,-3.31483107018255,-4.29635644333845,-4.2160995355897,-0.463304322993504,NA,-5.35136504106611,-3.07553477341307,-3.5281069867938,-1.58459913003925,31767,4.8773358,0.205029967
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7599",5.2,5.2,5.2,-8.7,6.94,1,TRUE,17462,50454,1.38,-5.53725930782805,-3.55265181961855,-4.8829519618417,-4.94947255826561,-0.935141361314127,NA,-4.80214794208583,-2.99303605162928,-4.25368344754207,-1.67103092517721,31683,5.317647059,0.188053097
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7600",5.3,5.3,5.3,-7.65,6.95,1,TRUE,17769,51754,1.52,-5.5723385091926,-3.84576510389757,-4.75602912288399,-4.82717026631451,-0.837418425776488,NA,-4.79989575545186,-3.09800544884435,-3.77091722727446,-1.65934518358526,32249,5.255868089,0.190263527
"Isla Hermite","HER42PB","HER42PB_1A","ACE_ITRAX_7601",5.4,5.4,5.4,-6.61,6.94,1,TRUE,17942,48826,1.33,-6.21116353773883,-4.32462572579379,-5.58138609684586,-5.62924213884226,-1.28480019255853,NA,-4.84704304081659,-3.33650923421916,-3.61172806072558,-1.70649244623964,33557,5.509602328,0.181501303
